 4    ,mtsat_01_imager_04.flt ,    Primary Focal Plane    (trunc at 3000cm-1)
Number of data points:
35
Wavenumber (cm-1)   Filter response
     2380.952400       0.000343
     2395.209600       0.001625
     2409.638600       0.002163
     2424.242400       0.001798
     2439.024400       0.010819
     2453.987700       0.025376
     2469.135800       0.097860
     2484.472000       0.235500
     2500.000000       0.529200
     2515.723300       0.810816
     2531.645600       0.881089
     2547.770700       0.853998
     2564.102600       0.920082
     2580.645200       0.999235
     2597.402600       0.988188
     2614.379100       0.907129
     2631.578900       0.889156
     2649.006600       0.919056
     2666.666700       0.914726
     2684.563800       0.860901
     2702.702700       0.795851
     2721.088400       0.737120
     2739.726000       0.696795
     2758.620700       0.676342
     2777.777800       0.696359
     2797.202800       0.647894
     2816.901400       0.515176
     2836.879400       0.264442
     2857.142900       0.088582
     2877.697800       0.027764
     2898.550700       0.012533
     2919.708000       0.004210
     2941.176500       0.002812
     2962.963000       0.002139
     2985.074600       0.000420
