01 , mtsat_02_imager_03.flt
Number of data points:
1160
Wavenumber (cm-1)   Filter response
      874.000000       0.000000
      874.100000       0.000000
      874.200000       0.004958
      874.300000       0.010175
      874.400000       0.010423
      874.500000       0.020744
      874.600000       0.021496
      874.700000       0.021744
      874.800000       0.022496
      874.900000       0.022744
      875.000000       0.023496
      875.100000       0.023993
      875.200000       0.024744
      875.300000       0.024993
      875.400000       0.025744
      875.500000       0.026244
      875.600000       0.026993
      875.700000       0.027744
      875.800000       0.028492
      875.900000       0.028993
      876.000000       0.029744
      876.100000       0.030492
      876.200000       0.030993
      876.300000       0.031993
      876.400000       0.032492
      876.500000       0.033241
      876.600000       0.034241
      876.700000       0.035241
      876.800000       0.036241
      876.900000       0.037241
      877.000000       0.038241
      877.100000       0.039241
      877.200000       0.039988
      877.300000       0.040988
      877.400000       0.041988
      877.500000       0.042988
      877.600000       0.043988
      877.700000       0.044988
      877.800000       0.045988
      877.900000       0.046988
      878.000000       0.047988
      878.100000       0.048988
      878.200000       0.049988
      878.300000       0.051237
      878.400000       0.052485
      878.500000       0.053737
      878.600000       0.054737
      878.700000       0.056485
      878.800000       0.057485
      878.900000       0.058737
      879.000000       0.060485
      879.100000       0.061485
      879.200000       0.063233
      879.300000       0.064485
      879.400000       0.065733
      879.500000       0.067485
      879.600000       0.068981
      879.700000       0.070733
      879.800000       0.072233
      879.900000       0.073981
      880.000000       0.075981
      880.100000       0.076981
      880.200000       0.078981
      880.300000       0.080477
      880.400000       0.082229
      880.500000       0.084229
      880.600000       0.086229
      880.700000       0.088229
      880.800000       0.090477
      880.900000       0.092477
      881.000000       0.094477
      881.100000       0.096477
      881.200000       0.098477
      881.300000       0.100725
      881.400000       0.102725
      881.500000       0.104974
      881.600000       0.107473
      881.700000       0.109974
      881.800000       0.112473
      881.900000       0.114974
      882.000000       0.117473
      882.100000       0.119969
      882.200000       0.122721
      882.300000       0.124969
      882.400000       0.127470
      882.500000       0.130218
      882.600000       0.133218
      882.700000       0.136466
      882.800000       0.139717
      882.900000       0.142717
      883.000000       0.145966
      883.100000       0.149213
      883.200000       0.152214
      883.300000       0.155214
      883.400000       0.158214
      883.500000       0.162214
      883.600000       0.165710
      883.700000       0.169213
      883.800000       0.172710
      883.900000       0.176710
      884.000000       0.180458
      884.100000       0.184206
      884.200000       0.187458
      884.300000       0.191458
      884.400000       0.194954
      884.500000       0.198954
      884.600000       0.203202
      884.700000       0.207702
      884.800000       0.211702
      884.900000       0.215950
      885.000000       0.220198
      885.100000       0.224198
      885.200000       0.228446
      885.300000       0.232694
      885.400000       0.236946
      885.500000       0.241442
      885.600000       0.246190
      885.700000       0.251190
      885.800000       0.255941
      885.900000       0.260438
      886.000000       0.265438
      886.100000       0.270186
      886.200000       0.275186
      886.300000       0.279682
      886.400000       0.284682
      886.500000       0.290178
      886.600000       0.295430
      886.700000       0.300926
      886.800000       0.306674
      886.900000       0.311922
      887.000000       0.317422
      887.100000       0.322918
      887.200000       0.328422
      887.300000       0.333918
      887.400000       0.339166
      887.500000       0.344666
      887.600000       0.350661
      887.700000       0.356661
      887.800000       0.362661
      887.900000       0.368658
