8, channel 8 digitised from file HIRS_filters.pdf provided by Ronald Glumb (ITT Exelisinc) at  http://ntrs.nasagov/search.jsp?R=19760014184
Number of data points:
81
Wavenumber (cm-1)   Filter response
      864.009000       0.000000
      866.860000       0.001026
      870.470000       0.001729
      872.196000       0.007104
      873.159000       0.011721
      874.894000       0.020187
      876.460000       0.035609
      877.272000       0.053364
      878.087000       0.071891
      878.717000       0.091967
      879.351000       0.113589
      879.812000       0.140622
      880.275000       0.168427
      880.545000       0.195464
      881.022000       0.227905
      881.483000       0.254938
      881.957000       0.286607
      882.278000       0.330640
      882.380000       0.364634
      882.838000       0.390894
      883.495000       0.420242
      883.940000       0.441867
      884.194000       0.463495
      884.648000       0.488210
      885.479000       0.512146
      886.484000       0.530669
      887.301000       0.549969
      888.110000       0.566179
      888.526000       0.578533
      889.700000       0.590100
      890.462000       0.590858
      891.025000       0.588529
      891.199000       0.583117
      891.929000       0.573059
      892.459000       0.559914
      893.171000       0.543675
      893.683000       0.524349
      894.213000       0.511204
      894.538000       0.492655
      895.247000       0.475644
      895.956000       0.458632
      896.676000       0.445484
      897.022000       0.433888
      897.943000       0.424598
      898.863000       0.414536
      899.984000       0.408334
      900.744000       0.408319
      901.323000       0.411398
      901.913000       0.418341
      902.715000       0.432232
      903.710000       0.447666
      904.322000       0.461561
      905.329000       0.480857
      905.938000       0.493980
      906.517000       0.497060
      906.734000       0.506327
      907.883000       0.509395
      908.634000       0.506290
      909.565000       0.500091
      909.736000       0.493907
      910.450000       0.478441
      911.516000       0.453696
      912.547000       0.417363
      913.592000       0.385665
      914.827000       0.353963
      915.867000       0.320720
      916.711000       0.285163
      918.314000       0.249591
      919.377000       0.224074
      920.235000       0.193152
      920.721000       0.165328
      921.766000       0.133630
      922.827000       0.107341
      924.641000       0.078718
      926.261000       0.048555
      928.109000       0.031521
      930.155000       0.016802
      931.276000       0.010599
      933.339000       0.002060
      935.994000       0.000464
      941.115000       0.000000
