7  ,noaa_14_hirs_07.flt   shift of 1.22cm-1 applied
Number of data points:
101
Wavenumber (cm-1)   Filter response
      720.690000       0.000000
      721.300000       0.000000
      721.900000       0.000000
      722.500000       0.000000
      723.110000       0.000000
      723.710000       0.000000
      724.310000       0.000000
      724.920000       0.000000
      725.520000       0.000000
      726.120000       0.000000
      726.730000       0.000000
      727.330000       0.000000
      727.940000       0.000000
      728.540000       0.000000
      729.150000       0.000000
      729.750000       0.000482
      730.350000       0.003322
      731.010000       0.006315
      731.600000       0.006403
      732.190000       0.010222
      732.780000       0.010344
      733.360000       0.017106
      733.950000       0.020905
      734.540000       0.026004
      735.110000       0.034847
      735.700000       0.044050
      736.270000       0.059579
      736.840000       0.076295
      737.530000       0.099187
      738.090000       0.127160
      738.630000       0.168220
      739.290000       0.218700
      739.820000       0.284550
      740.450000       0.359170
      741.110000       0.450390
      741.700000       0.537120
      742.290000       0.631230
      742.870000       0.716020
      743.460000       0.785800
      744.040000       0.839240
      744.630000       0.883000
      745.240000       0.907220
      745.840000       0.921300
      746.430000       0.932590
      747.030000       0.935050
      747.630000       0.941130
      748.220000       0.946410
      748.820000       0.949790
      749.420000       0.961570
      750.010000       0.967360
      750.610000       0.973890
      751.230000       0.983590
      751.820000       0.990200
      752.420000       0.996890
      753.030000       0.997740
      753.620000       1.000000
      754.190000       0.991780
      754.790000       0.981480
      755.390000       0.957010
      755.990000       0.923790
      756.590000       0.881270
      757.190000       0.826360
      757.790000       0.766590
      758.400000       0.701830
      759.010000       0.616920
      759.600000       0.539600
      760.220000       0.458170
      760.860000       0.375910
      761.440000       0.310360
      762.100000       0.248160
      762.690000       0.198290
      763.280000       0.163990
      763.880000       0.130920
      764.520000       0.104750
      765.110000       0.088194
      765.720000       0.071038
      766.320000       0.057851
      766.920000       0.046380
      767.520000       0.037505
      768.130000       0.031411
      768.730000       0.022090
      769.330000       0.020108
      769.940000       0.020106
      770.540000       0.013708
      771.150000       0.011726
      771.750000       0.010249
      772.350000       0.009619
      772.950000       0.006232
      773.550000       0.006279
      774.150000       0.003203
      774.740000       0.003239
      775.340000       0.003274
      775.940000       0.003310
      776.530000       0.003339
      777.130000       0.000910
      777.730000       0.000000
      778.330000       0.000000
      778.930000       0.000000
      779.530000       0.000000
      780.120000       0.000000
      780.720000       0.000000
