01  , NOAA16 AVHRR vis 1 filter   NOAA_16_A301C001.txt
Number of data points:
151
Wavenumber (cm-1)   Filter response
    12500.000000       0.002800
    12531.328300       0.002900
    12562.814100       0.002500
    12594.458400       0.002700
    12626.262600       0.002600
    12658.227800       0.002600
    12690.355300       0.002900
    12722.646300       0.002500
    12755.102000       0.002500
    12787.723800       0.002600
    12820.512800       0.002400
    12853.470400       0.002600
    12886.597900       0.002400
    12919.896600       0.002300
    12953.367900       0.002300
    12987.013000       0.002300
    13020.833300       0.002400
    13054.830300       0.002400
    13089.005200       0.002200
    13123.359600       0.002200
    13157.894700       0.002500
    13192.612100       0.002300
    13227.513200       0.002100
    13262.599500       0.002100
    13297.872300       0.002200
    13333.333300       0.002000
    13368.984000       0.002000
    13404.825700       0.002000
    13440.860200       0.002000
    13477.088900       0.002000
    13513.513500       0.002000
    13550.135500       0.002200
    13586.956500       0.002000
    13623.978200       0.002000
    13661.202200       0.002200
    13698.630100       0.002100
    13736.263700       0.002300
    13774.104700       0.002400
    13812.154700       0.002300
    13850.415500       0.002600
    13888.888900       0.002600
    13927.576600       0.003100
    13966.480400       0.003400
    14005.602200       0.003600
    14044.943800       0.004500
    14084.507000       0.002100
    14124.293800       0.002200
    14164.305900       0.002300
    14204.545500       0.002700
    14245.014200       0.002900
    14285.714300       0.003500
    14326.647600       0.004600
    14367.816100       0.006100
    14409.221900       0.008700
    14450.867100       0.013300
    14492.753600       0.020700
    14534.883700       0.033300
    14577.259500       0.058400
    14619.883000       0.105400
    14662.756600       0.193500
    14705.882400       0.356100
    14749.262500       0.583600
    14792.899400       0.809400
    14836.795300       0.899300
    14880.952400       0.866100
    14925.373100       0.811100
    14970.059900       0.782200
    15015.015000       0.762600
    15060.241000       0.775700
    15105.740200       0.789400
    15151.515200       0.809500
    15197.568400       0.844800
    15243.902400       0.870000
    15290.519900       0.899600
    15337.423300       0.929600
    15384.615400       0.960500
    15432.098800       0.984400
    15479.876200       1.000000
    15527.950300       0.996900
    15576.324000       0.982800
    15625.000000       0.957700
    15673.981200       0.928900
    15723.270400       0.900900
    15772.870700       0.880900
    15822.784800       0.873000
    15873.015900       0.869600
    15923.566900       0.882700
    15974.440900       0.896300
    16025.641000       0.911300
    16077.170400       0.917800
    16129.032300       0.913900
    16181.229800       0.889600
    16233.766200       0.857400
    16286.645000       0.829300
    16339.869300       0.813200
    16393.442600       0.806800
    16447.368400       0.801700
    16501.650200       0.799400
    16556.291400       0.812600
    16611.295700       0.823600
    16666.666700       0.823100
    16722.408000       0.800200
    16778.523500       0.764700
    16835.016800       0.735300
    16891.891900       0.722300
    16949.152500       0.718800
    17006.802700       0.651600
    17064.846400       0.421800
    17123.287700       0.188400
    17182.130600       0.075000
    17241.379300       0.032500
    17301.038100       0.015200
    17361.111100       0.008300
    17421.602800       0.005300
    17482.517500       0.003700
    17543.859600       0.003000
    17605.633800       0.003000
    17667.844500       0.002800
    17730.496500       0.002600
    17793.594300       0.002700
    17857.142900       0.002700
    17921.147000       0.002600
    17985.611500       0.002600
    18050.541500       0.002700
    18115.942000       0.002900
    18181.818200       0.002800
    18248.175200       0.003100
    18315.018300       0.002900
    18382.352900       0.003000
    18450.184500       0.003100
    18518.518500       0.003100
    18587.360600       0.003200
    18656.716400       0.003300
    18726.591800       0.003200
    18796.992500       0.003200
    18867.924500       0.003600
    18939.393900       0.003200
    19011.406800       0.003500
    19083.969500       0.003900
    19157.088100       0.003800
    19230.769200       0.003900
    19305.019300       0.004300
    19379.845000       0.004400
    19455.252900       0.004600
    19531.250000       0.004700
    19607.843100       0.004900
    19685.039400       0.004700
    19762.845800       0.004800
    19841.269800       0.005300
    19920.318700       0.005200
    20000.000000       0.005700
