05, NOAA-M AVHRR CHANNEL 05
Number of data points:
1001
Wavenumber (cm-1)   Filter response
      790.000000       0.000000
      790.100000       0.000000
      790.200000       0.000000
      790.300000       0.000000
      790.400000       0.000000
      790.500000       0.001000
      790.600000       0.001000
      790.700000       0.001000
      790.800000       0.001000
      790.900000       0.001000
      791.000000       0.001000
      791.100000       0.001000
      791.200000       0.001000
      791.300000       0.001000
      791.400000       0.001000
      791.500000       0.001000
      791.600000       0.001000
      791.700000       0.001000
      791.800000       0.001000
      791.900000       0.001000
      792.000000       0.002000
      792.100000       0.002000
      792.200000       0.002000
      792.300000       0.002000
      792.400000       0.002000
      792.500000       0.002000
      792.600000       0.002000
      792.700000       0.002000
      792.800000       0.002000
      792.900000       0.002000
      793.000000       0.002000
      793.100000       0.002000
      793.200000       0.002000
      793.300000       0.003000
      793.400000       0.003000
      793.500000       0.003000
      793.600000       0.003000
      793.700000       0.003000
      793.800000       0.003000
      793.900000       0.004000
      794.000000       0.004000
      794.100000       0.004000
      794.200000       0.004000
      794.300000       0.005000
      794.400000       0.005000
      794.500000       0.005000
      794.600000       0.006000
      794.700000       0.006000
      794.800000       0.006000
      794.900000       0.006000
      795.000000       0.007000
      795.100000       0.007000
      795.200000       0.008000
      795.300000       0.008000
      795.400000       0.008000
      795.500000       0.009000
      795.600000       0.009000
      795.700000       0.009000
      795.800000       0.010000
      795.900000       0.010000
      796.000000       0.011000
      796.100000       0.011000
      796.200000       0.012000
      796.300000       0.013000
      796.400000       0.013000
      796.500000       0.014000
      796.600000       0.015000
      796.700000       0.015000
      796.800000       0.016000
      796.900000       0.017000
      797.000000       0.018000
      797.100000       0.019000
      797.200000       0.020000
      797.300000       0.021000
      797.400000       0.022000
      797.500000       0.023000
      797.600000       0.024000
      797.700000       0.025000
      797.800000       0.027000
      797.900000       0.028000
      798.000000       0.030000
      798.100000       0.031000
      798.200000       0.033000
      798.300000       0.034000
      798.400000       0.036000
      798.500000       0.038000
      798.600000       0.040000
      798.700000       0.042000
      798.800000       0.044000
      798.900000       0.047000
      799.000000       0.049000
      799.100000       0.052000
      799.200000       0.054000
      799.300000       0.057000
      799.400000       0.060000
      799.500000       0.063000
      799.600000       0.066000
      799.700000       0.069000
      799.800000       0.073000
      799.900000       0.077000
      800.000000       0.081000
      800.100000       0.085000
      800.200000       0.089000
      800.300000       0.093000
      800.400000       0.098000
      800.500000       0.103000
      800.600000       0.108000
      800.700000       0.113000
      800.800000       0.119000
      800.900000       0.125000
      801.000000       0.131000
      801.100000       0.137000
      801.200000       0.143000
      801.300000       0.150000
      801.400000       0.156000
      801.500000       0.163000
      801.600000       0.171000
      801.700000       0.178000
      801.800000       0.186000
      801.900000       0.194000
      802.000000       0.202000
      802.100000       0.211000
      802.200000       0.219000
      802.300000       0.228000
      802.400000       0.237000
      802.500000       0.247000
      802.600000       0.256000
      802.700000       0.266000
      802.800000       0.276000
      802.900000       0.286000
      803.000000       0.297000
      803.100000       0.308000
      803.200000       0.318000
      803.300000       0.329000
      803.400000       0.340000
      803.500000       0.351000
      803.600000       0.362000
      803.700000       0.373000
      803.800000       0.384000
      803.900000       0.395000
      804.000000       0.406000
      804.100000       0.416000
      804.200000       0.427000
      804.300000       0.438000
      804.400000       0.448000
      804.500000       0.459000
      804.600000       0.469000
      804.700000       0.480000
      804.800000       0.490000
      804.900000       0.501000
      805.000000       0.511000
      805.100000       0.522000
      805.200000       0.533000
      805.300000       0.543000
      805.400000       0.554000
      805.500000       0.565000
      805.600000       0.575000
      805.700000       0.586000
      805.800000       0.596000
      805.900000       0.606000
      806.000000       0.616000
      806.100000       0.625000
      806.200000       0.635000
      806.300000       0.644000
      806.400000       0.652000
      806.500000       0.660000
      806.600000       0.668000
      806.700000       0.675000
      806.800000       0.682000
      806.900000       0.688000
      807.000000       0.694000
      807.100000       0.700000
      807.200000       0.706000
      807.300000       0.711000
      807.400000       0.716000
      807.500000       0.721000
      807.600000       0.726000
      807.700000       0.731000
      807.800000       0.736000
      807.900000       0.741000
      808.000000       0.746000
      808.100000       0.751000
      808.200000       0.755000
      808.300000       0.760000
      808.400000       0.765000
      808.500000       0.769000
      808.600000       0.773000
      808.700000       0.777000
      808.800000       0.781000
      808.900000       0.785000
      809.000000       0.788000
      809.100000       0.792000
      809.200000       0.794000
      809.300000       0.797000
      809.400000       0.800000
      809.500000       0.802000
      809.600000       0.804000
      809.700000       0.806000
      809.800000       0.807000
      809.900000       0.809000
      810.000000       0.810000
      810.100000       0.811000
      810.200000       0.813000
      810.300000       0.814000
      810.400000       0.815000
      810.500000       0.816000
      810.600000       0.817000
      810.700000       0.817000
      810.800000       0.818000
      810.900000       0.819000
      811.000000       0.820000
      811.100000       0.820000
      811.200000       0.821000
      811.300000       0.821000
      811.400000       0.821000
      811.500000       0.821000
      811.600000       0.821000
      811.700000       0.821000
      811.800000       0.821000
      811.900000       0.821000
      812.000000       0.820000
      812.100000       0.820000
      812.200000       0.819000
      812.300000       0.819000
      812.400000       0.818000
      812.500000       0.818000
      812.600000       0.818000
      812.700000       0.818000
      812.800000       0.818000
      812.900000       0.819000
      813.000000       0.819000
      813.100000       0.820000
      813.200000       0.822000
      813.300000       0.823000
      813.400000       0.825000
      813.500000       0.827000
      813.600000       0.829000
      813.700000       0.831000
      813.800000       0.833000
      813.900000       0.835000
      814.000000       0.837000
      814.100000       0.839000
      814.200000       0.841000
      814.300000       0.842000
      814.400000       0.843000
      814.500000       0.844000
      814.600000       0.844000
      814.700000       0.845000
      814.800000       0.845000
      814.900000       0.844000
      815.000000       0.844000
      815.100000       0.844000
      815.200000       0.844000
      815.300000       0.843000
      815.400000       0.843000
      815.500000       0.843000
      815.600000       0.843000
      815.700000       0.843000
      815.800000       0.843000
      815.900000       0.843000
      816.000000       0.844000
      816.100000       0.844000
      816.200000       0.845000
      816.300000       0.846000
      816.400000       0.847000
      816.500000       0.848000
      816.600000       0.848000
      816.700000       0.849000
      816.800000       0.850000
      816.900000       0.850000
      817.000000       0.851000
      817.100000       0.851000
      817.200000       0.851000
      817.300000       0.851000
      817.400000       0.851000
      817.500000       0.850000
      817.600000       0.850000
      817.700000       0.850000
      817.800000       0.850000
      817.900000       0.850000
      818.000000       0.850000
      818.100000       0.850000
      818.200000       0.850000
      818.300000       0.851000
      818.400000       0.851000
      818.500000       0.852000
      818.600000       0.854000
      818.700000       0.855000
      818.800000       0.856000
      818.900000       0.858000
      819.000000       0.859000
      819.100000       0.861000
      819.200000       0.863000
      819.300000       0.864000
      819.400000       0.866000
      819.500000       0.867000
      819.600000       0.868000
      819.700000       0.869000
      819.800000       0.870000
      819.900000       0.871000
      820.000000       0.871000
      820.100000       0.872000
      820.200000       0.872000
      820.300000       0.872000
      820.400000       0.872000
      820.500000       0.872000
      820.600000       0.872000
      820.700000       0.872000
      820.800000       0.872000
      820.900000       0.872000
      821.000000       0.872000
      821.100000       0.872000
      821.200000       0.873000
      821.300000       0.873000
      821.400000       0.873000
      821.500000       0.874000
      821.600000       0.874000
      821.700000       0.875000
      821.800000       0.875000
      821.900000       0.876000
      822.000000       0.877000
      822.100000       0.877000
      822.200000       0.878000
      822.300000       0.879000
      822.400000       0.880000
      822.500000       0.880000
      822.600000       0.881000
      822.700000       0.882000
      822.800000       0.883000
      822.900000       0.884000
      823.000000       0.884000
      823.100000       0.885000
      823.200000       0.886000
      823.300000       0.887000
      823.400000       0.887000
      823.500000       0.888000
      823.600000       0.888000
      823.700000       0.889000
      823.800000       0.889000
      823.900000       0.889000
      824.000000       0.890000
      824.100000       0.890000
      824.200000       0.890000
      824.300000       0.890000
      824.400000       0.890000
      824.500000       0.890000
      824.600000       0.890000
      824.700000       0.890000
      824.800000       0.890000
      824.900000       0.890000
      825.000000       0.890000
      825.100000       0.890000
      825.200000       0.890000
      825.300000       0.890000
      825.400000       0.890000
      825.500000       0.890000
      825.600000       0.891000
      825.700000       0.891000
      825.800000       0.891000
      825.900000       0.892000
      826.000000       0.892000
      826.100000       0.893000
      826.200000       0.893000
      826.300000       0.894000
      826.400000       0.894000
      826.500000       0.895000
      826.600000       0.896000
      826.700000       0.896000
      826.800000       0.897000
      826.900000       0.898000
      827.000000       0.898000
      827.100000       0.899000
      827.200000       0.900000
      827.300000       0.901000
      827.400000       0.901000
      827.500000       0.902000
      827.600000       0.903000
      827.700000       0.903000
      827.800000       0.904000
      827.900000       0.905000
      828.000000       0.905000
      828.100000       0.906000
      828.200000       0.907000
      828.300000       0.907000
      828.400000       0.908000
      828.500000       0.908000
      828.600000       0.909000
      828.700000       0.909000
      828.800000       0.910000
      828.900000       0.910000
      829.000000       0.910000
      829.100000       0.911000
      829.200000       0.911000
      829.300000       0.912000
      829.400000       0.912000
      829.500000       0.913000
      829.600000       0.913000
      829.700000       0.913000
      829.800000       0.914000
      829.900000       0.914000
      830.000000       0.915000
      830.100000       0.916000
      830.200000       0.916000
      830.300000       0.917000
      830.400000       0.918000
      830.500000       0.919000
      830.600000       0.920000
      830.700000       0.922000
      830.800000       0.923000
      830.900000       0.924000
      831.000000       0.926000
      831.100000       0.927000
      831.200000       0.929000
      831.300000       0.931000
      831.400000       0.932000
      831.500000       0.934000
      831.600000       0.935000
      831.700000       0.937000
      831.800000       0.938000
      831.900000       0.939000
      832.000000       0.940000
      832.100000       0.941000
      832.200000       0.942000
      832.300000       0.942000
      832.400000       0.943000
      832.500000       0.943000
      832.600000       0.944000
      832.700000       0.944000
      832.800000       0.945000
      832.900000       0.945000
      833.000000       0.946000
      833.100000       0.947000
      833.200000       0.947000
      833.300000       0.948000
      833.400000       0.950000
      833.500000       0.951000
      833.600000       0.953000
      833.700000       0.954000
      833.800000       0.956000
      833.900000       0.958000
      834.000000       0.960000
      834.100000       0.962000
      834.200000       0.964000
      834.300000       0.965000
      834.400000       0.967000
      834.500000       0.968000
      834.600000       0.970000
      834.700000       0.971000
      834.800000       0.972000
      834.900000       0.972000
      835.000000       0.973000
      835.100000       0.973000
      835.200000       0.973000
      835.300000       0.973000
      835.400000       0.972000
      835.500000       0.972000
      835.600000       0.972000
      835.700000       0.972000
      835.800000       0.972000
      835.900000       0.971000
      836.000000       0.971000
      836.100000       0.972000
      836.200000       0.972000
      836.300000       0.972000
      836.400000       0.973000
      836.500000       0.974000
      836.600000       0.975000
      836.700000       0.976000
      836.800000       0.977000
      836.900000       0.978000
      837.000000       0.979000
      837.100000       0.980000
      837.200000       0.981000
      837.300000       0.982000
      837.400000       0.983000
      837.500000       0.984000
      837.600000       0.984000
      837.700000       0.985000
      837.800000       0.985000
      837.900000       0.985000
      838.000000       0.985000
      838.100000       0.985000
      838.200000       0.985000
      838.300000       0.985000
      838.400000       0.985000
      838.500000       0.985000
      838.600000       0.985000
      838.700000       0.985000
      838.800000       0.985000
      838.900000       0.985000
      839.000000       0.986000
      839.100000       0.986000
      839.200000       0.986000
      839.300000       0.987000
      839.400000       0.988000
      839.500000       0.988000
      839.600000       0.989000
      839.700000       0.989000
      839.800000       0.990000
      839.900000       0.991000
      840.000000       0.991000
      840.100000       0.992000
      840.200000       0.992000
      840.300000       0.992000
      840.400000       0.992000
      840.500000       0.992000
      840.600000       0.992000
      840.700000       0.992000
      840.800000       0.992000
      840.900000       0.992000
      841.000000       0.992000
      841.100000       0.991000
      841.200000       0.991000
      841.300000       0.991000
      841.400000       0.990000
      841.500000       0.990000
      841.600000       0.990000
      841.700000       0.990000
      841.800000       0.990000
      841.900000       0.990000
      842.000000       0.991000
      842.100000       0.991000
      842.200000       0.991000
      842.300000       0.992000
      842.400000       0.992000
      842.500000       0.993000
      842.600000       0.993000
      842.700000       0.994000
      842.800000       0.994000
      842.900000       0.994000
      843.000000       0.995000
      843.100000       0.995000
      843.200000       0.995000
      843.300000       0.995000
      843.400000       0.994000
      843.500000       0.994000
      843.600000       0.994000
      843.700000       0.993000
      843.800000       0.993000
      843.900000       0.992000
      844.000000       0.992000
      844.100000       0.991000
      844.200000       0.990000
      844.300000       0.990000
      844.400000       0.989000
      844.500000       0.989000
      844.600000       0.988000
      844.700000       0.988000
      844.800000       0.988000
      844.900000       0.988000
      845.000000       0.988000
      845.100000       0.988000
      845.200000       0.988000
      845.300000       0.988000
      845.400000       0.988000
      845.500000       0.989000
      845.600000       0.989000
      845.700000       0.989000
      845.800000       0.989000
      845.900000       0.989000
      846.000000       0.989000
      846.100000       0.989000
      846.200000       0.989000
      846.300000       0.989000
      846.400000       0.988000
      846.500000       0.988000
      846.600000       0.988000
      846.700000       0.987000
      846.800000       0.987000
      846.900000       0.987000
      847.000000       0.986000
      847.100000       0.986000
      847.200000       0.986000
      847.300000       0.986000
      847.400000       0.986000
      847.500000       0.986000
      847.600000       0.986000
      847.700000       0.986000
      847.800000       0.986000
      847.900000       0.987000
      848.000000       0.987000
      848.100000       0.987000
      848.200000       0.988000
      848.300000       0.988000
      848.400000       0.989000
      848.500000       0.989000
      848.600000       0.990000
      848.700000       0.991000
      848.800000       0.991000
      848.900000       0.992000
      849.000000       0.992000
      849.100000       0.993000
      849.200000       0.993000
      849.300000       0.994000
      849.400000       0.994000
      849.500000       0.995000
      849.600000       0.995000
      849.700000       0.996000
      849.800000       0.996000
      849.900000       0.996000
      850.000000       0.997000
      850.100000       0.997000
      850.200000       0.997000
      850.300000       0.998000
      850.400000       0.998000
      850.500000       0.998000
      850.600000       0.999000
      850.700000       0.999000
      850.800000       0.999000
      850.900000       0.999000
      851.000000       0.999000
      851.100000       0.999000
      851.200000       1.000000
      851.300000       1.000000
      851.400000       1.000000
      851.500000       1.000000
      851.600000       1.000000
      851.700000       1.000000
      851.800000       1.000000
      851.900000       1.000000
      852.000000       1.000000
      852.100000       1.000000
      852.200000       1.000000
      852.300000       1.000000
      852.400000       1.000000
      852.500000       0.999000
      852.600000       0.999000
      852.700000       0.999000
      852.800000       0.999000
      852.900000       0.999000
      853.000000       0.998000
      853.100000       0.998000
      853.200000       0.998000
      853.300000       0.998000
      853.400000       0.997000
      853.500000       0.997000
      853.600000       0.997000
      853.700000       0.996000
      853.800000       0.996000
      853.900000       0.995000
      854.000000       0.995000
      854.100000       0.995000
      854.200000       0.994000
      854.300000       0.994000
      854.400000       0.994000
      854.500000       0.993000
      854.600000       0.993000
      854.700000       0.993000
      854.800000       0.992000
      854.900000       0.992000
      855.000000       0.992000
      855.100000       0.992000
      855.200000       0.992000
      855.300000       0.991000
      855.400000       0.991000
      855.500000       0.991000
      855.600000       0.991000
      855.700000       0.991000
      855.800000       0.991000
      855.900000       0.990000
      856.000000       0.990000
      856.100000       0.990000
      856.200000       0.990000
      856.300000       0.990000
      856.400000       0.989000
      856.500000       0.989000
      856.600000       0.989000
      856.700000       0.988000
      856.800000       0.988000
      856.900000       0.987000
      857.000000       0.987000
      857.100000       0.986000
      857.200000       0.985000
      857.300000       0.985000
      857.400000       0.984000
      857.500000       0.983000
      857.600000       0.982000
      857.700000       0.981000
      857.800000       0.980000
      857.900000       0.978000
      858.000000       0.977000
      858.100000       0.975000
      858.200000       0.974000
      858.300000       0.972000
      858.400000       0.971000
      858.500000       0.969000
      858.600000       0.967000
      858.700000       0.965000
      858.800000       0.964000
      858.900000       0.962000
      859.000000       0.960000
      859.100000       0.958000
      859.200000       0.956000
      859.300000       0.955000
      859.400000       0.953000
      859.500000       0.951000
      859.600000       0.949000
      859.700000       0.947000
      859.800000       0.946000
      859.900000       0.944000
      860.000000       0.942000
      860.100000       0.941000
      860.200000       0.939000
      860.300000       0.938000
      860.400000       0.936000
      860.500000       0.935000
      860.600000       0.934000
      860.700000       0.932000
      860.800000       0.931000
      860.900000       0.930000
      861.000000       0.929000
      861.100000       0.928000
      861.200000       0.927000
      861.300000       0.926000
      861.400000       0.925000
      861.500000       0.923000
      861.600000       0.922000
      861.700000       0.921000
      861.800000       0.919000
      861.900000       0.918000
      862.000000       0.916000
      862.100000       0.915000
      862.200000       0.913000
      862.300000       0.911000
      862.400000       0.908000
      862.500000       0.906000
      862.600000       0.904000
      862.700000       0.902000
      862.800000       0.899000
      862.900000       0.897000
      863.000000       0.894000
      863.100000       0.892000
      863.200000       0.890000
      863.300000       0.888000
      863.400000       0.885000
      863.500000       0.884000
      863.600000       0.882000
      863.700000       0.880000
      863.800000       0.879000
      863.900000       0.877000
      864.000000       0.876000
      864.100000       0.875000
      864.200000       0.874000
      864.300000       0.874000
      864.400000       0.873000
      864.500000       0.872000
      864.600000       0.872000
      864.700000       0.872000
      864.800000       0.872000
      864.900000       0.871000
      865.000000       0.871000
      865.100000       0.871000
      865.200000       0.872000
      865.300000       0.872000
      865.400000       0.872000
      865.500000       0.873000
      865.600000       0.873000
      865.700000       0.874000
      865.800000       0.875000
      865.900000       0.875000
      866.000000       0.876000
      866.100000       0.877000
      866.200000       0.878000
      866.300000       0.880000
      866.400000       0.881000
      866.500000       0.882000
      866.600000       0.884000
      866.700000       0.886000
      866.800000       0.887000
      866.900000       0.889000
      867.000000       0.891000
      867.100000       0.893000
      867.200000       0.895000
      867.300000       0.897000
      867.400000       0.899000
      867.500000       0.901000
      867.600000       0.903000
      867.700000       0.905000
      867.800000       0.906000
      867.900000       0.908000
      868.000000       0.910000
      868.100000       0.911000
      868.200000       0.912000
      868.300000       0.913000
      868.400000       0.914000
      868.500000       0.915000
      868.600000       0.915000
      868.700000       0.915000
      868.800000       0.915000
      868.900000       0.914000
      869.000000       0.913000
      869.100000       0.912000
      869.200000       0.910000
      869.300000       0.908000
      869.400000       0.905000
      869.500000       0.901000
      869.600000       0.897000
      869.700000       0.893000
      869.800000       0.887000
      869.900000       0.882000
      870.000000       0.875000
      870.100000       0.868000
      870.200000       0.860000
      870.300000       0.852000
      870.400000       0.843000
      870.500000       0.833000
      870.600000       0.823000
      870.700000       0.813000
      870.800000       0.801000
      870.900000       0.790000
      871.000000       0.777000
      871.100000       0.764000
      871.200000       0.750000
      871.300000       0.736000
      871.400000       0.721000
      871.500000       0.706000
      871.600000       0.690000
      871.700000       0.674000
      871.800000       0.657000
      871.900000       0.640000
      872.000000       0.623000
      872.100000       0.606000
      872.200000       0.589000
      872.300000       0.571000
      872.400000       0.554000
      872.500000       0.537000
      872.600000       0.519000
      872.700000       0.502000
      872.800000       0.485000
      872.900000       0.468000
      873.000000       0.451000
      873.100000       0.435000
      873.200000       0.418000
      873.300000       0.402000
      873.400000       0.386000
      873.500000       0.371000
      873.600000       0.355000
      873.700000       0.340000
      873.800000       0.326000
      873.900000       0.311000
      874.000000       0.297000
      874.100000       0.284000
      874.200000       0.270000
      874.300000       0.258000
      874.400000       0.246000
      874.500000       0.234000
      874.600000       0.222000
      874.700000       0.211000
      874.800000       0.201000
      874.900000       0.191000
      875.000000       0.181000
      875.100000       0.171000
      875.200000       0.162000
      875.300000       0.153000
      875.400000       0.145000
      875.500000       0.137000
      875.600000       0.130000
      875.700000       0.123000
      875.800000       0.116000
      875.900000       0.109000
      876.000000       0.103000
      876.100000       0.098000
      876.200000       0.092000
      876.300000       0.087000
      876.400000       0.083000
      876.500000       0.078000
      876.600000       0.074000
      876.700000       0.070000
      876.800000       0.066000
      876.900000       0.062000
      877.000000       0.059000
      877.100000       0.056000
      877.200000       0.053000
      877.300000       0.050000
      877.400000       0.047000
      877.500000       0.045000
      877.600000       0.042000
      877.700000       0.040000
      877.800000       0.038000
      877.900000       0.036000
      878.000000       0.034000
      878.100000       0.032000
      878.200000       0.030000
      878.300000       0.028000
      878.400000       0.027000
      878.500000       0.025000
      878.600000       0.024000
      878.700000       0.022000
      878.800000       0.021000
      878.900000       0.020000
      879.000000       0.019000
      879.100000       0.018000
      879.200000       0.017000
      879.300000       0.016000
      879.400000       0.015000
      879.500000       0.014000
      879.600000       0.013000
      879.700000       0.012000
      879.800000       0.012000
      879.900000       0.011000
      880.000000       0.010000
      880.100000       0.010000
      880.200000       0.009000
      880.300000       0.009000
      880.400000       0.008000
      880.500000       0.008000
      880.600000       0.007000
      880.700000       0.007000
      880.800000       0.006000
      880.900000       0.006000
      881.000000       0.005000
      881.100000       0.005000
      881.200000       0.005000
      881.300000       0.004000
      881.400000       0.004000
      881.500000       0.004000
      881.600000       0.004000
      881.700000       0.003000
      881.800000       0.003000
      881.900000       0.003000
      882.000000       0.003000
      882.100000       0.003000
      882.200000       0.002000
      882.300000       0.002000
      882.400000       0.002000
      882.500000       0.002000
      882.600000       0.002000
      882.700000       0.002000
