03, NOAA-N AVHRR CHANNEL 3A
Number of data points:
106
Wavenumber (cm-1)   Filter response
     5935.000000       0.000000
     5940.000000       0.001000
     5945.000000       0.001000
     5950.000000       0.001000
     5955.000000       0.001000
     5960.000000       0.001000
     5965.000000       0.001000
     5970.000000       0.001000
     5975.000000       0.001000
     5980.000000       0.001000
     5985.000000       0.001000
     5990.000000       0.002000
     5995.000000       0.002000
     6000.000000       0.002000
     6005.000000       0.003000
     6010.000000       0.003000
     6015.000000       0.004000
     6020.000000       0.005000
     6025.000000       0.006000
     6030.000000       0.007000
     6035.000000       0.009000
     6040.000000       0.011000
     6045.000000       0.014000
     6050.000000       0.018000
     6055.000000       0.022000
     6060.000000       0.029000
     6065.000000       0.037000
     6070.000000       0.048000
     6075.000000       0.064000
     6080.000000       0.085000
     6085.000000       0.113000
     6090.000000       0.154000
     6095.000000       0.211000
     6100.000000       0.287000
     6105.000000       0.390000
     6110.000000       0.535000
     6115.000000       0.713000
     6120.000000       0.817000
     6125.000000       0.860000
     6130.000000       0.891000
     6135.000000       0.911000
     6140.000000       0.943000
     6145.000000       0.989000
     6150.000000       0.975000
     6155.000000       1.000000
     6160.000000       0.999000
     6165.000000       0.983000
     6170.000000       0.970000
     6175.000000       0.976000
     6180.000000       0.974000
     6185.000000       0.973000
     6190.000000       0.978000
     6195.000000       0.967000
     6200.000000       0.985000
     6205.000000       0.975000
     6210.000000       0.980000
     6215.000000       0.987000
     6220.000000       0.984000
     6225.000000       0.989000
     6230.000000       0.980000
     6235.000000       0.995000
     6240.000000       0.984000
     6245.000000       0.989000
     6250.000000       0.980000
     6255.000000       0.985000
     6260.000000       0.982000
     6265.000000       0.979000
     6270.000000       0.985000
     6275.000000       0.980000
     6280.000000       0.985000
     6285.000000       0.977000
     6290.000000       0.990000
     6295.000000       0.980000
     6300.000000       0.984000
     6305.000000       0.969000
     6310.000000       0.961000
     6315.000000       0.938000
     6320.000000       0.916000
     6325.000000       0.887000
     6330.000000       0.854000
     6335.000000       0.726000
     6340.000000       0.542000
     6345.000000       0.405000
     6350.000000       0.289000
     6355.000000       0.212000
     6360.000000       0.151000
     6365.000000       0.109000
     6370.000000       0.077000
     6375.000000       0.057000
     6380.000000       0.042000
     6385.000000       0.030000
     6390.000000       0.023000
     6395.000000       0.017000
     6400.000000       0.013000
     6405.000000       0.010000
     6410.000000       0.007000
     6415.000000       0.006000
     6420.000000       0.004000
     6425.000000       0.003000
     6430.000000       0.002000
     6435.000000       0.002000
     6440.000000       0.001000
     6445.000000       0.001000
     6450.000000       0.001000
     6455.000000       0.001000
     6460.000000       0.000000
