05, NOAA-N AVHRR CHANNEL 05
Number of data points:
1061
Wavenumber (cm-1)   Filter response
      782.000000       0.000000
      782.100000       0.000000
      782.200000       0.000000
      782.300000       0.000000
      782.400000       0.000000
      782.500000       0.000000
      782.600000       0.000000
      782.700000       0.000000
      782.800000       0.000000
      782.900000       0.000000
      783.000000       0.000000
      783.100000       0.000000
      783.200000       0.000000
      783.300000       0.000000
      783.400000       0.000000
      783.500000       0.000000
      783.600000       0.000000
      783.700000       0.000000
      783.800000       0.000000
      783.900000       0.000000
      784.000000       0.000000
      784.100000       0.000000
      784.200000       0.000000
      784.300000       0.000000
      784.400000       0.000000
      784.500000       0.000000
      784.600000       0.000000
      784.700000       0.000000
      784.800000       0.000000
      784.900000       0.001000
      785.000000       0.001000
      785.100000       0.001000
      785.200000       0.001000
      785.300000       0.001000
      785.400000       0.001000
      785.500000       0.001000
      785.600000       0.001000
      785.700000       0.001000
      785.800000       0.001000
      785.900000       0.001000
      786.000000       0.001000
      786.100000       0.001000
      786.200000       0.001000
      786.300000       0.002000
      786.400000       0.002000
      786.500000       0.002000
      786.600000       0.002000
      786.700000       0.002000
      786.800000       0.002000
      786.900000       0.002000
      787.000000       0.003000
      787.100000       0.003000
      787.200000       0.003000
      787.300000       0.003000
      787.400000       0.003000
      787.500000       0.003000
      787.600000       0.004000
      787.700000       0.004000
      787.800000       0.004000
      787.900000       0.004000
      788.000000       0.004000
      788.100000       0.004000
      788.200000       0.005000
      788.300000       0.005000
      788.400000       0.005000
      788.500000       0.005000
      788.600000       0.005000
      788.700000       0.006000
      788.800000       0.006000
      788.900000       0.006000
      789.000000       0.007000
      789.100000       0.007000
      789.200000       0.007000
      789.300000       0.008000
      789.400000       0.008000
      789.500000       0.008000
      789.600000       0.009000
      789.700000       0.009000
      789.800000       0.010000
      789.900000       0.010000
      790.000000       0.011000
      790.100000       0.011000
      790.200000       0.012000
      790.300000       0.012000
      790.400000       0.013000
      790.500000       0.013000
      790.600000       0.014000
      790.700000       0.015000
      790.800000       0.015000
      790.900000       0.016000
      791.000000       0.016000
      791.100000       0.017000
      791.200000       0.018000
      791.300000       0.018000
      791.400000       0.019000
      791.500000       0.020000
      791.600000       0.020000
      791.700000       0.021000
      791.800000       0.022000
      791.900000       0.023000
      792.000000       0.024000
      792.100000       0.025000
      792.200000       0.026000
      792.300000       0.027000
      792.400000       0.028000
      792.500000       0.029000
      792.600000       0.030000
      792.700000       0.032000
      792.800000       0.033000
      792.900000       0.035000
      793.000000       0.036000
      793.100000       0.038000
      793.200000       0.040000
      793.300000       0.042000
      793.400000       0.044000
      793.500000       0.046000
      793.600000       0.048000
      793.700000       0.050000
      793.800000       0.053000
      793.900000       0.055000
      794.000000       0.058000
      794.100000       0.060000
      794.200000       0.063000
      794.300000       0.066000
      794.400000       0.069000
      794.500000       0.072000
      794.600000       0.075000
      794.700000       0.079000
      794.800000       0.082000
      794.900000       0.086000
      795.000000       0.089000
      795.100000       0.093000
      795.200000       0.097000
      795.300000       0.101000
      795.400000       0.106000
      795.500000       0.110000
      795.600000       0.115000
      795.700000       0.120000
      795.800000       0.125000
      795.900000       0.131000
      796.000000       0.136000
      796.100000       0.143000
      796.200000       0.149000
      796.300000       0.156000
      796.400000       0.164000
      796.500000       0.171000
      796.600000       0.179000
      796.700000       0.188000
      796.800000       0.197000
      796.900000       0.206000
      797.000000       0.215000
      797.100000       0.225000
      797.200000       0.235000
      797.300000       0.245000
      797.400000       0.256000
      797.500000       0.267000
      797.600000       0.278000
      797.700000       0.290000
      797.800000       0.302000
      797.900000       0.314000
      798.000000       0.326000
      798.100000       0.339000
      798.200000       0.352000
      798.300000       0.366000
      798.400000       0.379000
      798.500000       0.393000
      798.600000       0.408000
      798.700000       0.422000
      798.800000       0.437000
      798.900000       0.452000
      799.000000       0.468000
      799.100000       0.484000
      799.200000       0.500000
      799.300000       0.516000
      799.400000       0.532000
      799.500000       0.549000
      799.600000       0.565000
      799.700000       0.582000
      799.800000       0.598000
      799.900000       0.615000
      800.000000       0.632000
      800.100000       0.648000
      800.200000       0.664000
      800.300000       0.681000
      800.400000       0.697000
      800.500000       0.713000
      800.600000       0.728000
      800.700000       0.743000
      800.800000       0.758000
      800.900000       0.773000
      801.000000       0.787000
      801.100000       0.801000
      801.200000       0.814000
      801.300000       0.826000
      801.400000       0.838000
      801.500000       0.849000
      801.600000       0.860000
      801.700000       0.870000
      801.800000       0.879000
      801.900000       0.888000
      802.000000       0.897000
      802.100000       0.905000
      802.200000       0.913000
      802.300000       0.920000
      802.400000       0.927000
      802.500000       0.933000
      802.600000       0.939000
      802.700000       0.945000
      802.800000       0.950000
      802.900000       0.954000
      803.000000       0.959000
      803.100000       0.963000
      803.200000       0.966000
      803.300000       0.969000
      803.400000       0.972000
      803.500000       0.974000
      803.600000       0.975000
      803.700000       0.976000
      803.800000       0.976000
      803.900000       0.976000
      804.000000       0.975000
      804.100000       0.974000
      804.200000       0.972000
      804.300000       0.970000
      804.400000       0.967000
      804.500000       0.965000
      804.600000       0.962000
      804.700000       0.960000
      804.800000       0.958000
      804.900000       0.956000
      805.000000       0.955000
      805.100000       0.954000
      805.200000       0.953000
      805.300000       0.954000
      805.400000       0.954000
      805.500000       0.956000
      805.600000       0.957000
      805.700000       0.959000
      805.800000       0.961000
      805.900000       0.962000
      806.000000       0.964000
      806.100000       0.965000
      806.200000       0.966000
      806.300000       0.966000
      806.400000       0.966000
      806.500000       0.965000
      806.600000       0.963000
      806.700000       0.960000
      806.800000       0.957000
      806.900000       0.953000
      807.000000       0.949000
      807.100000       0.945000
      807.200000       0.941000
      807.300000       0.937000
      807.400000       0.933000
      807.500000       0.930000
      807.600000       0.927000
      807.700000       0.924000
      807.800000       0.923000
      807.900000       0.922000
      808.000000       0.922000
      808.100000       0.922000
      808.200000       0.923000
      808.300000       0.925000
      808.400000       0.927000
      808.500000       0.929000
      808.600000       0.931000
      808.700000       0.933000
      808.800000       0.936000
      808.900000       0.938000
      809.000000       0.940000
      809.100000       0.941000
      809.200000       0.943000
      809.300000       0.944000
      809.400000       0.945000
      809.500000       0.945000
      809.600000       0.945000
      809.700000       0.945000
      809.800000       0.945000
      809.900000       0.945000
      810.000000       0.945000
      810.100000       0.944000
      810.200000       0.943000
      810.300000       0.943000
      810.400000       0.942000
      810.500000       0.941000
      810.600000       0.941000
      810.700000       0.940000
      810.800000       0.939000
      810.900000       0.938000
      811.000000       0.938000
      811.100000       0.937000
      811.200000       0.936000
      811.300000       0.935000
      811.400000       0.934000
      811.500000       0.933000
      811.600000       0.932000
      811.700000       0.931000
      811.800000       0.930000
      811.900000       0.929000
      812.000000       0.928000
      812.100000       0.927000
      812.200000       0.926000
      812.300000       0.925000
      812.400000       0.923000
      812.500000       0.922000
      812.600000       0.921000
      812.700000       0.920000
      812.800000       0.919000
      812.900000       0.917000
      813.000000       0.916000
      813.100000       0.915000
      813.200000       0.913000
      813.300000       0.912000
      813.400000       0.911000
      813.500000       0.909000
      813.600000       0.908000
      813.700000       0.907000
      813.800000       0.905000
      813.900000       0.904000
      814.000000       0.903000
      814.100000       0.902000
      814.200000       0.901000
      814.300000       0.900000
      814.400000       0.899000
      814.500000       0.898000
      814.600000       0.897000
      814.700000       0.897000
      814.800000       0.896000
      814.900000       0.895000
      815.000000       0.895000
      815.100000       0.894000
      815.200000       0.894000
      815.300000       0.894000
      815.400000       0.893000
      815.500000       0.893000
      815.600000       0.893000
      815.700000       0.892000
      815.800000       0.892000
      815.900000       0.892000
      816.000000       0.891000
      816.100000       0.891000
      816.200000       0.891000
      816.300000       0.890000
      816.400000       0.889000
      816.500000       0.889000
      816.600000       0.888000
      816.700000       0.887000
      816.800000       0.886000
      816.900000       0.885000
      817.000000       0.883000
      817.100000       0.882000
      817.200000       0.880000
      817.300000       0.878000
      817.400000       0.876000
      817.500000       0.874000
      817.600000       0.872000
      817.700000       0.870000
      817.800000       0.868000
      817.900000       0.867000
      818.000000       0.865000
