2,    JPSS-1 VIIRS I2 0.865mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_I2_BA_Fused_V2F.txt
Number of data points:
293
Wavenumber (cm-1)   Filter response
    10952.854500       0.000000
    11025.382600       0.000000
    11062.611400       0.000034
    11075.310800       0.000061
    11084.014400       0.000087
    11097.036400       0.000105
    11098.843200       0.000138
    11100.579100       0.000124
    11109.146000       0.000189
    11113.370800       0.000204
    11116.688000       0.000241
    11117.303400       0.000225
    11117.729900       0.000215
    11117.944900       0.000226
    11125.269900       0.000274
    11125.310700       0.000280
    11125.356500       0.000291
    11125.377600       0.000320
    11133.391500       0.000363
    11138.303400       0.000491
    11138.428700       0.000466
    11142.060000       0.000505
    11150.088100       0.000705
    11150.693600       0.000771
    11150.877600       0.000751
    11151.266800       0.000778
    11159.192400       0.001079
    11159.604600       0.001066
    11160.163800       0.001188
    11163.665900       0.001281
    11166.550600       0.001432
    11168.335200       0.001531
    11172.497800       0.001995
    11175.730400       0.002149
    11176.075200       0.002168
    11180.729800       0.002773
    11184.462500       0.003219
    11185.677300       0.003563
    11192.434100       0.004897
    11192.808700       0.004872
    11198.057800       0.006391
    11200.172400       0.007048
    11201.225000       0.007430
    11201.739400       0.007658
    11208.323400       0.010817
    11209.319700       0.011456
    11209.983200       0.011833
    11210.503400       0.012238
    11210.551200       0.012309
    11217.087700       0.017500
    11218.069200       0.018735
    11218.747500       0.019269
    11223.004500       0.024200
    11231.144600       0.038133
    11235.578900       0.048806
    11235.754300       0.049351
    11244.064700       0.076776
    11248.182700       0.097143
    11250.537800       0.109266
    11251.927700       0.115901
    11252.188600       0.118503
    11259.014500       0.164870
    11259.664900       0.169923
    11260.658900       0.177933
    11260.954400       0.179979
    11260.967100       0.180266
    11267.420300       0.238719
    11268.790300       0.250423
    11269.045500       0.253600
    11273.729700       0.302229
    11277.795700       0.347296
    11285.464000       0.436194
    11285.661400       0.439306
    11286.164500       0.446709
    11292.762700       0.525456
    11294.229500       0.539134
    11302.243300       0.629441
    11303.011100       0.636395
    11303.214300       0.640402
    11310.112500       0.708733
    11311.010600       0.717061
    11318.206600       0.778550
    11319.773500       0.790487
    11327.360500       0.845140
    11328.023900       0.850910
    11328.515400       0.853108
    11335.576900       0.893514
    11336.477800       0.897763
    11336.801600       0.900517
    11343.481100       0.928937
    11344.716500       0.934261
    11345.255800       0.936340
