8,    JPSS-1 VIIRS M6 0.746mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_M6_BA_Fused_V2F.txt
Number of data points:
162
Wavenumber (cm-1)   Filter response
    13070.583200       0.000375
    13078.390200       0.000439
    13079.136000       0.000445
    13082.734400       0.000474
    13086.886300       0.000519
    13088.714000       0.000536
    13096.088100       0.000629
    13096.415700       0.000631
    13097.926900       0.000651
    13099.702800       0.000680
    13106.020800       0.000786
    13112.439400       0.000909
    13113.438500       0.000938
    13114.241600       0.000960
    13120.308500       0.001121
    13120.902400       0.001124
    13122.329800       0.001160
    13122.739600       0.001184
    13129.140200       0.001390
    13130.538300       0.001452
    13131.186600       0.001463
    13137.683400       0.001784
    13138.011400       0.001777
    13138.684600       0.001816
    13145.361700       0.002197
    13147.259300       0.002331
    13152.912200       0.002782
    13154.327500       0.002933
    13155.549200       0.003031
    13155.753500       0.003040
    13163.199900       0.003894
    13164.844400       0.004087
    13170.942600       0.005088
    13171.967900       0.005294
    13172.729700       0.005450
    13175.182000       0.005953
    13179.469200       0.006944
    13180.176200       0.007286
    13181.201200       0.007536
    13187.963300       0.009663
    13189.003400       0.010024
    13196.792300       0.013743
    13197.527300       0.014113
    13198.307600       0.014858
    13206.030700       0.020235
    13207.113800       0.021447
    13213.846700       0.028585
    13217.364200       0.039088
    13231.572000       0.065924
    13239.060600       0.093902
    13246.698200       0.133814
    13247.551000       0.139282
    13255.353000       0.197204
    13256.071600       0.204554
    13257.103200       0.216360
    13272.677200       0.384443
    13273.045400       0.393514
    13279.443600       0.474570
    13280.868600       0.494361
    13289.358000       0.602975
    13290.076800       0.614840
    13296.443700       0.685845
    13297.868800       0.703206
    13298.567300       0.711749
    13306.390600       0.784603
    13314.176900       0.842218
    13314.905500       0.847495
    13315.605800       0.853449
    13323.033700       0.890758
    13329.448200       0.918134
    13338.280900       0.943166
    13340.387700       0.948851
    13356.691500       0.977141
    13363.433100       0.984034
    13365.233500       0.985097
    13366.660900       0.988242
    13373.716600       0.992689
    13381.841600       0.997883
    13388.244800       0.999357
    13390.024900       0.999401
    13396.766100       1.000000
    13398.528800       0.999311
    13405.262400       0.999090
    13407.036300       0.999125
    13415.558200       0.996490
    13417.288000       0.996733
    13423.346700       0.996085
    13425.806700       0.995689
    13432.169000       0.995375
    13432.533500       0.995476
    13441.012000       0.994937
    13448.855400       0.995744
    13449.508400       0.995299
    13455.911300       0.992643
    13457.662400       0.991739
    13459.461000       0.989365
    13464.412100       0.982668
    13466.130900       0.978082
    13474.395900       0.954464
    13482.507400       0.911891
    13482.865500       0.910001
    13489.167400       0.863792
    13490.990900       0.848558
    13497.719400       0.784505
    13506.229300       0.684172
    13507.978900       0.670335
    13509.820200       0.647650
    13522.537100       0.495010
    13524.344000       0.474401
    13533.132900       0.374394
    13533.501000       0.370029
    13539.555200       0.307088
    13541.366600       0.290430
    13543.506900       0.273774
    13548.400600       0.228308
    13549.858300       0.216093
    13551.646700       0.202301
    13557.680400       0.160441
    13558.355000       0.155428
    13566.481500       0.113534
    13566.860600       0.109771
    13572.878300       0.085075
    13574.951200       0.077525
    13575.347400       0.075361
    13581.367100       0.057740
    13583.490500       0.053330
    13585.291600       0.048559
    13589.476900       0.038585
    13593.457700       0.033145
    13600.150100       0.024238
    13606.567700       0.017362
    13608.873100       0.016626
    13613.291600       0.013147
    13616.865500       0.011758
    13617.214100       0.011374
    13623.228400       0.009133
    13623.250600       0.008599
    13631.347300       0.006538
    13634.224300       0.005863
    13642.319100       0.004431
    13650.827900       0.003456
    13655.853600       0.002950
    13658.660800       0.002797
    13660.750600       0.002717
    13665.283100       0.002296
    13669.233800       0.002178
    13672.805400       0.001982
    13675.924400       0.001913
    13677.750000       0.001873
    13682.731900       0.001687
    13684.065000       0.001626
    13690.005400       0.001477
    13697.626300       0.001344
    13698.373100       0.001310
    13701.092600       0.001287
    13708.940000       0.001179
    13709.680500       0.001167
    13711.802900       0.001161
    13714.544600       0.001097
    13716.013800       0.001102
    13733.479300       0.000932
    13750.425900       0.000798
