12,    JPSS-1 VIIRS M9 1.378mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_M9_BA_HB_V2.1F.txt
Number of data points:
86
Wavenumber (cm-1)   Filter response
     7158.196100       0.000874
     7160.759000       0.000958
     7163.323800       0.001043
     7165.890400       0.001129
     7168.458800       0.001240
     7171.029000       0.001264
     7173.601100       0.001553
     7176.175100       0.001885
     7178.750900       0.002236
     7181.328500       0.002521
     7183.908000       0.003043
     7186.489400       0.003891
     7189.072600       0.004888
     7191.657700       0.006044
     7194.244600       0.007479
     7196.833400       0.009607
     7199.424000       0.012016
     7202.016600       0.014396
     7204.611000       0.019128
     7207.207200       0.026718
     7209.805300       0.036070
     7212.405300       0.047855
     7215.007200       0.064374
     7217.611000       0.085337
     7220.216600       0.120808
     7222.824100       0.169289
     7225.433500       0.224796
     7228.044800       0.291923
     7230.658000       0.338749
     7233.273100       0.456011
     7235.890000       0.567291
     7238.508900       0.668803
     7241.129600       0.727617
     7243.752300       0.789929
     7246.376800       0.842710
     7249.003300       0.918056
     7251.631600       0.936956
     7254.261900       0.954720
     7256.894000       0.969627
     7259.528100       0.991717
     7262.164100       1.000000
     7264.802000       0.982726
     7267.441900       0.979605
     7270.083600       0.982468
     7272.727300       0.966272
     7275.372900       0.961237
     7278.020400       0.952386
     7280.669800       0.949761
     7283.321200       0.945217
     7285.974500       0.927573
     7288.629700       0.936099
     7291.286900       0.920245
     7293.946000       0.941297
     7296.607100       0.920736
     7299.270100       0.896287
     7301.935000       0.837369
     7304.601900       0.767425
     7307.270700       0.665759
     7309.941500       0.528289
     7312.614300       0.408348
     7315.289000       0.319373
     7317.965600       0.251034
     7320.644200       0.199374
     7323.324800       0.159187
     7326.007300       0.113057
     7328.691800       0.075797
     7331.378300       0.048164
     7334.066700       0.036561
     7336.757200       0.030309
     7339.449500       0.026048
     7342.143900       0.016747
     7344.840200       0.010706
     7347.538600       0.008421
     7350.238900       0.006412
     7352.941200       0.005672
     7355.645500       0.004864
     7358.351700       0.003553
     7361.060000       0.003059
     7363.770300       0.002494
     7366.482500       0.002152
     7369.196800       0.001734
     7371.913000       0.001392
     7374.631300       0.001373
     7377.351500       0.001262
     7380.073800       0.001286
     7382.716300       0.001580
