16,    JPSS-1 VIIRS I4 3.74mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_I4_BA_V1F.txt
Number of data points:
165
Wavenumber (cm-1)   Filter response
     2307.342700       0.000000
     2337.549100       0.000000
     2368.509200       0.000032
     2400.386900       0.000164
     2433.125500       0.000481
     2466.702600       0.002328
     2469.126700       0.002501
     2471.622700       0.003089
     2473.998300       0.003365
     2476.516400       0.004046
     2478.913700       0.004371
     2481.383400       0.005490
     2483.867300       0.005996
     2486.297400       0.007278
     2488.800400       0.008697
     2491.246400       0.010565
     2493.768700       0.012449
     2496.230700       0.015066
     2498.703800       0.018553
     2501.253800       0.021810
     2503.740000       0.027289
     2506.234300       0.033184
     2508.802800       0.040561
     2511.310300       0.050839
     2513.822900       0.063854
     2516.337300       0.080182
     2518.926600       0.099006
     2521.448100       0.126635
     2523.974600       0.159670
     2526.499800       0.202069
     2529.030100       0.252444
     2531.700000       0.323598
     2534.234300       0.396094
     2536.764100       0.482953
     2539.366500       0.583051
     2541.900000       0.671280
     2544.571300       0.758612
     2547.102300       0.836424
     2549.700000       0.899265
     2552.374700       0.938921
     2554.904900       0.953493
     2557.505500       0.980351
     2560.177000       0.975644
     2562.778500       0.978477
     2565.454400       0.963195
     2568.060000       0.953115
     2570.667700       0.946765
     2573.350100       0.935637
     2576.034900       0.919817
     2578.658800       0.919709
     2581.354600       0.910360
     2583.982700       0.924976
     2586.693000       0.926576
     2589.268300       0.930599
     2591.996400       0.946458
     2594.730400       0.936838
     2597.402600       0.936428
     2600.087100       0.953122
     2602.780600       0.963283
     2605.557700       0.974139
     2608.272700       0.975945
     2610.928600       0.978871
     2613.740200       0.986778
     2616.420900       0.989220
     2619.182600       0.992565
     2621.884900       1.000000
     2624.671900       0.993679
     2627.395900       0.996682
     2630.132400       0.988932
     2632.954300       0.986661
     2635.712900       0.982108
     2638.480700       0.971887
     2641.334500       0.979453
     2644.121100       0.985201
     2646.920600       0.966366
     2649.726100       0.959502
     2652.456600       0.968533
     2655.354900       0.957992
     2658.178200       0.954102
     2661.011100       0.951312
     2663.846500       0.954956
     2666.684400       0.956082
     2669.528400       0.938825
     2672.378400       0.934671
     2675.223800       0.934659
     2678.078900       0.926152
     2680.929200       0.931557
     2683.782000       0.929820
     2686.716700       0.915502
     2689.650600       0.915677
     2692.503900       0.908110
     2695.439600       0.906104
     2698.294300       0.918121
     2701.228000       0.901092
     2704.164400       0.905083
     2707.099900       0.887859
     2710.034400       0.892249
     2712.968000       0.897715
     2715.907900       0.896674
     2718.928100       0.897245
     2721.792000       0.889293
     2724.740000       0.886978
     2727.768700       0.892027
     2730.725900       0.882874
     2733.767900       0.889973
     2736.738100       0.891572
     2739.793600       0.892043
     2742.701700       0.895240
     2745.774300       0.893237
     2748.778200       0.886418
     2751.792400       0.894763
     2754.820900       0.890521
     2757.859900       0.886381
     2760.905600       0.888371
     2763.973300       0.890900
     2767.047800       0.893508
     2770.052400       0.899670
     2773.159700       0.892289
     2776.193000       0.895473
     2779.321800       0.891684
     2782.384200       0.887384
     2785.457100       0.870061
     2788.630200       0.862434
     2791.728700       0.844623
     2794.845700       0.815759
     2797.969800       0.778109
     2801.195000       0.732992
     2804.254600       0.680581
     2807.411600       0.625814
     2810.579600       0.568387
     2813.758700       0.501830
     2816.857800       0.437737
     2820.051100       0.379316
     2823.251700       0.319238
     2826.463600       0.269592
     2829.586700       0.222734
     2832.805000       0.184746
     2836.026600       0.152262
     2839.255500       0.123208
     2842.483800       0.100025
     2845.715300       0.079569
     2848.950100       0.064543
     2852.184100       0.051572
     2855.511100       0.040798
     2858.747800       0.033550
     2861.983700       0.027576
     2865.403400       0.021762
     2868.637900       0.018153
     2871.966300       0.015081
     2875.207400       0.012319
     2878.538600       0.009904
     2881.777900       0.008197
     2885.203500       0.007038
     2888.537100       0.005784
     2891.878400       0.004830
     2895.126900       0.004081
     2898.567500       0.003269
     2901.923700       0.002976
     2905.279200       0.002286
     2908.735500       0.002368
     2912.026200       0.002144
     2956.742900       0.000320
     3006.569400       0.000072
     3058.010500       0.000024
     3111.455400       0.000006
