22,    JPSS-1 VIIRS M16 12.013mu   SRF version 2.1 (V2.1) Nov 2016 J1_VIIRS_RSR_M16_BA_V1F.txt
Number of data points:
55
Wavenumber (cm-1)   Filter response
      755.452500       0.000000
      762.954000       0.000000
      770.600100       0.000828
      778.397900       0.002359
      782.341000       0.004026
      786.355200       0.007555
      790.398200       0.015043
      794.464200       0.031028
      798.584900       0.068774
      802.764700       0.164154
      806.965700       0.346846
      811.234000       0.560189
      815.521000       0.699232
      819.883800       0.742532
      824.256200       0.779186
      828.703000       0.850650
      833.197900       0.936228
      837.738400       0.993159
      842.318100       1.000000
      846.951600       0.990247
      851.640000       0.965753
      856.388000       0.939419
      861.174400       0.900854
      866.033300       0.847473
      870.943600       0.725359
      875.886800       0.487202
      880.913700       0.249300
      885.982900       0.104114
      891.118700       0.041477
      896.290300       0.017980
      901.550700       0.008416
      906.869100       0.004110
      917.679600       0.001285
      928.763800       0.000529
      940.114700       0.000288
      951.746500       0.000170
      963.651100       0.000000
      975.890600       0.000000
      988.425500       0.000000
     1001.298700       0.000000
     1014.500800       0.000000
     1028.050400       0.000000
     1041.998800       0.000000
     1055.080500       0.000131
     1069.748700       0.000116
     1084.833400       0.000285
     1100.348500       0.000512
     1116.319400       0.002666
     1132.762600       0.000147
     1149.673700       0.000000
     1167.129400       0.000000
     1185.118500       0.000170
     1203.683800       0.006409
     1222.774900       0.000000
     1242.543200       0.000000
