6,    JPSS-2 VIIRS M4 0.56 mu  SRF version 2 (V2) July 2019 J2_VIIRS_RSR_M4_BA_Fused_V2F.txt
Number of data points:
166
Wavenumber (cm-1)   Filter response
    16792.639500       0.000004
    16949.296200       0.000000
    17064.890100       0.000002
    17182.145300       0.000001
    17301.053000       0.000022
    17366.266700       0.000123
    17367.322300       0.000112
    17382.628100       0.000205
    17396.266100       0.000216
    17397.628000       0.000219
    17412.805400       0.000211
    17426.885500       0.000218
    17427.827000       0.000214
    17443.148400       0.000198
    17457.491000       0.000200
    17458.405300       0.000204
    17473.475300       0.000254
    17487.929000       0.000403
    17488.754700       0.000424
    17503.907700       0.000696
    17518.442500       0.001137
    17519.332600       0.001160
    17549.340000       0.003010
    17550.294800       0.003119
    17565.554600       0.005210
    17580.037500       0.008828
    17580.933800       0.009119
    17581.088400       0.009149
    17592.037100       0.014395
    17594.296600       0.016202
    17596.463800       0.017199
    17601.512300       0.021218
    17601.605300       0.021761
    17605.075900       0.025880
    17614.006700       0.038904
    17614.285900       0.039183
    17615.154700       0.041497
    17629.595200       0.084842
    17654.619200       0.309452
    17654.993200       0.310831
    17665.597300       0.461864
    17667.220200       0.487198
    17677.401600       0.642577
    17678.151600       0.663440
    17692.539100       0.822222
    17693.196400       0.830067
    17705.006300       0.918131
    17710.430900       0.942652
    17721.478600       0.970552
    17721.667000       0.971182
    17740.278800       0.974412
    17750.229400       0.970846
    17756.470000       0.971754
    17766.975500       0.966362
    17786.663200       0.969999
    17787.106100       0.971997
    17788.023700       0.972294
    17791.220000       0.973667
    17794.639200       0.970051
    17795.019200       0.972205
    17797.046000       0.974408
    17806.553200       0.978060
    17826.074600       0.992838
    17835.072000       0.993775
    17850.066600       0.999743
    17867.257000       1.000000
    17883.393100       0.990961
    17898.212900       0.974726
    17911.068000       0.956511
    17928.569000       0.932469
    17944.204300       0.915465
    17945.009300       0.911301
    17957.931700       0.908850
    17973.489100       0.911388
    17989.655900       0.923351
    18001.735400       0.936839
    18017.271400       0.953612
    18034.818000       0.969766
    18045.167100       0.981502
    18050.671800       0.982262
    18057.223300       0.985533
    18058.625500       0.986150
    18058.984300       0.986839
    18059.082100       0.986970
    18059.277800       0.987812
    18063.583800       0.989978
    18070.079400       0.992395
    18070.373300       0.991944
    18075.762800       0.993970
    18081.711300       0.994908
    18089.136000       0.995498
    18103.446700       0.990346
    18109.479000       0.987773
    18114.202800       0.986421
    18123.427800       0.980363
    18124.314700       0.980355
    18125.037400       0.979833
    18129.407700       0.977550
    18130.196600       0.977384
    18136.970400       0.973540
    18144.045600       0.970476
    18144.506500       0.976906
    18151.225100       0.968141
    18153.729400       0.973451
    18158.707100       0.966228
    18163.093700       0.971898
    18164.974300       0.965984
    18178.513000       0.973331
    18194.719900       0.977540
    18209.596100       0.978060
    18225.626000       0.978910
    18233.468600       0.975431
    18241.451100       0.978953
    18242.116700       0.985695
    18249.307400       0.982086
    18255.104100       0.984395
    18257.503800       0.986047
    18263.072300       0.994734
    18266.174700       0.989947
    18275.922600       0.992819
    18285.714300       0.992873
    18296.855500       0.985522
    18303.352400       0.976361
    18305.295700       0.970788
    18309.083000       0.961111
    18315.085400       0.939708
    18327.673100       0.867968
    18329.991200       0.831948
    18331.032800       0.822810
    18331.503200       0.817768
    18347.815900       0.640470
    18352.159600       0.573807
    18354.719600       0.549756
    18356.876000       0.521114
    18368.677700       0.375511
    18374.212900       0.306998
    18375.833600       0.298142
    18381.406800       0.243701
    18381.643400       0.238323
    18389.046000       0.184791
    18398.248500       0.118679
    18399.704100       0.111346
    18401.464800       0.103929
    18403.462800       0.095906
    18416.308000       0.052736
    18422.991900       0.039382
    18423.059800       0.039023
    18430.937400       0.027753
    18447.631800       0.013957
    18464.629200       0.007039
    18481.965300       0.003924
    18499.950100       0.002315
    18513.375900       0.001691
    18527.027200       0.001298
    18541.833200       0.001002
    18554.355900       0.000788
    18554.596900       0.000759
    18571.585100       0.000568
    18609.221200       0.000394
    18625.095500       0.000328
    18641.726500       0.000281
    18660.824600       0.000213
    18726.276100       0.000048
    18867.924500       0.000020
    19011.171900       0.000011
    19267.692800       0.000007
