10,    JPSS-2 VIIRS DNB 0.65 mu  SRF version 2 (V2) July 2019 J2_VIIRS_RSR_DNBLGS_BA_Fused_V2FS.txt
Number of data points:
938
Wavenumber (cm-1)   Filter response
    10615.733800       0.000000
    10787.533100       0.000000
    10888.395000       0.000151
    10904.566500       0.000175
    10913.253800       0.000208
    10923.267300       0.000257
    10938.011000       0.000308
    10951.559100       0.000481
    10962.952900       0.000612
    10971.793700       0.000776
    10987.477600       0.001032
    10995.850200       0.001273
    11009.966200       0.001806
    11021.190400       0.002264
    11030.916300       0.003001
    11037.978400       0.002809
    11045.391000       0.003290
    11053.241300       0.003924
    11055.575300       0.004099
    11059.439000       0.004465
    11063.513400       0.004959
    11070.886900       0.005758
    11078.601600       0.006907
    11080.099100       0.006663
    11087.421000       0.008011
    11095.084900       0.009583
    11096.956300       0.010042
    11104.029200       0.011912
    11109.259600       0.013273
    11113.222600       0.015635
    11120.353400       0.019523
    11122.035400       0.020432
    11129.871100       0.025019
    11137.085300       0.033004
    11144.880100       0.042945
    11146.706300       0.045746
    11153.394900       0.061918
    11163.031600       0.087122
    11170.151600       0.113962
    11178.030300       0.151637
    11178.917500       0.159121
    11179.942300       0.167285
    11187.108900       0.204060
    11194.422500       0.256239
    11196.565800       0.271965
    11203.603100       0.331736
    11212.823900       0.421185
    11220.183800       0.500010
    11227.818000       0.569905
    11229.255400       0.582403
    11237.003000       0.642246
    11244.217700       0.693032
    11244.685500       0.697593
    11246.481300       0.706505
    11253.809400       0.752759
    11253.898100       0.756767
    11262.491500       0.800156
    11270.564600       0.831530
    11270.894800       0.840249
    11279.450600       0.854321
    11282.352100       0.854468
    11287.331400       0.859010
    11294.623600       0.865379
    11294.712900       0.859585
    11302.321300       0.855948
    11304.212200       0.855269
    11304.301600       0.842067
    11310.413200       0.851723
    11312.268400       0.853034
    11320.002900       0.851301
    11320.810300       0.858674
    11328.248500       0.850928
    11335.555100       0.846388
    11335.799200       0.849282
    11337.392900       0.844780
    11344.968700       0.840594
    11344.994500       0.835675
    11352.284100       0.832120
    11360.305700       0.833710
    11367.899300       0.842079
    11370.600900       0.840045
    11378.298900       0.849117
    11385.773900       0.851181
    11386.046200       0.854546
    11393.505500       0.854919
    11394.972500       0.840567
    11395.063400       0.852963
    11395.362100       0.858935
    11403.067700       0.860526
    11410.458100       0.867833
    11410.718500       0.871923
    11418.327600       0.874297
    11426.273100       0.880188
    11428.715100       0.884000
    11436.335100       0.887279
    11443.939000       0.889292
    11445.288100       0.891110
    11451.526800       0.886647
    11453.494200       0.888234
    11461.002800       0.889113
    11469.849800       0.898555
    11477.999000       0.902910
    11485.170300       0.907500
    11486.568800       0.908307
    11492.852600       0.906944
    11494.622800       0.909709
    11502.463300       0.912019
    11502.582300       0.909037
    11510.009700       0.916997
    11517.897700       0.918439
    11518.375300       0.926965
    11525.796500       0.925517
    11528.148300       0.928470
    11535.914800       0.925610
    11543.065400       0.922447
    11543.531800       0.924643
    11550.825400       0.919734
    11552.666900       0.917506
    11552.840400       0.920273
    11560.479800       0.915092
    11568.102600       0.914117
    11568.825300       0.915606
    11575.842600       0.914030
    11583.713800       0.909892
    11586.075900       0.913194
    11593.719000       0.908942
    11601.278000       0.910994
    11609.183800       0.913250
    11609.736400       0.916519
    11617.316300       0.918716
    11620.245700       0.918540
    11625.189900       0.925831
    11627.163400       0.927063
    11635.294000       0.929629
    11642.744700       0.934122
    11650.177800       0.931259
    11652.146200       0.933900
    11659.944700       0.930621
    11667.998800       0.932122
    11675.559600       0.927618
    11683.430400       0.927441
    11689.316700       0.922846
    11691.585300       0.926104
    11693.540400       0.925076
    11701.394500       0.925668
    11709.478500       0.921209
    11717.601100       0.922554
    11717.889500       0.924885
    11725.253900       0.926041
    11731.898000       0.930550
    11733.728800       0.935734
    11740.630700       0.938775
    11743.043400       0.937044
    11751.019400       0.941580
    11757.914000       0.939645
    11767.142400       0.942422
    11774.277700       0.938295
    11782.671000       0.936480
    11785.253800       0.935418
    11789.922400       0.929134
    11792.939600       0.930466
    11800.523900       0.924830
    11808.159900       0.923816
    11809.652000       0.924787
    11815.456700       0.917403
    11824.873600       0.917153
    11831.631200       0.916917
    11832.415100       0.922638
    11833.885400       0.920829
    11842.223700       0.923102
    11850.419300       0.928159
    11857.360700       0.930972
    11865.563200       0.931300
    11873.325900       0.930272
    11873.551400       0.934395
    11881.889300       0.933970
    11898.826700       0.929752
    11904.535200       0.934713
    11907.526200       0.933007
    11909.029300       0.935502
    11914.946300       0.934805
    11917.232400       0.934804
    11925.105600       0.931369
    11932.490700       0.936769
    11940.426800       0.941750
    11940.669200       0.935663
    11940.769000       0.940847
    11949.301500       0.944549
    11956.859700       0.945059
    11964.269900       0.949941
    11966.532000       0.950773
    11966.560600       0.954879
    11975.015300       0.951750
    11982.663500       0.950832
    11990.551400       0.955456
    11998.421000       0.956923
    12006.358600       0.956777
    12007.930000       0.958945
    12013.989100       0.954461
    12016.067900       0.957458
    12024.014400       0.951595
    12031.652900       0.953854
    12039.692500       0.948763
    12039.764900       0.943698
    12048.018600       0.943817
    12049.891400       0.945229
    12055.571400       0.939374
    12055.716700       0.943566
    12065.185800       0.940986
    12066.801800       0.940897
    12069.671000       0.935367
    12082.840000       0.942396
    12097.369300       0.946440
    12097.720500       0.953375
    12107.373000       0.961785
    12113.444800       0.961160
    12123.945500       0.971351
    12127.209600       0.966110
    12139.797000       0.965542
    12140.224400       0.971801
    12155.837800       0.958752
    12166.293800       0.961974
    12184.928200       0.947579
    12185.314300       0.955258
    12197.546600       0.956203
    12199.436400       0.963120
    12210.489300       0.975172
    12213.233300       0.972574
    12229.708200       0.975841
    12231.607900       0.982812
    12243.408800       0.982795
    12245.597700       0.974775
    12256.103500       0.975746
    12261.002400       0.968204
    12268.839700       0.969075
    12277.214600       0.959723
    12287.201000       0.951001
    12289.435900       0.955953
    12302.059900       0.962172
    12303.967000       0.957194
    12313.875800       0.969571
    12320.262800       0.962833
    12333.938900       0.966086
    12335.475600       0.960441
    12344.292200       0.962068
    12347.035700       0.968607
    12362.039600       0.959149
    12366.901200       0.962881
    12378.244500       0.956797
    12400.055600       0.948179
    12410.705000       0.954541
    12425.045900       0.952019
    12444.791800       0.959935
    12457.954400       0.972855
    12460.158600       0.967087
    12470.491700       0.978341
    12490.990900       0.975350
    12503.954400       0.975415
    12520.126100       0.966790
    12522.885600       0.964580
    12523.967700       0.969942
    12533.872800       0.959001
    12543.856500       0.965266
    12552.973500       0.970324
    12556.851100       0.980067
    12568.735300       0.988185
    12581.860700       0.995209
    12583.681500       0.990381
    12600.282500       0.994171
    12602.632700       1.000000
    12614.731000       0.997850
    12617.405000       0.990914
    12627.314900       0.989980
    12643.264000       0.972994
    12647.597500       0.978469
    12660.215000       0.980685
    12660.455400       0.985641
    12676.970500       0.982952
    12680.700000       0.986473
    12692.449300       0.985788
    12700.509300       0.991790
    12709.774800       0.984612
    12713.766100       0.988430
    12725.852100       0.978683
    12737.360700       0.967750
    12742.116100       0.957402
    12759.333500       0.955000
    12759.756700       0.962084
    12773.855500       0.962281
    12774.655100       0.956725
    12791.044200       0.965088
    12792.304100       0.970678
    12808.508900       0.981071
    12814.072900       0.987131
    12824.310800       0.982422
    12824.425900       0.987078
    12835.817100       0.984691
    12841.322300       0.977923
    12857.519400       0.976102
    12858.511400       0.981643
    12874.204900       0.974671
    12890.933700       0.969944
    12891.050000       0.973992
    12906.789700       0.979925
    12915.441300       0.986821
    12922.868600       0.982384
    12924.355000       0.987409
    12940.779100       0.982334
    12940.929800       0.986984
    12955.364900       0.981424
    12964.434700       0.984268
    12972.810300       0.975976
    12979.916200       0.975032
    12989.847100       0.965885
    12990.471500       0.971201
    13005.998400       0.965986
    13014.885100       0.973995
    13028.891600       0.974953
    13030.521400       0.979918
    13040.513000       0.984325
    13046.416500       0.982147
    13064.091100       0.983867
    13074.647100       0.973730
    13079.897200       0.965858
    13080.872500       0.970763
    13090.924300       0.960517
    13096.187600       0.954056
    13096.444800       0.959346
    13099.292600       0.955278
    13105.902200       0.954056
    13108.049700       0.953076
    13116.990400       0.951397
    13124.289600       0.952348
    13130.045200       0.950314
    13130.372800       0.955116
    13138.774400       0.956392
    13146.564500       0.961853
    13156.319400       0.968296
    13162.570900       0.965312
    13164.806300       0.967468
    13170.354600       0.969580
    13173.390800       0.964256
    13181.743300       0.960418
    13186.366900       0.955861
