12,    JPSS-2 VIIRS M9 1.38 mu  SRF version 2 (V2) July 2019 J2_VIIRS_RSR_M9_BA_WVCOR_Fused_V2F.txt
Number of data points:
46
Wavenumber (cm-1)   Filter response
     7114.703200       0.000498
     7123.674100       0.000867
     7125.750300       0.001026
     7127.949500       0.001189
     7130.150200       0.001394
     7132.301300       0.001648
     7134.591200       0.001912
     7148.080300       0.005616
     7150.293400       0.006942
     7152.477200       0.008358
     7154.503700       0.010042
     7154.631600       0.010130
     7156.920500       0.012599
     7159.185200       0.015357
     7172.633800       0.059256
     7174.625400       0.072541
     7176.618000       0.089165
     7178.854000       0.113583
     7185.436000       0.210963
     7185.492800       0.211285
     7187.424300       0.256347
     7189.460300       0.307347
     7191.678400       0.361057
     7193.804700       0.433008
     7198.340900       0.575584
     7198.926500       0.598898
     7201.456400       0.665486
     7210.616300       0.870170
     7225.470100       0.958756
     7239.462600       0.981623
     7249.455200       0.958013
     7257.173200       0.966975
     7260.055200       1.000000
     7265.873600       0.952329
     7271.812300       0.730836
     7277.586100       0.416444
     7280.590300       0.292612
     7283.618300       0.196760
     7286.632800       0.126971
     7292.595000       0.048687
     7298.433700       0.020531
     7304.399100       0.009734
     7319.476100       0.002076
     7322.445300       0.001659
     7334.045200       0.000688
     7336.913300       0.000593
