13,    JPSS-2 VIIRS I3 1.61 mu  SRF version 2 (V2) July 2019 J2_VIIRS_RSR_I3_BA_Fused_V2F.txt
Number of data points:
226
Wavenumber (cm-1)   Filter response
     5850.228300       0.002211
     5853.317000       0.002396
     5857.047100       0.002500
     5860.575700       0.002668
     5863.964200       0.002887
     5868.000500       0.003086
     5871.152900       0.003308
     5874.633000       0.003528
     5878.483500       0.003837
     5882.204200       0.004126
     5885.801300       0.004439
     5889.874700       0.004779
     5893.397900       0.005153
     5896.723600       0.005519
     5900.599700       0.006016
     5904.449500       0.006458
     5907.986700       0.006976
     5911.143700       0.007493
     5915.301200       0.008136
     5918.882900       0.008813
     5922.451400       0.009591
     5926.020700       0.010377
     5929.615500       0.011245
     5933.204000       0.012180
     5936.610100       0.013210
     5940.140000       0.014470
     5943.748400       0.015819
     5947.396500       0.017312
     5950.935700       0.018761
     5954.170700       0.020354
     5958.055300       0.022369
     5961.170100       0.024429
     5964.843200       0.026878
     5968.018600       0.029344
     5971.265100       0.032028
     5974.782800       0.035000
     5978.154600       0.038040
     5981.258300       0.041631
     5984.393900       0.045612
     5987.285400       0.049611
     5990.373500       0.053913
     5993.457500       0.058481
     5996.595100       0.063661
     5999.509200       0.069040
     6002.628000       0.075424
     6005.526300       0.082469
     6008.795700       0.089884
     6011.616800       0.097348
     6014.769900       0.106193
     6017.781300       0.114377
     6020.585600       0.123889
     6023.628300       0.133874
     6026.536000       0.145438
     6029.821100       0.158062
     6032.807600       0.171484
     6035.615000       0.183870
     6038.793200       0.198710
     6041.722900       0.212795
     6044.681100       0.229938
     6047.755500       0.247655
     6050.580400       0.265303
     6053.382400       0.283145
     6056.656400       0.303797
     6059.632800       0.325251
     6063.049700       0.349093
     6065.664500       0.370627
     6068.926000       0.396317
     6071.859200       0.423496
     6074.965100       0.450354
     6077.815500       0.475643
     6081.145600       0.502651
     6084.264600       0.530732
     6087.164500       0.561987
     6090.104300       0.589363
     6093.043200       0.619924
     6096.111300       0.650103
     6099.215900       0.675851
     6102.234400       0.704923
     6105.229700       0.732247
     6108.291500       0.759356
     6111.169500       0.784136
     6114.558700       0.810577
     6117.465100       0.831850
     6120.501700       0.851013
     6123.586200       0.870608
     6126.932900       0.886366
     6130.054000       0.902209
     6132.960100       0.914593
     6136.211600       0.925560
     6139.221600       0.934142
     6142.543900       0.942198
     6145.601600       0.947280
     6148.666100       0.952752
     6151.782900       0.957272
     6155.262800       0.960705
     6158.708700       0.963228
     6161.759700       0.965334
     6165.699500       0.967313
     6168.784100       0.968715
     6172.416600       0.970518
     6175.630000       0.971671
     6175.778700       0.974036
     6178.865800       0.975377
     6179.996100       0.973585
     6182.131800       0.977596
     6185.083700       0.979408
     6188.655000       0.981798
     6189.401900       0.979792
     6191.781800       0.984166
     6192.057800       0.984238
     6195.913500       0.987075
     6196.366600       0.987434
     6196.573900       0.985981
     6197.987300       0.988792
     6199.843300       0.987831
     6202.200400       0.992243
     6205.568100       0.994495
     6209.529400       0.996387
     6212.978400       0.998287
     6216.319200       0.999243
     6219.566900       0.999688
     6223.096800       0.999874
     6226.429100       0.999835
     6229.687300       1.000000
     6232.867400       0.999400
     6236.307400       0.999135
     6239.805700       0.998578
     6242.906500       0.998329
     6245.659300       0.998116
     6245.975200       0.998652
     6249.675800       0.999009
     6249.984400       0.998812
     6253.689700       0.999460
     6258.096400       0.999610
     6262.034800       0.998421
     6265.809400       0.997657
     6269.608200       0.994943
     6273.321100       0.988928
     6277.428400       0.978358
     6281.241300       0.965108
     6285.102300       0.946942
     6289.114400       0.923593
     6293.385000       0.890268
     6297.562300       0.848585
     6301.860400       0.801412
     6306.088700       0.753978
     6310.561700       0.688871
     6314.722000       0.627438
     6318.799900       0.569523
     6323.290900       0.504753
     6327.452000       0.447351
     6331.855100       0.391237
     6335.806600       0.344125
     6340.458500       0.294621
     6340.647500       0.292327
     6344.771100       0.254459
     6348.698500       0.221970
     6348.996700       0.220391
     6353.119100       0.189197
     6353.191700       0.188842
     6357.068900       0.164764
     6357.303300       0.163033
     6361.096600       0.143971
     6361.752100       0.140411
     6363.618400       0.131215
     6364.930800       0.125562
     6365.242700       0.124180
     6365.838400       0.121603
     6370.027200       0.106126
     6374.412600       0.091558
     6379.035900       0.078910
     6383.034400       0.069112
     6387.588700       0.060705
     6391.638700       0.053474
     6395.972100       0.047183
     6400.024600       0.041856
     6404.521100       0.037316
     6409.106100       0.033029
     6413.290400       0.029513
     6417.937400       0.026157
     6422.298200       0.023409
     6426.937600       0.020865
     6431.256900       0.018768
     6435.797500       0.016693
     6440.522700       0.014909
     6445.574900       0.013301
     6450.173100       0.011905
     6455.452900       0.010491
     6460.048500       0.009437
     6465.164700       0.008379
     6470.473300       0.007451
     6475.606100       0.006604
     6479.747500       0.005946
     6483.431900       0.005461
     6487.360400       0.004991
     6491.546400       0.004514
     6495.248400       0.004088
     6499.115100       0.003737
     6503.430600       0.003415
     6507.252000       0.003086
     6510.946500       0.002853
     6514.759800       0.002600
     6518.492600       0.002376
     6522.297800       0.002176
     6525.707000       0.001992
     6529.507800       0.001845
     6532.655800       0.001714
     6536.537300       0.001585
     6540.145400       0.001430
     6543.230800       0.001343
     6547.163500       0.001234
     6550.041000       0.001171
     6554.325500       0.001060
     6557.437200       0.000972
     6560.638000       0.000931
     6564.608900       0.000848
     6567.993500       0.000797
     6571.563000       0.000754
     6574.829400       0.000693
     6577.597200       0.000659
     6578.172700       0.000668
     6580.757100       0.000627
     6584.518200       0.000574
     6584.761000       0.000571
     6587.354900       0.000539
     6590.993300       0.000528
