17,    JPSS-2 VIIRS M12 3.69 mu  SRF version 2 (V2) July 2019 J2_VIIRS_RSR_M12_BA_V2F.txt
Number of data points:
88
Wavenumber (cm-1)   Filter response
     2286.723100       0.000002
     2315.348100       0.000004
     2344.665900       0.000007
     2374.710300       0.000034
     2405.580900       0.000067
     2437.205400       0.000104
     2469.763900       0.000218
     2503.150800       0.000564
     2528.154200       0.001150
     2532.376400       0.001361
     2536.664300       0.001555
     2537.436700       0.001776
     2540.886000       0.001802
     2545.176900       0.002134
     2549.472500       0.002468
     2553.759800       0.003021
     2558.048500       0.003510
     2562.341800       0.004235
     2566.774600       0.005058
     2571.077400       0.006194
     2575.457700       0.007508
     2579.779700       0.009510
     2584.256500       0.011920
     2588.681800       0.014993
     2593.132300       0.019489
     2597.534200       0.025300
     2602.032200       0.033639
     2606.488100       0.043836
     2610.979700       0.060344
     2615.500500       0.079783
     2619.978600       0.112259
     2624.565100       0.153260
     2629.112400       0.213846
     2633.609600       0.296037
     2638.292700       0.420814
     2642.845800       0.541528
     2647.502300       0.688903
     2652.104800       0.832314
     2656.804600       0.934661
     2661.439600       0.987783
     2666.172500       0.994606
     2670.758300       1.000000
     2675.506500       0.992225
     2680.261000       0.973014
     2685.017900       0.950528
     2689.777200       0.959220
     2694.618800       0.970497
     2699.379500       0.968898
     2704.219300       0.968668
     2709.058000       0.979090
     2713.903100       0.973419
     2718.754400       0.970530
     2723.608200       0.958324
     2728.553900       0.946729
     2733.435400       0.944377
     2738.330600       0.931234
     2743.329900       0.919521
     2748.272000       0.911029
     2753.326700       0.944183
     2758.247900       0.961703
     2763.369900       0.989167
     2768.357700       0.962995
     2773.467300       0.879317
     2778.530300       0.708943
     2783.631100       0.500149
     2788.766300       0.336654
     2793.939900       0.209649
     2799.058400       0.131636
     2804.301800       0.083856
     2809.482000       0.054928
     2814.685300       0.035781
     2819.915900       0.024367
     2825.170000       0.017017
     2830.431700       0.012038
     2835.805400       0.008624
     2841.005900       0.006377
     2846.395700       0.004745
     2851.785600       0.003558
     2857.183700       0.002722
     2862.487500       0.002131
     2867.979700       0.001679
     2873.377400       0.001325
     2894.389500       0.000599
     2940.251200       0.000129
     2987.799300       0.000039
     3036.675400       0.000016
     3087.386900       0.000007
     3139.673100       0.000001
