21,    JPSS-2 VIIRS I5 11.39 mu  SRF version 2 (V2) July 2019 J2_VIIRS_RSR_I5_BA_V2F.txt
Number of data points:
41
Wavenumber (cm-1)   Filter response
      770.006700       0.000000
      775.680900       0.000000
      780.515200       0.002398
      781.424000       0.001856
      785.419500       0.005432
      790.382600       0.017234
      795.421600       0.061582
      800.509100       0.202119
      805.671900       0.424560
      810.908300       0.540363
      816.193300       0.589681
      821.557700       0.614930
      826.993100       0.650116
      832.507800       0.692426
      838.079000       0.733942
      843.739500       0.745861
      849.469700       0.763499
      855.285700       0.804544
      861.174400       0.826115
      867.159800       0.830168
      873.213700       0.818723
      879.352800       0.815012
      885.586600       0.836561
      891.901500       0.856886
      898.307100       0.881380
      904.801300       0.889037
      911.406700       0.905231
      918.113500       0.939296
      924.898300       0.977679
      931.801500       1.000000
      938.799700       0.642347
      945.890300       0.092424
      953.098000       0.012293
      959.494900       0.002885
      960.434900       0.002838
      967.862100       0.002010
      968.330700       0.001196
      977.316500       0.000872
      986.480300       0.001006
      995.817600       0.000000
     1005.337800       0.000000
