 6 , VTPR channel 6 set4 extracted from VTPR_filters_chan6 (source Tom Kleespies, March 2008)
Number of data points:
145
Wavenumber (cm-1)   Filter response
      733.800000       0.000160
      734.000000       0.000560
      734.200000       0.000960
      734.400000       0.001360
      734.600000       0.001750
      734.800000       0.002230
      735.000000       0.002790
      735.200000       0.003350
      735.400000       0.003990
      735.600000       0.004630
      735.800000       0.005340
      736.000000       0.006220
      736.200000       0.007100
      736.400000       0.008130
      736.600000       0.009330
      736.800000       0.010690
      737.000000       0.012280
      737.200000       0.014120
      737.400000       0.016190
      737.600000       0.018660
      737.800000       0.021450
      738.000000       0.024640
      738.200000       0.028310
      738.400000       0.032540
      738.600000       0.037320
      738.800000       0.042830
      739.000000       0.049370
      739.200000       0.057580
      739.400000       0.067950
      739.600000       0.081190
      739.800000       0.097780
      740.000000       0.117870
      740.200000       0.141000
      740.400000       0.166920
      740.600000       0.195150
      740.800000       0.225300
      741.000000       0.257040
      741.200000       0.290300
      741.400000       0.324830
      741.600000       0.360640
      741.800000       0.397570
      742.000000       0.434490
      742.200000       0.469900
      742.400000       0.501960
      742.600000       0.528920
      742.800000       0.549250
      743.000000       0.562810
      743.200000       0.571270
      743.400000       0.576530
      743.600000       0.580200
      743.800000       0.584030
      744.000000       0.588730
      744.200000       0.594070
      744.400000       0.599660
      744.600000       0.605320
      744.800000       0.610580
      745.000000       0.615530
      745.200000       0.620310
      745.400000       0.624940
      745.600000       0.629560
      745.800000       0.634510
      746.000000       0.639610
      746.200000       0.645040
      746.400000       0.650780
      746.600000       0.656840
      746.800000       0.663220
      747.000000       0.669600
      747.200000       0.675580
      747.400000       0.680530
      747.600000       0.683960
      747.800000       0.685470
      748.000000       0.684830
      748.200000       0.682360
      748.400000       0.678290
      748.600000       0.673030
      748.800000       0.666730
      749.000000       0.659710
      749.200000       0.651970
      749.400000       0.643520
      749.600000       0.634670
      749.800000       0.625260
      750.000000       0.615530
      750.200000       0.605400
      750.400000       0.595030
      750.600000       0.584340
      750.800000       0.573580
      751.000000       0.562490
      751.200000       0.551090
      751.400000       0.539210
      751.600000       0.526600
      751.800000       0.513210
      752.000000       0.498690
      752.200000       0.482660
      752.400000       0.464640
      752.600000       0.444220
      752.800000       0.421010
      753.000000       0.395250
      753.200000       0.368060
      753.400000       0.340300
      753.600000       0.313110
      753.800000       0.287430
      754.000000       0.263660
      754.200000       0.241330
      754.400000       0.220280
      754.600000       0.199940
      754.800000       0.180080
      755.000000       0.160700
      755.200000       0.142040
      755.400000       0.124490
      755.600000       0.108380
      755.800000       0.094110
      756.000000       0.081670
      756.200000       0.070900
      756.400000       0.061330
      756.600000       0.052880
      756.800000       0.045220
      757.000000       0.038280
      757.200000       0.032060
      757.400000       0.026560
      757.600000       0.022010
      757.800000       0.018260
      758.000000       0.015390
      758.200000       0.013240
      758.400000       0.011640
      758.600000       0.010450
      758.800000       0.009570
      759.000000       0.008930
      759.200000       0.008370
      759.400000       0.007900
      759.600000       0.007340
      759.800000       0.006620
      760.000000       0.005820
      760.200000       0.005020
      760.400000       0.004150
      760.600000       0.003350
      760.800000       0.002710
      761.000000       0.002150
      761.200000       0.001750
      761.400000       0.001360
      761.600000       0.001120
      761.800000       0.000880
      762.000000       0.000640
      762.200000       0.000480
      762.400000       0.000240
      762.600000       0.000080
