9  ,noaa_07_hirs_09.flt   shift of -7.03cm-1 applied
Number of data points:
49
Wavenumber (cm-1)   Filter response
      968.840000       0.000000
      973.830000       0.003414
      986.660000       0.011519
      990.190000       0.017779
      993.070000       0.032166
      994.870000       0.046506
      996.270000       0.067363
      997.870000       0.106960
      999.170000       0.141870
     1000.470000       0.195520
     1001.170000       0.232570
     1002.670000       0.340030
     1004.270000       0.462620
     1005.370000       0.555080
     1007.070000       0.696010
     1008.170000       0.785350
     1009.270000       0.876220
     1010.870000       0.929030
     1012.270000       0.956810
     1013.370000       0.966600
     1014.570000       0.967720
     1015.870000       0.963290
     1018.470000       0.932710
     1020.570000       0.914800
     1021.870000       0.916070
     1023.170000       0.925470
     1024.470000       0.942090
     1026.570000       0.994640
     1027.770000       1.000000
     1028.370000       0.992670
     1029.070000       0.985020
     1030.070000       0.924920
     1030.570000       0.871620
     1031.670000       0.765390
     1032.470000       0.661080
     1033.170000       0.560490
     1033.970000       0.478350
     1034.370000       0.407400
     1035.770000       0.267980
     1038.270000       0.131970
     1039.870000       0.077583
     1041.670000       0.047573
     1043.270000       0.034239
     1044.170000       0.024737
     1046.170000       0.014811
     1049.470000       0.012418
     1055.170000       0.005820
     1061.670000       0.002883
     1065.070000       0.000000
