4, Resampled Sentinel-3A SLSTR S4 unpolarised FPA response at 87 K created 2015-01-22T17:20:15Z
Number of data points:
301
Wavenumber (cm-1)   Filter response
     7117.437722       0.000561
     7118.451025       0.000576
     7119.464616       0.000576
     7120.478496       0.000563
     7121.492665       0.000542
     7122.507123       0.000522
     7123.521869       0.000515
     7124.536905       0.000526
     7125.552230       0.000559
     7126.567845       0.000612
     7127.583749       0.000677
     7128.599943       0.000750
     7129.616427       0.000824
     7130.633200       0.000894
     7131.650264       0.000957
     7132.667618       0.001008
     7133.685262       0.001045
     7134.703196       0.001069
     7135.721421       0.001084
     7136.739937       0.001097
     7137.758744       0.001113
     7138.777841       0.001140
     7139.797230       0.001180
     7140.816909       0.001232
     7141.836880       0.001295
     7142.857143       0.001363
     7143.877697       0.001432
     7144.898542       0.001499
     7145.919680       0.001564
     7146.941109       0.001629
     7147.962831       0.001697
     7148.984844       0.001771
     7150.007150       0.001852
     7151.029748       0.001941
     7152.052639       0.002035
     7153.075823       0.002130
     7154.099299       0.002221
     7155.123068       0.002298
     7156.147130       0.002352
     7157.171486       0.002372
     7158.196135       0.002350
     7159.221077       0.002278
     7160.246312       0.002156
     7161.271842       0.001980
     7162.297665       0.001751
     7163.323782       0.001466
     7164.350193       0.001123
     7165.376899       0.000727
     7166.403899       0.000284
     7167.431193       0.000000
     7168.458781       0.000000
     7169.486665       0.000000
     7170.514843       0.000000
     7171.543316       0.000000
     7172.572084       0.000000
     7173.601148       0.000000
     7174.630507       0.000000
     7175.660161       0.000000
     7176.690111       0.000000
     7177.720356       0.000000
     7178.750897       0.000000
     7179.781735       0.000000
     7180.812868       0.000000
     7181.844298       0.000000
     7182.876024       0.000000
     7183.908046       0.000000
     7184.940365       0.000000
     7185.972981       0.000000
     7187.005893       0.000000
     7188.039103       0.000000
     7189.072610       0.000000
     7190.106414       0.000333
     7191.140515       0.001314
     7192.174914       0.002524
     7193.209610       0.003997
     7194.244604       0.005765
     7195.279896       0.007865
     7196.315486       0.010341
     7197.351375       0.013252
     7198.387561       0.016667
     7199.424046       0.020676
     7200.460829       0.025389
     7201.497912       0.030937
     7202.535292       0.037479
     7203.572972       0.045201
     7204.610951       0.054321
     7205.649229       0.065081
     7206.687806       0.077753
     7207.726683       0.092628
     7208.765859       0.110012
     7209.805335       0.130210
     7210.845111       0.153512
     7211.885187       0.180175
     7212.925563       0.210399
     7213.966239       0.244304
     7215.007215       0.281899
     7216.048492       0.323057
     7217.090069       0.367484
     7218.131947       0.414707
     7219.174126       0.464078
     7220.216607       0.514793
     7221.259388       0.565939
     7222.302470       0.616550
     7223.345854       0.665664
     7224.389539       0.712387
     7225.433526       0.755946
     7226.477815       0.795745
     7227.522405       0.831396
     7228.567298       0.862738
     7229.612493       0.889816
     7230.657990       0.912843
     7231.703789       0.932135
     7232.749892       0.948063
     7233.796296       0.961012
     7234.843004       0.971369
     7235.890014       0.979501
     7236.937328       0.985752
     7237.984945       0.990441
     7239.032865       0.993856
     7240.081089       0.996255
     7241.129616       0.997872
     7242.178447       0.998909
     7243.227582       0.999534
     7244.277021       0.999874
     7245.326764       1.000001
     7246.376812       0.999961
     7247.427163       0.999780
     7248.477820       0.999486
     7249.528781       0.999123
     7250.580046       0.998743
     7251.631617       0.998398
     7252.683493       0.998132
     7253.735674       0.997975
     7254.788160       0.997942
     7255.840952       0.998026
     7256.894049       0.998188
     7257.947452       0.998365
     7259.001161       0.998478
     7260.055176       0.998459
     7261.109498       0.998274
     7262.164125       0.997937
     7263.219059       0.997500
     7264.274299       0.997028
     7265.329846       0.996579
     7266.385700       0.996186
     7267.441860       0.995866
     7268.498328       0.995620
     7269.555103       0.995458
     7270.612186       0.995377
     7271.669575       0.995352
     7272.727273       0.995336
     7273.785278       0.995265
     7274.843591       0.995069
     7275.902212       0.994716
     7276.961141       0.994219
     7278.020378       0.993624
     7279.079924       0.992977
     7280.139779       0.992314
     7281.199942       0.991638
     7282.260414       0.990928
     7283.321194       0.990147
     7284.382284       0.989260
     7285.443684       0.988241
     7286.505392       0.987087
     7287.567410       0.985814
     7288.629738       0.984448
     7289.692375       0.983008
     7290.755322       0.981498
     7291.818580       0.979908
     7292.882147       0.978221
     7293.946025       0.976439
     7295.010213       0.974594
     7296.074712       0.972742
     7297.139521       0.970950
     7298.204642       0.969282
     7299.270073       0.967790
     7300.335815       0.966517
     7301.401869       0.965527
     7302.468234       0.964892
     7303.534911       0.964689
     7304.601899       0.964978
     7305.669199       0.965772
     7306.736811       0.967028
     7307.804735       0.968657
     7308.872972       0.970551
     7309.941520       0.972571
     7311.010382       0.974536
     7312.079555       0.976140
     7313.149042       0.976890
     7314.218841       0.976070
     7315.288954       0.972765
     7316.359380       0.965917
     7317.430119       0.954420
     7318.501171       0.937230
     7319.572537       0.913476
     7320.644217       0.882575
     7321.716210       0.844319
     7322.788518       0.798943
     7323.861140       0.747143
     7324.934076       0.690053
     7326.007326       0.629161
     7327.080891       0.566195
     7328.154771       0.502970
     7329.228965       0.441228
     7330.303475       0.382494
     7331.378299       0.327953
     7332.453439       0.278397
     7333.528894       0.234235
     7334.604665       0.195543
     7335.680751       0.162137
     7336.757153       0.133656
     7337.833871       0.109627
     7338.910906       0.089523
     7339.988256       0.072815
     7341.065923       0.058997
     7342.143906       0.047611
     7343.222206       0.038251
     7344.300823       0.030564
     7345.379756       0.024248
     7346.459007       0.019044
     7347.538575       0.014740
     7348.618460       0.011163
     7349.698662       0.008186
     7350.779183       0.005711
     7351.860021       0.003665
     7352.941176       0.001986
     7354.022650       0.000613
     7355.104442       0.000000
     7356.186553       0.000000
     7357.268982       0.000000
     7358.351729       0.000000
     7359.434795       0.000000
     7360.518180       0.000000
     7361.601885       0.000000
     7362.685908       0.000000
     7363.770250       0.000000
     7364.854912       0.000000
     7365.939894       0.000000
     7367.025195       0.000000
     7368.110816       0.000000
     7369.196758       0.000000
     7370.283019       0.000000
     7371.369600       0.000000
     7372.456503       0.000000
     7373.543725       0.000000
     7374.631268       0.000014
     7375.719133       0.000473
     7376.807318       0.000917
     7377.895824       0.001336
     7378.984652       0.001711
     7380.073801       0.002032
     7381.163271       0.002292
     7382.253064       0.002501
     7383.343178       0.002672
     7384.433614       0.002819
     7385.524372       0.002948
     7386.615453       0.003053
     7387.706856       0.003121
     7388.798581       0.003140
     7389.890630       0.003100
     7390.983001       0.003002
     7392.075695       0.002859
     7393.168712       0.002685
     7394.262053       0.002498
     7395.355717       0.002312
     7396.449704       0.002138
     7397.544015       0.001984
     7398.638650       0.001855
     7399.733610       0.001752
     7400.828893       0.001676
     7401.924500       0.001617
     7403.020432       0.001569
     7404.116689       0.001521
     7405.213270       0.001467
     7406.310176       0.001407
     7407.407407       0.001344
     7408.504964       0.001283
     7409.602845       0.001235
     7410.701052       0.001211
     7411.799585       0.001219
     7412.898443       0.001257
     7413.997628       0.001313
     7415.097138       0.001366
     7416.196974       0.001388
     7417.297137       0.001353
     7418.397626       0.001251
     7419.498442       0.001084
     7420.599584       0.000873
     7421.701054       0.000645
     7422.802850       0.000428
     7423.904974       0.000245
     7425.007425       0.000109
     7426.110203       0.000025
     7427.213310       0.000000
     7428.316743       0.000000
     7429.420505       0.000000
     7430.524595       0.000000
     7431.629013       0.000000
     7432.733759       0.000000
     7433.838834       0.000000
     7434.944238       0.000000
