219, band 15 module 3 CCD column 730 from OLCI S3B spectral characterisation S3B_O_CCDB_V1.01_2017_12_19/S3B_O_CCDB_V1.01_2017_12_19_OL/NetCDF/S3B_OL_CCDB_CHAR_AllFiles.20171219120937_1.nc4 created Tue Jan  9 13:27:22 2018
Number of data points:
200
Wavenumber (cm-1)   Filter response
    12926.814000       0.000000
    12927.759000       0.000000
    12928.704000       0.000000
    12929.649000       0.000000
    12930.595000       0.000000
    12931.540000       0.000000
    12932.485000       0.000000
    12933.432000       0.000000
    12934.377000       0.000000
    12935.324000       0.000000
    12936.269000       0.000000
    12937.215000       0.000000
    12938.162000       0.000000
    12939.109000       0.000000
    12940.056000       0.000000
    12941.002000       0.000000
    12941.950000       0.000000
    12942.897000       0.000000
    12943.844000       0.000000
    12944.792000       0.000000
    12945.739000       0.000000
    12946.687000       0.000000
    12947.634000       0.000000
    12948.583000       0.000000
    12949.531000       0.000001
    12950.478000       0.000001
    12951.427000       0.000002
    12952.376000       0.000003
    12953.325000       0.000004
    12954.273000       0.000006
    12955.223000       0.000008
    12956.171000       0.000012
    12957.120000       0.000018
    12958.070000       0.000026
    12959.019000       0.000038
    12959.970000       0.000054
    12960.919000       0.000077
    12961.868000       0.000109
    12962.819000       0.000154
    12963.769000       0.000215
    12964.720000       0.000298
    12965.670000       0.000410
    12966.621000       0.000562
    12967.571000       0.000763
    12968.522000       0.001031
    12969.474000       0.001383
    12970.424000       0.001842
    12971.376000       0.002438
    12972.327000       0.003205
    12973.279000       0.004186
    12974.231000       0.005431
    12975.182000       0.006998
    12976.135000       0.008959
    12977.087000       0.011392
    12978.039000       0.014390
    12978.991000       0.018056
    12979.944000       0.022505
    12980.897000       0.027866
    12981.849000       0.034274
    12982.803000       0.041878
    12983.756000       0.050830
    12984.710000       0.061288
    12985.663000       0.073411
    12986.616000       0.087353
    12987.570000       0.103261
    12988.523000       0.121266
    12989.478000       0.141480
    12990.432000       0.163989
    12991.386000       0.188845
    12992.340000       0.216063
    12993.295000       0.245615
    12994.250000       0.277424
    12995.204000       0.311361
    12996.160000       0.347246
    12997.114000       0.384848
    12998.070000       0.423882
    12999.025000       0.464022
    12999.980000       0.504898
    13000.937000       0.546115
    13001.892000       0.587252
    13002.848000       0.627882
    13003.804000       0.667582
    13004.760000       0.705945
    13005.717000       0.742594
    13006.673000       0.777193
    13007.630000       0.809459
    13008.587000       0.839170
    13009.544000       0.866167
    13010.501000       0.890364
    13011.458000       0.911739
    13012.415000       0.930339
    13013.373000       0.946320
    13014.331000       0.959805
    13015.288000       0.970952
    13016.247000       0.979968
    13017.204000       0.987067
    13018.162000       0.992453
    13019.121000       0.996311
    13020.079000       0.998792
    13021.038000       1.000000
    13021.997000       0.999991
    13022.956000       0.998766
    13023.915000       0.996271
    13024.873000       0.992399
    13025.833000       0.987001
    13026.792000       0.979895
    13027.753000       0.970874
    13028.712000       0.959726
    13029.671000       0.946243
    13030.632000       0.930181
    13031.592000       0.911454
    13032.553000       0.889961
    13033.513000       0.865659
    13034.474000       0.838567
    13035.434000       0.808775
    13036.395000       0.776441
    13037.356000       0.741787
    13038.317000       0.705096
    13039.279000       0.666705
    13040.240000       0.626989
    13041.202000       0.586355
    13042.163000       0.545225
    13043.125000       0.504027
    13044.087000       0.463176
    13045.049000       0.423071
    13046.012000       0.384077
    13046.974000       0.346521
    13047.936000       0.310685
    13048.900000       0.276799
    13049.862000       0.245044
    13050.826000       0.215545
    13051.788000       0.188379
    13052.752000       0.163573
    13053.715000       0.141112
    13054.678000       0.120943
    13055.643000       0.102980
    13056.606000       0.087111
    13057.571000       0.073203
    13058.534000       0.061111
    13059.499000       0.050681
    13060.463000       0.041753
    13061.428000       0.034171
    13062.393000       0.027781
    13063.357000       0.022436
    13064.323000       0.017999
    13065.288000       0.014344
    13066.253000       0.011356
    13067.218000       0.008930
    13068.184000       0.006976
    13069.150000       0.005413
    13070.115000       0.004173
    13071.082000       0.003195
    13072.048000       0.002430
    13073.014000       0.001836
    13073.981000       0.001378
    13074.947000       0.001027
    13075.914000       0.000761
    13076.880000       0.000560
    13077.848000       0.000409
    13078.815000       0.000297
    13079.782000       0.000214
    13080.750000       0.000153
    13081.717000       0.000109
    13082.685000       0.000077
    13083.653000       0.000054
    13084.621000       0.000038
    13085.589000       0.000026
    13086.557000       0.000018
    13087.526000       0.000012
    13088.494000       0.000008
    13089.463000       0.000006
    13090.432000       0.000004
    13091.400000       0.000003
    13092.370000       0.000002
    13093.339000       0.000001
    13094.309000       0.000001
    13095.278000       0.000000
    13096.248000       0.000000
    13097.218000       0.000000
    13098.187000       0.000000
    13099.158000       0.000000
    13100.128000       0.000000
    13101.099000       0.000000
    13102.069000       0.000000
    13103.041000       0.000000
    13104.011000       0.000000
    13104.982000       0.000000
    13105.953000       0.000000
    13106.924000       0.000000
    13107.896000       0.000000
    13108.867000       0.000000
    13109.840000       0.000000
    13110.811000       0.000000
    13111.783000       0.000000
    13112.756000       0.000000
    13113.727000       0.000000
    13114.701000       0.000000
    13115.673000       0.000000
    13116.645000       0.000000
    13117.619000       0.000000
