3, Resampled Sentinel-3B SLSTR S3 unpolarised FPA response at 87 K created 2017-02-07T12:16:13Z
Number of data points:
1601
Wavenumber (cm-1)   Filter response
    11049.723757       0.000076
    11050.334273       0.000070
    11050.944856       0.000065
    11051.555506       0.000059
    11052.166225       0.000055
    11052.777010       0.000051
    11053.387863       0.000047
    11053.998784       0.000045
    11054.609772       0.000043
    11055.220828       0.000042
    11055.831951       0.000041
    11056.443142       0.000042
    11057.054401       0.000045
    11057.665727       0.000048
    11058.277120       0.000053
    11058.888582       0.000060
    11059.500111       0.000067
    11060.111707       0.000077
    11060.723371       0.000087
    11061.335103       0.000098
    11061.946903       0.000110
    11062.558770       0.000122
    11063.170705       0.000135
    11063.782707       0.000146
    11064.394778       0.000158
    11065.006916       0.000168
    11065.619121       0.000177
    11066.231395       0.000185
    11066.843736       0.000192
    11067.456145       0.000197
    11068.068622       0.000201
    11068.681167       0.000204
    11069.293779       0.000207
    11069.906459       0.000208
    11070.519207       0.000210
    11071.132023       0.000211
    11071.744907       0.000212
    11072.357859       0.000214
    11072.970878       0.000216
    11073.583965       0.000219
    11074.197121       0.000222
    11074.810344       0.000225
    11075.423635       0.000229
    11076.036994       0.000233
    11076.650421       0.000237
    11077.263916       0.000242
    11077.877479       0.000247
    11078.491110       0.000251
    11079.104808       0.000256
    11079.718575       0.000262
    11080.332410       0.000267
    11080.946313       0.000273
    11081.560284       0.000279
    11082.174323       0.000286
    11082.788430       0.000293
    11083.402605       0.000301
    11084.016848       0.000308
    11084.631159       0.000316
    11085.245538       0.000324
    11085.859986       0.000331
    11086.474501       0.000337
    11087.089085       0.000342
    11087.703737       0.000346
    11088.318456       0.000347
    11088.933245       0.000348
    11089.548101       0.000346
    11090.163025       0.000342
    11090.778018       0.000336
    11091.393079       0.000329
    11092.008208       0.000320
    11092.623405       0.000310
    11093.238671       0.000300
    11093.854005       0.000290
    11094.469407       0.000280
    11095.084877       0.000271
    11095.700416       0.000263
    11096.316023       0.000256
    11096.931698       0.000250
    11097.547442       0.000247
    11098.163254       0.000244
    11098.779134       0.000244
    11099.395083       0.000244
    11100.011100       0.000244
    11100.627185       0.000246
    11101.243339       0.000247
    11101.859561       0.000247
    11102.475852       0.000247
    11103.092211       0.000246
    11103.708639       0.000243
    11104.325135       0.000239
    11104.941699       0.000233
    11105.558332       0.000225
    11106.175033       0.000216
    11106.791803       0.000206
    11107.408642       0.000196
    11108.025548       0.000184
    11108.642524       0.000173
    11109.259568       0.000163
    11109.876680       0.000154
    11110.493861       0.000146
    11111.111111       0.000141
    11111.728429       0.000137
    11112.345816       0.000137
    11112.963272       0.000138
    11113.580796       0.000143
    11114.198388       0.000149
    11114.816050       0.000157
    11115.433780       0.000167
    11116.051579       0.000177
    11116.669446       0.000188
    11117.287382       0.000198
    11117.905387       0.000208
    11118.523460       0.000217
    11119.141602       0.000224
    11119.759813       0.000230
    11120.378093       0.000236
    11120.996441       0.000240
    11121.614858       0.000244
    11122.233345       0.000247
    11122.851899       0.000251
    11123.470523       0.000255
    11124.089215       0.000260
    11124.707976       0.000267
    11125.326806       0.000275
    11125.945705       0.000284
    11126.564673       0.000295
    11127.183710       0.000307
    11127.802815       0.000320
    11128.421990       0.000334
    11129.041233       0.000348
    11129.660545       0.000361
    11130.279926       0.000373
    11130.899377       0.000384
    11131.518896       0.000394
    11132.138484       0.000402
    11132.758141       0.000407
    11133.377867       0.000411
    11133.997662       0.000413
    11134.617526       0.000412
    11135.237459       0.000410
    11135.857461       0.000406
    11136.477532       0.000401
    11137.097672       0.000394
    11137.717882       0.000386
    11138.338160       0.000378
    11138.958507       0.000369
    11139.578924       0.000361
    11140.199410       0.000352
    11140.819964       0.000345
    11141.440588       0.000338
    11142.061281       0.000333
    11142.682044       0.000330
    11143.302875       0.000328
    11143.923776       0.000329
    11144.544745       0.000331
    11145.165784       0.000336
    11145.786893       0.000344
    11146.408070       0.000353
    11147.029317       0.000365
    11147.650633       0.000379
    11148.272018       0.000394
    11148.893472       0.000411
    11149.514996       0.000429
    11150.136589       0.000448
    11150.758252       0.000468
    11151.379983       0.000488
    11152.001784       0.000510
    11152.623655       0.000532
