 1    ,coms_01_mi_01-vis.flt,   original file "Visible Spectral function _ Low.xls"
Number of data points:
351
Wavenumber (cm-1)   Filter response
    11764.705882       0.000373
    11778.563015       0.000481
    11792.452830       0.000429
    11806.375443       0.000484
    11820.330969       0.000539
    11834.319527       0.000487
    11848.341232       0.000597
    11862.396204       0.000653
    11876.484561       0.000656
    11890.606421       0.000713
    11904.761905       0.000716
    11918.951132       0.000774
    11933.174224       0.000834
    11947.431302       0.000888
    11961.722488       0.000950
    11976.047904       0.001071
    11990.407674       0.001126
    12004.801921       0.001249
    12019.230769       0.001365
    12033.694344       0.001430
    12048.192771       0.001606
    12062.726176       0.001783
    12077.294686       0.001902
    12091.898428       0.002143
    12106.537530       0.002325
    12121.212121       0.002570
    12135.922330       0.002818
    12150.668287       0.003067
    12165.450122       0.003494
    12180.267966       0.003864
    12195.121951       0.004247
    12210.012210       0.004740
    12224.938875       0.005311
    12239.902081       0.005940
    12254.901961       0.006638
    12269.938650       0.007466
    12285.012285       0.008475
    12300.123001       0.009631
    12315.270936       0.010870
    12330.456227       0.012505
    12345.679012       0.014389
    12360.939431       0.016597
    12376.237624       0.019208
    12391.573730       0.022321
    12406.947891       0.026034
    12422.360248       0.030539
    12437.810945       0.035927
    12453.300124       0.042287
    12468.827930       0.049927
    12484.394507       0.059264
    12500.000000       0.070553
    12515.644556       0.084359
    12531.328321       0.100971
    12547.051443       0.121363
    12562.814070       0.146015
    12578.616352       0.175860
    12594.458438       0.211416
    12610.340479       0.253199
    12626.262626       0.301185
    12642.225032       0.354579
    12658.227848       0.412516
    12674.271229       0.472891
    12690.355330       0.532979
    12706.480305       0.589697
    12722.646310       0.640328
    12738.853503       0.682921
    12755.102041       0.716674
    12771.392082       0.741757
    12787.723785       0.758750
    12804.097311       0.768703
    12820.512821       0.773527
    12836.970475       0.775508
    12853.470437       0.775251
    12870.012870       0.774555
    12886.597938       0.773898
    12903.225807       0.774012
    12919.896641       0.775354
    12936.610608       0.778333
    12953.367876       0.782881
    12970.168612       0.789015
    12987.012987       0.796515
    13003.901170       0.805363
    13020.833333       0.815413
    13037.809648       0.826308
    13054.830287       0.837888
    13071.895425       0.849717
    13089.005236       0.861650
    13106.159895       0.873639
    13123.359580       0.885193
    13140.604468       0.896246
    13157.894737       0.906691
    13175.230567       0.916458
    13192.612137       0.925702
    13210.039630       0.934037
    13227.513227       0.941564
    13245.033113       0.948688
    13262.599470       0.954312
    13280.212483       0.958255
    13297.872340       0.961519
    13315.579228       0.964243
    13333.333333       0.966145
    13351.134846       0.967369
    13368.983957       0.968438
    13386.880857       0.969643
    13404.825737       0.970388
    13422.818792       0.971051
    13440.860215       0.972160
    13458.950202       0.973491
    13477.088949       0.974927
    13495.276653       0.976149
    13513.513514       0.977229
    13531.799729       0.978566
    13550.135501       0.980212
    13568.521031       0.982314
    13586.956522       0.984395
    13605.442177       0.986446
    13623.978202       0.988783
    13642.564802       0.990918
    13661.202186       0.992904
    13679.890561       0.994466
    13698.630137       0.995484
    13717.421125       0.996485
    13736.263736       0.997701
    13755.158184       0.998497
    13774.104683       0.999079
    13793.103448       0.999824
    13812.154696       1.000000
    13831.258644       0.999305
    13850.415512       0.998123
    13869.625520       0.996960
    13888.888889       0.995609
    13908.205841       0.994363
    13927.576602       0.993139
    13947.001395       0.991814
    13966.480447       0.990803
    13986.013986       0.990354
    14005.602241       0.989648
    14025.245442       0.989048
