 1    ,coms_01_mi_01.flt,   original "SWIR Spectral function _ Low.xls" truncated
Number of data points:
6091
Wavenumber (cm-1)   Filter response
     2390.000000       0.000538
     2390.100000       0.000582
     2390.200000       0.000626
     2390.300000       0.000672
     2390.400000       0.000716
     2390.500000       0.000759
     2390.600000       0.000802
     2390.700000       0.000845
     2390.800000       0.000888
     2390.900000       0.000932
     2391.000000       0.000976
     2391.100000       0.001019
     2391.200000       0.001060
     2391.300000       0.001101
     2391.400000       0.001141
     2391.500000       0.001181
     2391.600000       0.001223
     2391.700000       0.001267
     2391.800000       0.001311
     2391.900000       0.001356
     2392.000000       0.001401
     2392.100000       0.001446
     2392.200000       0.001494
     2392.300000       0.001543
     2392.400000       0.001591
     2392.500000       0.001640
     2392.600000       0.001688
     2392.700000       0.001737
     2392.800000       0.001788
     2392.900000       0.001839
     2393.000000       0.001890
     2393.100000       0.001939
     2393.200000       0.001988
     2393.300000       0.002037
     2393.400000       0.002088
     2393.500000       0.002139
     2393.600000       0.002189
     2393.700000       0.002239
     2393.800000       0.002288
     2393.900000       0.002337
     2394.000000       0.002387
     2394.100000       0.002437
     2394.200000       0.002486
     2394.300000       0.002533
     2394.400000       0.002580
     2394.500000       0.002628
     2394.600000       0.002677
     2394.700000       0.002726
     2394.800000       0.002775
     2394.900000       0.002824
     2395.000000       0.002873
     2395.100000       0.002924
     2395.200000       0.002977
     2395.300000       0.003031
     2395.400000       0.003085
     2395.500000       0.003139
     2395.600000       0.003194
     2395.700000       0.003250
     2395.800000       0.003307
     2395.900000       0.003365
     2396.000000       0.003423
     2396.100000       0.003481
     2396.200000       0.003539
     2396.300000       0.003599
     2396.400000       0.003658
     2396.500000       0.003718
     2396.600000       0.003776
     2396.700000       0.003833
     2396.800000       0.003890
     2396.900000       0.003948
     2397.000000       0.004005
     2397.100000       0.004063
     2397.200000       0.004120
     2397.300000       0.004177
     2397.400000       0.004232
     2397.500000       0.004287
     2397.600000       0.004341
     2397.700000       0.004394
     2397.800000       0.004446
     2397.900000       0.004496
     2398.000000       0.004545
     2398.100000       0.004591
     2398.200000       0.004634
     2398.300000       0.004675
     2398.400000       0.004714
     2398.500000       0.004752
     2398.600000       0.004788
     2398.700000       0.004821
     2398.800000       0.004852
     2398.900000       0.004881
     2399.000000       0.004908
     2399.100000       0.004932
     2399.200000       0.004953
     2399.300000       0.004971
     2399.400000       0.004985
     2399.500000       0.004996
     2399.600000       0.005005
     2399.700000       0.005012
     2399.800000       0.005016
     2399.900000       0.005018
     2400.000000       0.005018
     2400.100000       0.005015
     2400.200000       0.005010
     2400.300000       0.005003
     2400.400000       0.004993
     2400.500000       0.004982
     2400.600000       0.004969
     2400.700000       0.004955
     2400.800000       0.004938
     2400.900000       0.004921
     2401.000000       0.004903
     2401.100000       0.004884
     2401.200000       0.004865
     2401.300000       0.004846
     2401.400000       0.004826
     2401.500000       0.004805
     2401.600000       0.004783
     2401.700000       0.004760
     2401.800000       0.004736
     2401.900000       0.004711
     2402.000000       0.004687
     2402.100000       0.004664
     2402.200000       0.004642
     2402.300000       0.004621
     2402.400000       0.004602
     2402.500000       0.004584
     2402.600000       0.004567
     2402.700000       0.004552
     2402.800000       0.004538
     2402.900000       0.004526
     2403.000000       0.004516
     2403.100000       0.004506
     2403.200000       0.004497
     2403.300000       0.004489
     2403.400000       0.004481
     2403.500000       0.004474
     2403.600000       0.004467
     2403.700000       0.004460
     2403.800000       0.004453
     2403.900000       0.004446
     2404.000000       0.004440
     2404.100000       0.004436
     2404.200000       0.004431
     2404.300000       0.004425
     2404.400000       0.004417
     2404.500000       0.004407
     2404.600000       0.004395
     2404.700000       0.004380
     2404.800000       0.004365
     2404.900000       0.004350
     2405.000000       0.004335
     2405.100000       0.004320
     2405.200000       0.004306
     2405.300000       0.004291
     2405.400000       0.004277
     2405.500000       0.004262
     2405.600000       0.004248
     2405.700000       0.004233
     2405.800000       0.004219
     2405.900000       0.004204
     2406.000000       0.004189
     2406.100000       0.004175
     2406.200000       0.004162
     2406.300000       0.004152
     2406.400000       0.004147
     2406.500000       0.004147
     2406.600000       0.004151
     2406.700000       0.004159
     2406.800000       0.004172
     2406.900000       0.004192
     2407.000000       0.004221
     2407.100000       0.004254
     2407.200000       0.004278
     2407.300000       0.004283
     2407.400000       0.004273
     2407.500000       0.004258
     2407.600000       0.004248
     2407.700000       0.004243
     2407.800000       0.004241
     2407.900000       0.004239
     2408.000000       0.004236
     2408.100000       0.004232
     2408.200000       0.004230
     2408.300000       0.004227
     2408.400000       0.004224
     2408.500000       0.004220
     2408.600000       0.004216
     2408.700000       0.004212
     2408.800000       0.004209
     2408.900000       0.004206
     2409.000000       0.004198
     2409.100000       0.004185
     2409.200000       0.004173
     2409.300000       0.004174
     2409.400000       0.004197
     2409.500000       0.004234
     2409.600000       0.004271
     2409.700000       0.004295
     2409.800000       0.004307
     2409.900000       0.004313
     2410.000000       0.004314
     2410.100000       0.004309
     2410.200000       0.004294
     2410.300000       0.004264
     2410.400000       0.004231
     2410.500000       0.004209
     2410.600000       0.004211
     2410.700000       0.004232
     2410.800000       0.004259
     2410.900000       0.004285
     2411.000000       0.004309
     2411.100000       0.004335
     2411.200000       0.004364
     2411.300000       0.004396
     2411.400000       0.004429
     2411.500000       0.004463
     2411.600000       0.004500
     2411.700000       0.004542
     2411.800000       0.004594
     2411.900000       0.004644
     2412.000000       0.004681
     2412.100000       0.004695
     2412.200000       0.004694
     2412.300000       0.004693
     2412.400000       0.004703
     2412.500000       0.004722
     2412.600000       0.004747
     2412.700000       0.004776
     2412.800000       0.004807
     2412.900000       0.004840
     2413.000000       0.004873
     2413.100000       0.004906
     2413.200000       0.004938
     2413.300000       0.004970
     2413.400000       0.005001
     2413.500000       0.005034
     2413.600000       0.005068
     2413.700000       0.005104
     2413.800000       0.005141
     2413.900000       0.005178
     2414.000000       0.005213
     2414.100000       0.005245
     2414.200000       0.005273
     2414.300000       0.005296
     2414.400000       0.005315
     2414.500000       0.005329
     2414.600000       0.005340
     2414.700000       0.005348
     2414.800000       0.005354
     2414.900000       0.005358
     2415.000000       0.005361
     2415.100000       0.005364
     2415.200000       0.005366
     2415.300000       0.005367
     2415.400000       0.005368
     2415.500000       0.005367
     2415.600000       0.005364
     2415.700000       0.005360
     2415.800000       0.005353
     2415.900000       0.005342
     2416.000000       0.005327
     2416.100000       0.005311
     2416.200000       0.005293
     2416.300000       0.005277
     2416.400000       0.005263
     2416.500000       0.005249
     2416.600000       0.005237
     2416.700000       0.005227
     2416.800000       0.005219
     2416.900000       0.005216
     2417.000000       0.005216
     2417.100000       0.005219
     2417.200000       0.005226
     2417.300000       0.005237
     2417.400000       0.005251
     2417.500000       0.005269
     2417.600000       0.005291
     2417.700000       0.005316
     2417.800000       0.005346
     2417.900000       0.005380
     2418.000000       0.005420
     2418.100000       0.005465
     2418.200000       0.005513
     2418.300000       0.005564
     2418.400000       0.005615
     2418.500000       0.005665
     2418.600000       0.005717
     2418.700000       0.005768
     2418.800000       0.005821
     2418.900000       0.005873
     2419.000000       0.005924
     2419.100000       0.005974
     2419.200000       0.006024
     2419.300000       0.006071
     2419.400000       0.006118
     2419.500000       0.006163
     2419.600000       0.006208
     2419.700000       0.006253
     2419.800000       0.006296
     2419.900000       0.006338
     2420.000000       0.006379
     2420.100000       0.006418
     2420.200000       0.006456
     2420.300000       0.006493
     2420.400000       0.006529
     2420.500000       0.006568
     2420.600000       0.006607
     2420.700000       0.006645
     2420.800000       0.006684
     2420.900000       0.006723
     2421.000000       0.006765
     2421.100000       0.006811
     2421.200000       0.006860
     2421.300000       0.006913
     2421.400000       0.006969
     2421.500000       0.007028
     2421.600000       0.007089
     2421.700000       0.007153
     2421.800000       0.007220
