 2    ,coms_01_mi_02-shifted.flt,   original WV modified "shifted_wv.txt" Oct 12, 2017 truncated
Number of data points:
1959
Wavenumber (cm-1)   Filter response
     1385.000000       0.002024
     1385.100000       0.002303
     1385.200000       0.002546
     1385.300000       0.002735
     1385.400000       0.002861
     1385.500000       0.002917
     1385.600000       0.002897
     1385.700000       0.002791
     1385.800000       0.002600
     1385.900000       0.002354
     1386.000000       0.002081
     1386.100000       0.001811
     1386.200000       0.001561
     1386.300000       0.001324
     1386.400000       0.001086
     1386.500000       0.000836
     1386.600000       0.000562
     1386.700000       0.000270
     1386.800000      -0.000034
     1386.900000      -0.000343
     1387.000000      -0.000651
     1387.100000      -0.000958
     1387.200000      -0.001265
     1387.300000      -0.001573
     1387.400000      -0.001882
     1387.500000      -0.002167
     1387.600000      -0.002397
     1387.700000      -0.002534
     1387.800000      -0.002542
     1387.900000      -0.002435
     1388.000000      -0.002263
     1388.100000      -0.002075
     1388.200000      -0.001916
     1388.300000      -0.001795
     1388.400000      -0.001680
     1388.500000      -0.001537
     1388.600000      -0.001333
     1388.700000      -0.001053
     1388.800000      -0.000710
     1388.900000      -0.000314
     1389.000000       0.000126
     1389.100000       0.000605
     1389.200000       0.001118
     1389.300000       0.001662
     1389.400000       0.002234
     1389.500000       0.002826
     1389.600000       0.003396
     1389.700000       0.003898
     1389.800000       0.004283
     1389.900000       0.004509
     1390.000000       0.004610
     1390.100000       0.004641
     1390.200000       0.004653
     1390.300000       0.004692
     1390.400000       0.004758
     1390.500000       0.004830
     1390.600000       0.004889
     1390.700000       0.004916
     1390.800000       0.004897
     1390.900000       0.004820
     1391.000000       0.004672
     1391.100000       0.004435
     1391.200000       0.004115
     1391.300000       0.003733
     1391.400000       0.003312
     1391.500000       0.002872
     1391.600000       0.002433
     1391.700000       0.002020
     1391.800000       0.001659
     1391.900000       0.001379
     1392.000000       0.001195
     1392.100000       0.001086
     1392.200000       0.001033
     1392.300000       0.001016
     1392.400000       0.001019
     1392.500000       0.001034
     1392.600000       0.001053
     1392.700000       0.001068
     1392.800000       0.001076
     1392.900000       0.001085
     1393.000000       0.001110
     1393.100000       0.001164
     1393.200000       0.001264
     1393.300000       0.001405
     1393.400000       0.001575
     1393.500000       0.001763
     1393.600000       0.001958
     1393.700000       0.002149
     1393.800000       0.002323
     1393.900000       0.002467
     1394.000000       0.002565
     1394.100000       0.002612
     1394.200000       0.002610
     1394.300000       0.002561
     1394.400000       0.002464
     1394.500000       0.002322
     1394.600000       0.002146
     1394.700000       0.001946
     1394.800000       0.001733
     1394.900000       0.001516
     1395.000000       0.001310
     1395.100000       0.001128
     1395.200000       0.000986
     1395.300000       0.000898
     1395.400000       0.000854
     1395.500000       0.000835
     1395.600000       0.000826
     1395.700000       0.000812
     1395.800000       0.000791
     1395.900000       0.000767
     1396.000000       0.000745
     1396.100000       0.000729
     1396.200000       0.000725
     1396.300000       0.000736
     1396.400000       0.000769
     1396.500000       0.000831
     1396.600000       0.000921
     1396.700000       0.001030
     1396.800000       0.001145
     1396.900000       0.001255
     1397.000000       0.001353
     1397.100000       0.001450
     1397.200000       0.001554
     1397.300000       0.001680
     1397.400000       0.001834
     1397.500000       0.002013
     1397.600000       0.002207
     1397.700000       0.002411
     1397.800000       0.002618
     1397.900000       0.002829
     1398.000000       0.003044
     1398.100000       0.003268
     1398.200000       0.003502
     1398.300000       0.003732
     1398.400000       0.003929
     1398.500000       0.004063
     1398.600000       0.004102
     1398.700000       0.004041
     1398.800000       0.003911
     1398.900000       0.003744
     1399.000000       0.003570
     1399.100000       0.003412
     1399.200000       0.003277
     1399.300000       0.003172
     1399.400000       0.003106
     1399.500000       0.003086
     1399.600000       0.003110
     1399.700000       0.003177
     1399.800000       0.003284
     1399.900000       0.003433
     1400.000000       0.003615
     1400.100000       0.003820
     1400.200000       0.004038
     1400.300000       0.004262
     1400.400000       0.004480
     1400.500000       0.004682
     1400.600000       0.004856
     1400.700000       0.004991
     1400.800000       0.005085
     1400.900000       0.005153
     1401.000000       0.005209
     1401.100000       0.005266
     1401.200000       0.005334
     1401.300000       0.005407
     1401.400000       0.005479
     1401.500000       0.005544
     1401.600000       0.005596
     1401.700000       0.005632
     1401.800000       0.005651
     1401.900000       0.005650
     1402.000000       0.005625
     1402.100000       0.005582
     1402.200000       0.005527
     1402.300000       0.005466
     1402.400000       0.005406
     1402.500000       0.005350
     1402.600000       0.005301
     1402.700000       0.005261
     1402.800000       0.005234
     1402.900000       0.005220
     1403.000000       0.005216
     1403.100000       0.005218
     1403.200000       0.005225
     1403.300000       0.005232
     1403.400000       0.005240
     1403.500000       0.005248
     1403.600000       0.005255
     1403.700000       0.005259
     1403.800000       0.005256
     1403.900000       0.005240
     1404.000000       0.005202
     1404.100000       0.005137
     1404.200000       0.005046
     1404.300000       0.004939
     1404.400000       0.004824
     1404.500000       0.004707
     1404.600000       0.004596
     1404.700000       0.004493
     1404.800000       0.004404
     1404.900000       0.004335
     1405.000000       0.004287
     1405.100000       0.004258
     1405.200000       0.004242
     1405.300000       0.004237
     1405.400000       0.004239
     1405.500000       0.004247
     1405.600000       0.004261
     1405.700000       0.004281
     1405.800000       0.004304
     1405.900000       0.004323
     1406.000000       0.004327
     1406.100000       0.004304
     1406.200000       0.004241
     1406.300000       0.004137
     1406.400000       0.004006
     1406.500000       0.003858
     1406.600000       0.003704
     1406.700000       0.003554
     1406.800000       0.003415
     1406.900000       0.003298
     1407.000000       0.003210
     1407.100000       0.003158
     1407.200000       0.003140
     1407.300000       0.003150
     1407.400000       0.003187
     1407.500000       0.003249
     1407.600000       0.003334
     1407.700000       0.003440
     1407.800000       0.003566
     1407.900000       0.003713
     1408.000000       0.003862
     1408.100000       0.003986
     1408.200000       0.004053
     1408.300000       0.004030
     1408.400000       0.003905
     1408.500000       0.003708
     1408.600000       0.003470
     1408.700000       0.003218
     1408.800000       0.002975
     1408.900000       0.002755
     1409.000000       0.002569
     1409.100000       0.002429
     1409.200000       0.002351
     1409.300000       0.002340
     1409.400000       0.002405
     1409.500000       0.002554
     1409.600000       0.002801
     1409.700000       0.003137
     1409.800000       0.003538
     1409.900000       0.003980
     1410.000000       0.004444
     1410.100000       0.004907
     1410.200000       0.005341
     1410.300000       0.005712
     1410.400000       0.005987
     1410.500000       0.006145
     1410.600000       0.006213
     1410.700000       0.006226
     1410.800000       0.006217
     1410.900000       0.006212
     1411.000000       0.006218
     1411.100000       0.006233
     1411.200000       0.006256
     1411.300000       0.006284
     1411.400000       0.006319
     1411.500000       0.006365
     1411.600000       0.006427
     1411.700000       0.006511
     1411.800000       0.006617
     1411.900000       0.006740
     1412.000000       0.006875
     1412.100000       0.007017
     1412.200000       0.007159
     1412.300000       0.007297
     1412.400000       0.007421
     1412.500000       0.007526
     1412.600000       0.007602
     1412.700000       0.007652
     1412.800000       0.007684
     1412.900000       0.007705
     1413.000000       0.007720
     1413.100000       0.007734
     1413.200000       0.007748
     1413.300000       0.007762
     1413.400000       0.007779
     1413.500000       0.007800
     1413.600000       0.007832
     1413.700000       0.007882
     1413.800000       0.007957
     1413.900000       0.008064
     1414.000000       0.008195
     1414.100000       0.008339
     1414.200000       0.008483
     1414.300000       0.008618
     1414.400000       0.008744
     1414.500000       0.008869
     1414.600000       0.009003
     1414.700000       0.009155
     1414.800000       0.009329
     1414.900000       0.009519
     1415.000000       0.009719
     1415.100000       0.009924
     1415.200000       0.010129
     1415.300000       0.010335
     1415.400000       0.010541
     1415.500000       0.010748
     1415.600000       0.010954
     1415.700000       0.011151
     1415.800000       0.011330
     1415.900000       0.011479
     1416.000000       0.011583
     1416.100000       0.011645
     1416.200000       0.011679
     1416.300000       0.011697
     1416.400000       0.011714
     1416.500000       0.011737
     1416.600000       0.011770
     1416.700000       0.011817
     1416.800000       0.011880
     1416.900000       0.011962
     1417.000000       0.012062
     1417.100000       0.012175
     1417.200000       0.012299
     1417.300000       0.012433
     1417.400000       0.012573
     1417.500000       0.012717
     1417.600000       0.012864
     1417.700000       0.013011
     1417.800000       0.013157
     1417.900000       0.013302
     1418.000000       0.013448
     1418.100000       0.013595
     1418.200000       0.013745
     1418.300000       0.013895
     1418.400000       0.014045
     1418.500000       0.014193
     1418.600000       0.014338
     1418.700000       0.014482
     1418.800000       0.014628
     1418.900000       0.014779
     1419.000000       0.014939
     1419.100000       0.015110
     1419.200000       0.015292
     1419.300000       0.015486
     1419.400000       0.015692
     1419.500000       0.015910
     1419.600000       0.016129
     1419.700000       0.016341
     1419.800000       0.016536
     1419.900000       0.016707
     1420.000000       0.016889
     1420.100000       0.017131
     1420.200000       0.017490
     1420.300000       0.018023
     1420.400000       0.018731
     1420.500000       0.019562
     1420.600000       0.020467
     1420.700000       0.021398
     1420.800000       0.022318
     1420.900000       0.023199
     1421.000000       0.024019
     1421.100000       0.024748
     1421.200000       0.025362
     1421.300000       0.025866
     1421.400000       0.026276
     1421.500000       0.026605
     1421.600000       0.026861
     1421.700000       0.027056
     1421.800000       0.027207
     1421.900000       0.027326
     1422.000000       0.027427
     1422.100000       0.027529
     1422.200000       0.027661
     1422.300000       0.027858
     1422.400000       0.028155
     1422.500000       0.028584
     1422.600000       0.029112
     1422.700000       0.029694
     1422.800000       0.030284
     1422.900000       0.030838
     1423.000000       0.031356
     1423.100000       0.031878
     1423.200000       0.032444
     1423.300000       0.033099
     1423.400000       0.033867
     1423.500000       0.034730
     1423.600000       0.035667
     1423.700000       0.036664
     1423.800000       0.037710
     1423.900000       0.038794
     1424.000000       0.039915
     1424.100000       0.041067
     1424.200000       0.042248
     1424.300000       0.043435
     1424.400000       0.044586
     1424.500000       0.045658
     1424.600000       0.046608
     1424.700000       0.047416
     1424.800000       0.048123
     1424.900000       0.048777
     1425.000000       0.049420
     1425.100000       0.050091
     1425.200000       0.050786
     1425.300000       0.051491
     1425.400000       0.052191
     1425.500000       0.052871
     1425.600000       0.053529
     1425.700000       0.054172
     1425.800000       0.054805
     1425.900000       0.055432
     1426.000000       0.056050
     1426.100000       0.056649
     1426.200000       0.057216
     1426.300000       0.057738
     1426.400000       0.058209
     1426.500000       0.058703
     1426.600000       0.059332
     1426.700000       0.060213
     1426.800000       0.061469
     1426.900000       0.063094
     1427.000000       0.064957
     1427.100000       0.066929
     1427.200000       0.068891
     1427.300000       0.070761
     1427.400000       0.072565
     1427.500000       0.074353
     1427.600000       0.076172
     1427.700000       0.078064
     1427.800000       0.080033
     1427.900000       0.082057
     1428.000000       0.084124
     1428.100000       0.086222
     1428.200000       0.088346
     1428.300000       0.090507
     1428.400000       0.092710
     1428.500000       0.094969
     1428.600000       0.097281
     1428.700000       0.099558
     1428.800000       0.101693
     1428.900000       0.103562
     1429.000000       0.105052
     1429.100000       0.106205
     1429.200000       0.107149
     1429.300000       0.108003
     1429.400000       0.108879
     1429.500000       0.109842
     1429.600000       0.110878
     1429.700000       0.111968
     1429.800000       0.113094
     1429.900000       0.114239
     1430.000000       0.115400
     1430.100000       0.116574
     1430.200000       0.117761
     1430.300000       0.118965
     1430.400000       0.120178
     1430.500000       0.121395
     1430.600000       0.122610
     1430.700000       0.123814
     1430.800000       0.125011
     1430.900000       0.126222
     1431.000000       0.127480
     1431.100000       0.128817
     1431.200000       0.130261
     1431.300000       0.131789
     1431.400000       0.133348
     1431.500000       0.134895
     1431.600000       0.136383
     1431.700000       0.137817
     1431.800000       0.139254
     1431.900000       0.140747
     1432.000000       0.142362
     1432.100000       0.144141
     1432.200000       0.146062
     1432.300000       0.148098
     1432.400000       0.150217
     1432.500000       0.152399
     1432.600000       0.154621
     1432.700000       0.156860
     1432.800000       0.159100
     1432.900000       0.161315
     1433.000000       0.163544
     1433.100000       0.165913
     1433.200000       0.168561
     1433.300000       0.171646
     1433.400000       0.175287
     1433.500000       0.179384
     1433.600000       0.183768
     1433.700000       0.188286
     1433.800000       0.192798
     1433.900000       0.197207
     1434.000000       0.201488
     1434.100000       0.205607
     1434.200000       0.209521
     1434.300000       0.213211
     1434.400000       0.216708
     1434.500000       0.220062
     1434.600000       0.223313
     1434.700000       0.226488
     1434.800000       0.229618
     1434.900000       0.232721
     1435.000000       0.235827
     1435.100000       0.238962
     1435.200000       0.242186
     1435.300000       0.245604
     1435.400000       0.249320
     1435.500000       0.253463
     1435.600000       0.258134
     1435.700000       0.263196
     1435.800000       0.268462
     1435.900000       0.273740
     1436.000000       0.278870
     1436.100000       0.283843
     1436.200000       0.288814
     1436.300000       0.293939
     1436.400000       0.299353
     1436.500000       0.305150
     1436.600000       0.311238
     1436.700000       0.317503
     1436.800000       0.323861
     1436.900000       0.330227
     1437.000000       0.336586
     1437.100000       0.342938
     1437.200000       0.349282
     1437.300000       0.355627
     1437.400000       0.361945
     1437.500000       0.368225
     1437.600000       0.374437
     1437.700000       0.380550
     1437.800000       0.386543
     1437.900000       0.392432
     1438.000000       0.398271
     1438.100000       0.404103
     1438.200000       0.409970
     1438.300000       0.415870
     1438.400000       0.421742
     1438.500000       0.427549
     1438.600000       0.433243
     1438.700000       0.438797
     1438.800000       0.444251
     1438.900000       0.449620
     1439.000000       0.454925
     1439.100000       0.460177
     1439.200000       0.465406
     1439.300000       0.470659
     1439.400000       0.475972
     1439.500000       0.481404
