 3    ,coms_01_mi_03.flt,   original "IR1 Spectral function _ Low.xls" truncated
Number of data points:
1341
Wavenumber (cm-1)   Filter response
      866.000000       0.000696
      866.100000       0.000751
      866.200000       0.000806
      866.300000       0.000872
      866.400000       0.000950
      866.500000       0.001023
      866.600000       0.001087
      866.700000       0.001167
      866.800000       0.001255
      866.900000       0.001325
      867.000000       0.001357
      867.100000       0.001352
      867.200000       0.001340
      867.300000       0.001335
      867.400000       0.001328
      867.500000       0.001317
      867.600000       0.001305
      867.700000       0.001296
      867.800000       0.001284
      867.900000       0.001252
      868.000000       0.001214
      868.100000       0.001208
      868.200000       0.001215
      868.300000       0.001213
      868.400000       0.001222
      868.500000       0.001246
      868.600000       0.001256
      868.700000       0.001250
      868.800000       0.001241
      868.900000       0.001249
      869.000000       0.001273
      869.100000       0.001273
      869.200000       0.001264
      869.300000       0.001322
      869.400000       0.001435
      869.500000       0.001557
      869.600000       0.001682
      869.700000       0.001809
      869.800000       0.001940
      869.900000       0.002073
      870.000000       0.002210
      870.100000       0.002350
      870.200000       0.002494
      870.300000       0.002639
      870.400000       0.002789
      870.500000       0.002939
      870.600000       0.003094
      870.700000       0.003257
      870.800000       0.003410
      870.900000       0.003540
      871.000000       0.003682
      871.100000       0.003853
      871.200000       0.004027
      871.300000       0.004200
      871.400000       0.004379
      871.500000       0.004552
      871.600000       0.004706
      871.700000       0.004843
      871.800000       0.004963
      871.900000       0.005056
      872.000000       0.005141
      872.100000       0.005251
      872.200000       0.005375
      872.300000       0.005494
      872.400000       0.005619
      872.500000       0.005744
      872.600000       0.005835
      872.700000       0.005924
      872.800000       0.006072
      872.900000       0.006248
      873.000000       0.006415
      873.100000       0.006578
      873.200000       0.006746
      873.300000       0.006917
      873.400000       0.007088
      873.500000       0.007261
      873.600000       0.007439
      873.700000       0.007621
      873.800000       0.007788
      873.900000       0.007965
      874.000000       0.008233
      874.100000       0.008553
      874.200000       0.008828
      874.300000       0.009103
      874.400000       0.009425
      874.500000       0.009730
      874.600000       0.010007
      874.700000       0.010322
      874.800000       0.010657
      874.900000       0.010949
      875.000000       0.011250
      875.100000       0.011620
      875.200000       0.012032
      875.300000       0.012464
      875.400000       0.012899
      875.500000       0.013333
      875.600000       0.013771
      875.700000       0.014213
      875.800000       0.014658
      875.900000       0.015108
      876.000000       0.015558
      876.100000       0.015994
      876.200000       0.016445
      876.300000       0.016959
      876.400000       0.017528
      876.500000       0.018124
      876.600000       0.018729
      876.700000       0.019335
      876.800000       0.019945
      876.900000       0.020559
      877.000000       0.021173
      877.100000       0.021780
      877.200000       0.022388
      877.300000       0.023008
      877.400000       0.023662
      877.500000       0.024407
      877.600000       0.025238
      877.700000       0.026084
      877.800000       0.026906
      877.900000       0.027692
      878.000000       0.028481
      878.100000       0.029307
      878.200000       0.030148
      878.300000       0.030985
      878.400000       0.031818
      878.500000       0.032663
      878.600000       0.033543
      878.700000       0.034463
      878.800000       0.035419
      878.900000       0.036387
      879.000000       0.037353
      879.100000       0.038321
      879.200000       0.039293
      879.300000       0.040266
      879.400000       0.041252
      879.500000       0.042255
      879.600000       0.043218
      879.700000       0.044180
      879.800000       0.045395
      879.900000       0.046862
      880.000000       0.048315
      880.100000       0.049736
      880.200000       0.051218
      880.300000       0.052704
      880.400000       0.054142
      880.500000       0.055584
      880.600000       0.057049
      880.700000       0.058497
      880.800000       0.059970
      880.900000       0.061572
      881.000000       0.063343
      881.100000       0.065290
      881.200000       0.067274
      881.300000       0.069227
      881.400000       0.071196
      881.500000       0.073172
      881.600000       0.075105
      881.700000       0.077045
      881.800000       0.079057
      881.900000       0.081038
      882.000000       0.082973
      882.100000       0.085234
      882.200000       0.087928
      882.300000       0.090709
      882.400000       0.093485
      882.500000       0.096321
      882.600000       0.099166
      882.700000       0.101959
      882.800000       0.104747
      882.900000       0.107565
      883.000000       0.110382
      883.100000       0.113212
      883.200000       0.116126
      883.300000       0.119246
      883.400000       0.122705
      883.500000       0.126285
      883.600000       0.129797
      883.700000       0.133333
      883.800000       0.136932
      883.900000       0.140518
      884.000000       0.144090
      884.100000       0.147707
      884.200000       0.151277
      884.300000       0.154749
      884.400000       0.158640
      884.500000       0.163297
      884.600000       0.168347
      884.700000       0.173513
      884.800000       0.178670
      884.900000       0.183821
      885.000000       0.188970
      885.100000       0.194107
      885.200000       0.199254
      885.300000       0.204422
      885.400000       0.209625
      885.500000       0.214862
      885.600000       0.220357
      885.700000       0.226570
      885.800000       0.233264
      885.900000       0.239877
      886.000000       0.246380
      886.100000       0.252888
      886.200000       0.259423
      886.300000       0.265996
      886.400000       0.272587
      886.500000       0.279156
      886.600000       0.285698
      886.700000       0.292465
      886.800000       0.299803
      886.900000       0.307566
      887.000000       0.315459
      887.100000       0.323285
      887.200000       0.331067
      887.300000       0.338901
      887.400000       0.346772
      887.500000       0.354594
      887.600000       0.362380
      887.700000       0.370175
      887.800000       0.377966
      887.900000       0.385777
      888.000000       0.393714
      888.100000       0.401810
      888.200000       0.409927
      888.300000       0.418004
      888.400000       0.426093
      888.500000       0.434168
      888.600000       0.442202
      888.700000       0.450257
      888.800000       0.458367
      888.900000       0.466434
      889.000000       0.474454
      889.100000       0.482680
      889.200000       0.491153
      889.300000       0.499670
      889.400000       0.508196
      889.500000       0.516758
      889.600000       0.525321
      889.700000       0.533842
      889.800000       0.542336
      889.900000       0.550832
      890.000000       0.559312
      890.100000       0.567793
      890.200000       0.576268
      890.300000       0.584644
      890.400000       0.592825
      890.500000       0.600921
      890.600000       0.609078
      890.700000       0.617204
      890.800000       0.625249
      890.900000       0.633319
      891.000000       0.641268
      891.100000       0.648953
      891.200000       0.656511
      891.300000       0.664123
      891.400000       0.671563
      891.500000       0.678475
      891.600000       0.685141
      891.700000       0.691833
      891.800000       0.698473
      891.900000       0.705048
      892.000000       0.711665
      892.100000       0.718293
      892.200000       0.724779
      892.300000       0.731232
      892.400000       0.737827
      892.500000       0.744164
      892.600000       0.749817
      892.700000       0.754900
      892.800000       0.759590
      892.900000       0.764162
      893.000000       0.768791
      893.100000       0.773577
      893.200000       0.778437
      893.300000       0.783241
      893.400000       0.788028
      893.500000       0.792850
      893.600000       0.797772
      893.700000       0.802657
      893.800000       0.806774
      893.900000       0.809970
      894.000000       0.813073
      894.100000       0.816369
      894.200000       0.819679
      894.300000       0.822959
      894.400000       0.826252
      894.500000       0.829549
      894.600000       0.832854
      894.700000       0.836254
      894.800000       0.839698
      894.900000       0.842728
      895.000000       0.845127
      895.100000       0.847204
      895.200000       0.849175
      895.300000       0.851161
      895.400000       0.853199
      895.500000       0.855271
      895.600000       0.857358
      895.700000       0.859456
      895.800000       0.861586
      895.900000       0.863755
      896.000000       0.865877
      896.100000       0.867874
      896.200000       0.869599
      896.300000       0.871081
      896.400000       0.872600
      896.500000       0.874208
      896.600000       0.875842
      896.700000       0.877504
      896.800000       0.879202
      896.900000       0.880919
      897.000000       0.882711
      897.100000       0.884753
      897.200000       0.886846
      897.300000       0.888547
      897.400000       0.889947
      897.500000       0.891374
      897.600000       0.892895
      897.700000       0.894475
      897.800000       0.896083
      897.900000       0.897721
      898.000000       0.899258
      898.100000       0.900597
      898.200000       0.901984
      898.300000       0.903429
      898.400000       0.904630
      898.500000       0.905591
      898.600000       0.906501
      898.700000       0.907399
      898.800000       0.908288
      898.900000       0.909223
      899.000000       0.910155
      899.100000       0.910983
      899.200000       0.911737
      899.300000       0.912521
      899.400000       0.913362
      899.500000       0.914184
      899.600000       0.914901
      899.700000       0.915417
      899.800000       0.915819
      899.900000       0.916288
      900.000000       0.916835
      900.100000       0.917406
      900.200000       0.918010
      900.300000       0.918619
      900.400000       0.919173
      900.500000       0.919651
      900.600000       0.920095
      900.700000       0.920553
      900.800000       0.921066
      900.900000       0.921629
      901.000000       0.922211
      901.100000       0.922852
      901.200000       0.923577
      901.300000       0.924337
      901.400000       0.925132
      901.500000       0.925915
      901.600000       0.926661
      901.700000       0.927425
      901.800000       0.928257
      901.900000       0.929197
      902.000000       0.930277
      902.100000       0.931528
      902.200000       0.932886
      902.300000       0.934239
      902.400000       0.935602
      902.500000       0.937019
      902.600000       0.938523
      902.700000       0.940115
      902.800000       0.941716
      902.900000       0.943292
      903.000000       0.944906
      903.100000       0.946574
      903.200000       0.948240
      903.300000       0.949902
      903.400000       0.951607
      903.500000       0.953317
      903.600000       0.954966
      903.700000       0.956556
      903.800000       0.958118
      903.900000       0.959690
      904.000000       0.961208
      904.100000       0.962559
      904.200000       0.963765
      904.300000       0.964737
      904.400000       0.965460
      904.500000       0.966118
      904.600000       0.966761
      904.700000       0.967347
      904.800000       0.967822
      904.900000       0.968140
      905.000000       0.968531
      905.100000       0.969165
      905.200000       0.969805
      905.300000       0.970336
      905.400000       0.970849
      905.500000       0.971388
      905.600000       0.971918
      905.700000       0.972427
      905.800000       0.972939
      905.900000       0.973468
      906.000000       0.973983
      906.100000       0.974486
      906.200000       0.975020
      906.300000       0.975559
      906.400000       0.976072
      906.500000       0.976658
      906.600000       0.977401
      906.700000       0.978229
      906.800000       0.979095
      906.900000       0.979987
      907.000000       0.980850
      907.100000       0.981679
      907.200000       0.982503
      907.300000       0.983334
      907.400000       0.984168
      907.500000       0.984988
      907.600000       0.985811
      907.700000       0.986668
      907.800000       0.987533
      907.900000       0.988372
      908.000000       0.989194
      908.100000       0.990023
      908.200000       0.990839
      908.300000       0.991618
      908.400000       0.992331
      908.500000       0.992979
      908.600000       0.993633
      908.700000       0.994295
      908.800000       0.994892
      908.900000       0.995402
      909.000000       0.995872
      909.100000       0.996345
      909.200000       0.996851
      909.300000       0.997338
      909.400000       0.997778
      909.500000       0.998192
      909.600000       0.998591
      909.700000       0.998966
      909.800000       0.999338
      909.900000       0.999702
      910.000000       0.999959
      910.100000       1.000000
      910.200000       0.999829
      910.300000       0.999584
      910.400000       0.999338
      910.500000       0.999112
      910.600000       0.998903
      910.700000       0.998680
      910.800000       0.998396
      910.900000       0.998057
      911.000000       0.997793
      911.100000       0.997674
      911.200000       0.997644
      911.300000       0.997590
      911.400000       0.997533
      911.500000       0.997496
      911.600000       0.997402
      911.700000       0.997239
      911.800000       0.997092
      911.900000       0.996965
      912.000000       0.996801
      912.100000       0.996556
      912.200000       0.996206
      912.300000       0.995817
      912.400000       0.995450
      912.500000       0.995110
      912.600000       0.994794
      912.700000       0.994457
      912.800000       0.994079
      912.900000       0.993716
      913.000000       0.993346
      913.100000       0.992868
      913.200000       0.992276
      913.300000       0.991744
      913.400000       0.991302
      913.500000       0.990833
      913.600000       0.990322
      913.700000       0.989832
      913.800000       0.989384
      913.900000       0.988930
      914.000000       0.988466
      914.100000       0.988042
      914.200000       0.987622
      914.300000       0.987209
