1, channel 1 AATSR Flight Model FPA #2 12um channel (AuSpace measuremets)  including a SHIFT of 40nm
Number of data points:
255
Wavenumber (cm-1)   Filter response
      744.438800       0.004510
      744.956000       0.004020
      745.474000       0.004560
      745.992700       0.004900
      746.512100       0.004890
      747.032200       0.005100
      747.553100       0.004830
      748.074700       0.005380
      748.597000       0.005620
      749.120100       0.005310
      749.643900       0.005430
      750.168400       0.005820
      750.693700       0.005610
      751.219600       0.006190
      751.746400       0.006860
      752.273800       0.005890
      752.802000       0.006880
      753.331000       0.006630
      753.860700       0.006740
      754.391100       0.007710
      754.922300       0.008150
      755.454200       0.008910
      755.986900       0.009210
      756.520400       0.009250
      757.054500       0.008910
      757.589500       0.010790
      758.125200       0.010560
      758.661600       0.009960
      759.198800       0.010510
      759.736900       0.011990
      760.275600       0.011980
      760.815100       0.011570
      761.355400       0.013230
      761.896400       0.014610
      762.438200       0.014610
      762.980800       0.014570
      763.524100       0.015960
      764.068300       0.016340
      764.613200       0.016510
      765.158900       0.017230
      765.705300       0.017760
      766.252600       0.018940
      766.800600       0.020580
      767.349400       0.022760
      767.899000       0.022320
      768.449400       0.022830
      769.000500       0.026180
      769.552500       0.025960
      770.105300       0.028770
      770.658900       0.031670
      771.213200       0.031570
      771.768300       0.035060
      772.324300       0.036770
      772.881000       0.037440
      773.438600       0.042920
      773.996900       0.045110
      774.556100       0.044340
      775.116000       0.049840
      775.676800       0.051500
      776.238500       0.055180
      776.800900       0.063680
      777.364100       0.063130
      777.928100       0.064160
      778.493000       0.071200
      779.058700       0.079760
      779.625200       0.083180
      780.192500       0.087370
      780.760600       0.090480
      781.329600       0.096240
      781.899500       0.106730
      782.470100       0.108190
      783.041600       0.116150
      783.613900       0.132360
      784.187000       0.135860
      784.761000       0.147930
      785.335800       0.152470
      785.911500       0.159450
      786.488000       0.163770
      787.065400       0.172990
      787.643600       0.185890
      788.222700       0.195980
      788.802600       0.222980
      789.383400       0.229050
      789.965000       0.239640
      790.547500       0.262660
      791.130800       0.247500
      791.715000       0.291490
      792.300000       0.298930
      792.886000       0.308190
      793.472800       0.331020
      794.060500       0.360050
      794.649000       0.377030
      795.238400       0.418500
      795.828700       0.425280
      796.419900       0.423800
      797.011900       0.470150
      797.604800       0.505690
      798.198600       0.476890
      798.793300       0.541500
      799.388900       0.560370
      799.985400       0.575840
      800.582800       0.607680
      801.181000       0.662590
      801.780100       0.671300
      802.380200       0.710440
      802.981100       0.746970
      803.583000       0.718620
      804.185700       0.774620
      804.789300       0.802690
      805.393900       0.837850
      805.999400       0.822200
      806.605800       0.864450
      807.213100       0.868700
      807.821300       0.877600
      808.430400       0.903720
      809.040400       0.918130
      809.651400       0.899990
      810.263200       0.862440
      810.876100       0.986030
      811.489900       0.881510
      812.104500       0.994680
      812.720100       0.953880
      813.336600       0.952910
      813.954100       0.931720
      814.572500       0.949000
      815.191900       0.915570
      815.812100       1.000000
      816.433400       0.864230
      817.055500       0.964350
      817.678700       0.999410
      818.302800       0.956900
      818.927800       0.873990
      819.553800       0.899680
      820.180800       0.938490
      820.808700       0.896700
      821.437500       0.931180
      822.067400       0.914740
      822.698200       0.915400
      823.329900       0.880670
      823.962700       0.868650
      824.596500       0.895690
      825.231100       0.925700
      825.866800       0.839270
      826.503500       0.884520
      827.141100       0.894150
      827.779700       0.900340
      828.419300       0.907280
      829.059900       0.898510
      829.701500       0.897320
      830.344100       0.878240
      830.987700       0.900690
      831.632200       0.877660
      832.277800       0.911930
      832.924400       0.893880
      833.571900       0.907380
      834.220500       0.908990
      834.870100       0.919380
      835.520700       0.900530
      836.172300       0.897270
      836.825100       0.914280
      837.478700       0.923980
      838.133400       0.892470
      838.789100       0.903220
      839.445800       0.949520
      840.103600       0.948530
      840.762400       0.930470
      841.422200       0.899690
      842.083100       0.943660
      842.745000       0.954930
      843.408000       0.935410
      844.072000       0.931800
      844.737000       0.937410
      845.403100       0.985770
      846.070200       0.998630
      846.738400       0.943400
      847.407600       0.956610
      848.077900       0.929160
      848.749300       0.908840
      849.421700       0.905250
      850.095300       0.902280
      850.769900       0.857010
      851.445500       0.873900
      852.122200       0.853020
      852.800000       0.803430
      853.478800       0.847750
      854.158800       0.845520
      854.839800       0.756270
      855.521900       0.707060
      856.205100       0.696440
      856.889500       0.664330
      857.574900       0.644700
      858.261400       0.605370
      858.949000       0.575320
      859.637700       0.550120
      860.327500       0.527450
      861.018400       0.496390
      861.710400       0.472960
      862.403500       0.435520
      863.097800       0.397270
      863.793200       0.385240
      864.489700       0.363510
      865.187300       0.340100
      865.886000       0.312680
      866.585900       0.290870
      867.286900       0.273940
      867.989000       0.259400
      868.692300       0.240270
      869.396700       0.217450
      870.102300       0.204830
      870.809000       0.191860
      871.516900       0.173950
      872.225900       0.162080
      872.936000       0.151770
      873.647400       0.141150
      874.359800       0.127280
      875.073500       0.119010
      875.788300       0.108080
      876.504200       0.099810
      877.221400       0.091320
      877.939800       0.083410
      878.659300       0.076900
      879.379900       0.070840
      880.101800       0.063240
      880.824800       0.058170
      881.549100       0.053370
      882.274500       0.047830
      883.001100       0.042120
      883.728900       0.037030
      884.458000       0.033590
      885.188300       0.029770
      885.919700       0.025710
      886.652300       0.023170
      887.386200       0.019290
      888.121200       0.016160
      888.857500       0.014210
      889.595000       0.011670
      890.333800       0.009360
      891.073700       0.007720
      891.814900       0.006040
      892.557400       0.004790
      893.301100       0.003830
      894.046000       0.003060
      894.792100       0.002180
      895.539500       0.001570
      896.288200       0.001170
      897.038100       0.000830
      897.789200       0.000580
      898.541600       0.000440
      899.295300       0.000230
      900.050300       0.000110
      900.806500       0.000150
      901.564000       0.000130
      902.322800       0.000100
      903.082800       0.000050
      903.844100       0.000000
