15, Band_14 ;SRF extracted from  http://asterweb.jpl.nasa.gov/content/01_mission/03_instrument/archive/tir.txt
Number of data points:
124
Wavenumber (cm-1)   Filter response
      833.333333       0.000400
      834.028357       0.000500
      834.724541       0.000600
      835.421888       0.000800
      836.120401       0.001000
      836.820084       0.001200
      837.520938       0.001200
      838.222967       0.001400
      838.926174       0.001800
      839.630563       0.001800
      840.336134       0.002100
      841.042893       0.002300
      841.750842       0.002700
      842.459983       0.003000
      843.170320       0.003500
      843.881857       0.003900
      844.594595       0.004500
      845.308538       0.005000
      846.023689       0.006000
      846.740051       0.006800
      847.457627       0.008300
      848.176421       0.009700
      848.896435       0.012500
      849.617672       0.014800
      850.340136       0.019300
      851.063830       0.025000
      851.788756       0.032500
      852.514919       0.044000
      853.242321       0.056100
      853.970965       0.076600
      854.700855       0.096100
      855.431993       0.126000
      856.164384       0.154200
      856.898029       0.192300
      857.632933       0.232100
      858.369099       0.270400
      859.106529       0.319100
      859.845228       0.358900
      860.585198       0.406400
      861.326443       0.446100
      862.068966       0.482400
      862.812770       0.521800
      863.557858       0.552500
      864.304235       0.586100
      865.051903       0.611400
      865.800866       0.639600
      866.551127       0.664900
      867.302689       0.683100
      868.055556       0.702000
      868.809731       0.709600
      869.565217       0.724900
      870.322019       0.733900
      871.080139       0.743900
      871.839582       0.751700
      872.600349       0.761700
      873.362445       0.774000
      874.125874       0.781200
      874.890639       0.792100
      875.656743       0.797400
      876.424189       0.812600
      877.192982       0.817500
      877.963126       0.834100
      878.734622       0.846300
      879.507476       0.856300
      880.281690       0.879100
      881.057269       0.888500
      881.834215       0.908600
      882.612533       0.920900
      883.392226       0.932800
      884.173298       0.943100
      884.955752       0.952500
      885.739593       0.958900
      886.524823       0.955800
      887.311446       0.961500
      888.099467       0.959200
      888.888889       0.957900
      889.679715       0.958300
      890.471950       0.951600
      891.265597       0.952800
      892.060660       0.950000
      892.857143       0.954200
      893.655049       0.953200
      894.454383       0.960400
      895.255148       0.965600
      896.057348       0.972700
      896.860987       0.984200
      897.666068       0.988700
      898.472597       0.992400
      899.280576       1.000000
      900.090009       0.994700
      900.900901       0.982500
      901.713255       0.969200
      902.527076       0.928200
      903.342367       0.887500
      904.159132       0.840200
      904.977376       0.770100
      905.797101       0.715300
      906.618314       0.646600
      907.441016       0.577700
      908.265213       0.518400
      909.090909       0.447700
      909.918107       0.388500
      910.746812       0.334500
      911.577028       0.283100
      912.408759       0.240500
      913.242009       0.199100
      914.076782       0.164600
      914.913083       0.135000
      915.750916       0.109400
      916.590284       0.088200
      917.431193       0.070200
      918.273646       0.055600
      919.117647       0.044300
      919.963201       0.035000
      920.810313       0.026200
      921.658986       0.020400
      922.509225       0.014800
      923.361034       0.010700
      924.214418       0.008200
      925.069380       0.005400
      925.925926       0.002900
      926.784059       0.001800
      927.643785       0.000500
      928.505107       0.000000
