25 , eos_01_modis_25.flt      shift of 2.0cm-1 applied
Number of data points:
361
Wavenumber (cm-1)   Filter response
     2160.000000       0.000000
     2160.250000       0.010063
     2160.500000       0.010680
     2160.750000       0.011014
     2161.000000       0.011801
     2161.250000       0.012694
     2161.500000       0.013653
     2161.750000       0.014670
     2162.000000       0.015757
     2162.250000       0.014201
     2162.500000       0.014520
     2162.750000       0.015452
     2163.000000       0.015155
     2163.250000       0.016073
     2163.500000       0.017047
     2163.750000       0.018080
     2164.000000       0.019177
     2164.250000       0.020336
     2164.500000       0.021540
     2164.750000       0.022779
     2165.000000       0.024063
     2165.250000       0.025405
     2165.500000       0.026815
     2165.750000       0.028308
     2166.000000       0.029895
     2166.250000       0.031582
     2166.500000       0.033375
     2166.750000       0.035260
     2167.000000       0.037221
     2167.250000       0.039263
     2167.500000       0.041404
     2167.750000       0.043659
     2168.000000       0.046044
     2168.250000       0.048577
     2168.500000       0.051266
     2168.750000       0.054124
     2169.000000       0.057141
     2169.250000       0.060287
     2169.500000       0.063549
     2169.750000       0.066966
     2170.000000       0.070574
     2170.250000       0.074406
     2170.500000       0.078512
     2170.750000       0.082918
     2171.000000       0.087649
     2171.250000       0.092714
     2171.500000       0.098094
     2171.750000       0.103748
     2172.000000       0.109679
     2172.250000       0.115920
     2172.500000       0.122475
     2172.750000       0.129381
     2173.000000       0.136677
     2173.250000       0.144376
     2173.500000       0.152509
     2173.750000       0.161112
     2174.000000       0.170217
     2174.250000       0.179823
     2174.500000       0.189939
     2174.750000       0.200572
     2175.000000       0.211719
     2175.250000       0.223376
     2175.500000       0.235525
     2175.750000       0.248128
     2176.000000       0.261200
     2176.250000       0.274784
     2176.500000       0.288892
     2176.750000       0.303505
     2177.000000       0.318588
     2177.250000       0.334134
     2177.500000       0.350105
     2177.750000       0.366453
     2178.000000       0.383131
     2178.250000       0.400098
     2178.500000       0.417379
     2178.750000       0.435025
     2179.000000       0.453050
     2179.250000       0.471376
     2179.500000       0.489949
     2179.750000       0.508727
     2180.000000       0.527617
     2180.250000       0.546627
     2180.500000       0.565716
