27 , eos_01_modis_27.flt  shift of -1.0cm-1 applied
Number of data points:
609
Wavenumber (cm-1)   Filter response
     1392.000000       0.000000
     1392.250000       0.000000
     1392.500000       0.000000
     1392.750000       0.010115
     1393.000000       0.010377
     1393.250000       0.010641
     1393.500000       0.010905
     1393.750000       0.010851
     1394.000000       0.011095
     1394.250000       0.011016
     1394.500000       0.011227
     1394.750000       0.011439
     1395.000000       0.011654
     1395.250000       0.011518
     1395.500000       0.011733
     1395.750000       0.011950
     1396.000000       0.012169
     1396.250000       0.012391
     1396.500000       0.012615
     1396.750000       0.012393
     1397.000000       0.012610
     1397.250000       0.012826
     1397.500000       0.013042
     1397.750000       0.012804
     1398.000000       0.012996
     1398.250000       0.013187
     1398.500000       0.013375
     1398.750000       0.013563
     1399.000000       0.013750
     1399.250000       0.013936
     1399.500000       0.014120
     1399.750000       0.014304
     1400.000000       0.014485
     1400.250000       0.014664
     1400.500000       0.014257
     1400.750000       0.014434
     1401.000000       0.014610
     1401.250000       0.014783
     1401.500000       0.014956
     1401.750000       0.014563
     1402.000000       0.014266
     1402.250000       0.014437
     1402.500000       0.014611
     1402.750000       0.014787
     1403.000000       0.014967
     1403.250000       0.015150
     1403.500000       0.015337
     1403.750000       0.015529
     1404.000000       0.015723
     1404.250000       0.015918
     1404.500000       0.016116
     1404.750000       0.016314
     1405.000000       0.016513
     1405.250000       0.016712
     1405.500000       0.016912
     1405.750000       0.017113
     1406.000000       0.017315
     1406.250000       0.017520
     1406.500000       0.017726
     1406.750000       0.017937
     1407.000000       0.018150
     1407.250000       0.018367
     1407.500000       0.018589
     1407.750000       0.018815
     1408.000000       0.019047
     1408.250000       0.019283
     1408.500000       0.019527
     1408.750000       0.019777
     1409.000000       0.020034
     1409.250000       0.020300
     1409.500000       0.020573
     1409.750000       0.020852
     1410.000000       0.021138
     1410.250000       0.021428
     1410.500000       0.021724
     1410.750000       0.022025
     1411.000000       0.022330
     1411.250000       0.022641
     1411.500000       0.022959
     1411.750000       0.023285
     1412.000000       0.023620
     1412.250000       0.023963
     1412.500000       0.024317
     1412.750000       0.024681
     1413.000000       0.025054
     1413.250000       0.025437
     1413.500000       0.025830
     1413.750000       0.026233
     1414.000000       0.026646
     1414.250000       0.027069
     1414.500000       0.027505
     1414.750000       0.027953
     1415.000000       0.028415
     1415.250000       0.028891
     1415.500000       0.029383
     1415.750000       0.029888
     1416.000000       0.030407
     1416.250000       0.030939
     1416.500000       0.031486
     1416.750000       0.032047
     1417.000000       0.032621
     1417.250000       0.033210
     1417.500000       0.033813
     1417.750000       0.034430
     1418.000000       0.035062
     1418.250000       0.035708
     1418.500000       0.036370
     1418.750000       0.037046
     1419.000000       0.037736
     1419.250000       0.038439
     1419.500000       0.039155
     1419.750000       0.039883
     1420.000000       0.040623
     1420.250000       0.041378
     1420.500000       0.042147
     1420.750000       0.042932
     1421.000000       0.043733
     1421.250000       0.044552
     1421.500000       0.045387
     1421.750000       0.046240
     1422.000000       0.047111
     1422.250000       0.047998
     1422.500000       0.048902
     1422.750000       0.049823
     1423.000000       0.050761
     1423.250000       0.051719
     1423.500000       0.052697
     1423.750000       0.053699
     1424.000000       0.054727
     1424.250000       0.055782
     1424.500000       0.056864
     1424.750000       0.057974
     1425.000000       0.059112
