29 , eos_01_modis_29.flt  shift of 1.0cm-1 applied
Number of data points:
461
Wavenumber (cm-1)   Filter response
     1120.000000       0.000000
     1120.250000       0.009988
     1120.500000       0.010202
     1120.750000       0.010427
     1121.000000       0.010665
     1121.250000       0.010919
     1121.500000       0.010322
     1121.750000       0.010704
     1122.000000       0.010962
     1122.250000       0.011348
     1122.500000       0.011743
     1122.750000       0.012139
     1123.000000       0.012534
     1123.250000       0.012592
     1123.500000       0.012958
     1123.750000       0.013323
     1124.000000       0.013291
     1124.250000       0.013309
     1124.500000       0.013668
     1124.750000       0.014037
     1125.000000       0.014419
     1125.250000       0.014816
     1125.500000       0.015229
     1125.750000       0.015663
     1126.000000       0.016119
     1126.250000       0.016594
     1126.500000       0.017085
     1126.750000       0.017585
     1127.000000       0.018092
     1127.250000       0.018605
     1127.500000       0.019125
     1127.750000       0.019657
     1128.000000       0.020204
     1128.250000       0.020768
     1128.500000       0.021353
     1128.750000       0.021962
     1129.000000       0.022598
     1129.250000       0.023264
     1129.500000       0.023964
     1129.750000       0.024701
     1130.000000       0.025474
     1130.250000       0.026278
     1130.500000       0.027106
     1130.750000       0.027954
     1131.000000       0.028818
     1131.250000       0.029701
     1131.500000       0.030607
     1131.750000       0.031543
     1132.000000       0.032512
     1132.250000       0.033519
     1132.500000       0.034570
     1132.750000       0.035670
     1133.000000       0.036823
     1133.250000       0.038035
     1133.500000       0.039309
     1133.750000       0.040648
     1134.000000       0.042028
     1134.250000       0.043432
     1134.500000       0.044853
     1134.750000       0.046282
     1135.000000       0.047721
     1135.250000       0.049191
     1135.500000       0.050710
     1135.750000       0.052298
     1136.000000       0.053972
     1136.250000       0.055753
     1136.500000       0.057659
     1136.750000       0.059708
     1137.000000       0.061921
     1137.250000       0.064314
     1137.500000       0.066908
     1137.750000       0.069678
     1138.000000       0.072591
     1138.250000       0.075634
     1138.500000       0.078800
     1138.750000       0.082065
     1139.000000       0.085447
     1139.250000       0.088968
     1139.500000       0.092649
     1139.750000       0.096510
     1140.000000       0.100573
     1140.250000       0.104860
     1140.500000       0.109391
     1140.750000       0.114188
     1141.000000       0.119271
     1141.250000       0.124663
     1141.500000       0.130372
     1141.750000       0.136351
     1142.000000       0.142579
     1142.250000       0.149050
     1142.500000       0.155719
     1142.750000       0.162570
     1143.000000       0.169628
     1143.250000       0.176920
     1143.500000       0.184473
     1143.750000       0.192313
     1144.000000       0.200465
     1144.250000       0.208958
     1144.500000       0.217817
     1144.750000       0.227068
     1145.000000       0.236739
     1145.250000       0.246855
     1145.500000       0.257397
     1145.750000       0.268283
     1146.000000       0.279430
     1146.250000       0.290788
     1146.500000       0.302248
     1146.750000       0.313858
     1147.000000       0.325717
     1147.250000       0.337923
     1147.500000       0.350576
     1147.750000       0.363773
     1148.000000       0.377615
     1148.250000       0.392199
     1148.500000       0.407625
     1148.750000       0.423992
     1149.000000       0.441397
     1149.250000       0.459949
     1149.500000       0.480026
     1149.750000       0.502018
     1150.000000       0.526112
     1150.250000       0.552378
     1150.500000       0.580937
     1150.750000       0.611378
     1151.000000       0.643224
     1151.250000       0.675997
     1151.500000       0.709221
     1151.750000       0.742419
     1152.000000       0.775114
     1152.250000       0.806828
     1152.500000       0.837085
     1152.750000       0.865408
     1153.000000       0.891320
     1153.250000       0.914355
     1153.500000       0.934284
     1153.750000       0.951084
     1154.000000       0.964856
     1154.250000       0.975786
     1154.500000       0.984301
     1154.750000       0.990677
     1155.000000       0.995175
     1155.250000       0.998055
     1155.500000       0.999577
     1155.750000       1.000000
     1156.000000       0.999584
     1156.250000       0.998589
     1156.500000       0.997274
     1156.750000       0.995899
     1157.000000       0.994725
     1157.250000       0.993993
     1157.500000       0.993681
     1157.750000       0.993658
     1158.000000       0.993813
     1158.250000       0.993995
     1158.500000       0.993882
     1158.750000       0.993481
     1159.000000       0.992830
     1159.250000       0.991970
     1159.500000       0.990939
     1159.750000       0.989775
     1160.000000       0.988519
     1160.250000       0.987210
     1160.500000       0.985886
     1160.750000       0.984586
     1161.000000       0.983350
     1161.250000       0.982214
     1161.500000       0.981176
     1161.750000       0.980208
     1162.000000       0.979266
     1162.250000       0.978341
     1162.500000       0.977438
     1162.750000       0.976556
     1163.000000       0.975690
     1163.250000       0.974838
     1163.500000       0.973996
     1163.750000       0.973160
     1164.000000       0.972328
     1164.250000       0.971496
     1164.500000       0.970661
     1164.750000       0.969819
     1165.000000       0.968968
     1165.250000       0.968103
     1165.500000       0.967199
     1165.750000       0.966224
     1166.000000       0.965160
     1166.250000       0.964007
     1166.500000       0.962788
     1166.750000       0.961518
     1167.000000       0.960210
     1167.250000       0.958873
     1167.500000       0.957521
     1167.750000       0.956164
     1168.000000       0.954814
     1168.250000       0.953482
     1168.500000       0.952180
     1168.750000       0.950919
     1169.000000       0.949711
     1169.250000       0.948566
     1169.500000       0.947488
     1169.750000       0.946452
     1170.000000       0.945450
     1170.250000       0.944488
     1170.500000       0.943529
     1170.750000       0.942540
     1171.000000       0.941538
     1171.250000       0.940542
     1171.500000       0.939567
     1171.750000       0.938632
     1172.000000       0.937754
     1172.250000       0.936948
     1172.500000       0.936234
     1172.750000       0.935627
     1173.000000       0.935146
     1173.250000       0.934807
     1173.500000       0.934628
     1173.750000       0.934641
     1174.000000       0.934873
     1174.250000       0.935354
     1174.500000       0.936073
     1174.750000       0.936978
     1175.000000       0.938040
     1175.250000       0.939240
     1175.500000       0.940557
     1175.750000       0.941972
     1176.000000       0.943463
     1176.250000       0.945010
     1176.500000       0.946594
     1176.750000       0.948194
     1177.000000       0.949788
     1177.250000       0.951358
     1177.500000       0.952883
     1177.750000       0.954369
     1178.000000       0.955887
     1178.250000       0.957490
     1178.500000       0.959203
     1178.750000       0.961048
     1179.000000       0.963039
     1179.250000       0.965131
     1179.500000       0.967275
     1179.750000       0.969423
     1180.000000       0.971528
     1180.250000       0.973543
     1180.500000       0.975420
     1180.750000       0.977111
     1181.000000       0.978569
     1181.250000       0.979746
     1181.500000       0.980595
     1181.750000       0.981067
     1182.000000       0.981160
     1182.250000       0.980898
     1182.500000       0.980286
     1182.750000       0.979335
     1183.000000       0.978150
     1183.250000       0.976768
     1183.500000       0.975179
     1183.750000       0.973373
     1184.000000       0.971337
     1184.250000       0.969062
     1184.500000       0.966537
     1184.750000       0.963751
     1185.000000       0.960693
     1185.250000       0.957352
     1185.500000       0.953718
     1185.750000       0.949779
     1186.000000       0.945524
     1186.250000       0.940925
     1186.500000       0.935960
     1186.750000       0.930597
     1187.000000       0.924831
     1187.250000       0.918706
     1187.500000       0.912244
     1187.750000       0.905462
     1188.000000       0.898377
     1188.250000       0.891005
     1188.500000       0.883361
     1188.750000       0.875463
     1189.000000       0.867327
     1189.250000       0.858970
     1189.500000       0.850406
     1189.750000       0.841654
     1190.000000       0.832729
     1190.250000       0.823644
     1190.500000       0.814358
     1190.750000       0.804833
     1191.000000       0.795060
     1191.250000       0.785021
     1191.500000       0.774644
     1191.750000       0.763948
     1192.000000       0.752973
     1192.250000       0.741758
     1192.500000       0.730342
     1192.750000       0.718764
     1193.000000       0.707065
     1193.250000       0.695283
     1193.500000       0.683458
     1193.750000       0.671629
     1194.000000       0.659836
     1194.250000       0.648118
     1194.500000       0.636510
     1194.750000       0.624997
     1195.000000       0.613550
     1195.250000       0.602170
     1195.500000       0.590836
     1195.750000       0.579451
     1196.000000       0.568010
     1196.250000       0.556542
     1196.500000       0.545071
     1196.750000       0.533626
     1197.000000       0.522233
     1197.250000       0.510918
     1197.500000       0.499709
     1197.750000       0.488632
     1198.000000       0.477714
     1198.250000       0.466982
     1198.500000       0.456462
     1198.750000       0.446181
     1199.000000       0.436146
     1199.250000       0.426352
     1199.500000       0.416796
