   7 , eos_02_modis_07.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
     4597.000000       0.000000
     4599.630000       0.010727
     4602.260000       0.012304
     4604.890000       0.014483
     4607.520000       0.017442
     4610.150000       0.020889
     4612.780000       0.024739
     4615.410000       0.029431
     4618.040000       0.035497
     4620.670000       0.042760
     4623.300000       0.051121
     4625.930000       0.061209
     4628.560000       0.073674
     4631.190000       0.088580
     4633.820000       0.105603
     4636.450000       0.124828
     4639.080000       0.146347
     4641.710000       0.170668
     4644.340000       0.197843
     4646.970000       0.226671
     4649.600000       0.255817
     4652.230000       0.284967
     4654.860000       0.315033
     4657.490000       0.345149
     4660.120000       0.374188
     4662.750000       0.401398
     4665.380000       0.427355
     4668.010000       0.452064
     4670.640000       0.475390
     4673.270000       0.497117
     4675.900000       0.517027
     4678.530000       0.535613
     4681.160000       0.553529
     4683.790000       0.571353
     4686.420000       0.588733
     4689.050000       0.605611
     4691.680000       0.622290
     4694.310000       0.639108
     4696.940000       0.655828
     4699.570000       0.672535
     4702.200000       0.689705
     4704.830000       0.707816
     4707.460000       0.727321
     4710.090000       0.747931
     4712.720000       0.768856
     4715.350000       0.789302
     4717.980000       0.809057
     4720.610000       0.828706
     4723.240000       0.847868
     4725.870000       0.865931
     4728.500000       0.882219
     4731.130000       0.896578
     4733.760000       0.909788
     4736.390000       0.922728
     4739.020000       0.936331
     4741.650000       0.951638
     4744.280000       0.967325
     4746.910000       0.981170
     4749.540000       0.990910
     4752.170000       0.996789
     4754.800000       1.000000
     4757.430000       0.999669
     4760.060000       0.994445
     4762.690000       0.983626
     4765.320000       0.967890
     4767.950000       0.946393
     4770.580000       0.918467
     4773.210000       0.883408
     4775.840000       0.840521
     4778.470000       0.791513
     4781.100000       0.738714
     4783.730000       0.684512
     4786.360000       0.627387
     4788.990000       0.566388
     4791.620000       0.504556
     4794.250000       0.445367
     4796.880000       0.390553
     4799.510000       0.337753
     4802.140000       0.287908
     4804.770000       0.242525
     4807.400000       0.203134
     4810.030000       0.169869
     4812.660000       0.141835
     4815.290000       0.118075
     4817.920000       0.097557
     4820.550000       0.080415
     4823.180000       0.067238
     4825.810000       0.056963
     4828.440000       0.048334
     4831.070000       0.040410
     4833.700000       0.034096
     4836.330000       0.029265
     4838.960000       0.025372
     4841.590000       0.021833
     4844.220000       0.018738
     4846.850000       0.016339
     4849.480000       0.014384
     4852.110000       0.012573
     4854.740000       0.010860
     4857.370000       0.010250
     4860.000000       0.000000
