  16 , eos_02_modis_16.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    11332.000000       0.000000
    11336.130000       0.010828
    11340.260000       0.012276
    11344.390000       0.013839
    11348.520000       0.015796
    11352.650000       0.018148
    11356.780000       0.020952
    11360.910000       0.024619
    11365.040000       0.029121
    11369.170000       0.034475
    11373.300000       0.041630
    11377.430000       0.050742
    11381.560000       0.062061
    11385.690000       0.077657
    11389.820000       0.099115
    11393.950000       0.126120
    11398.080000       0.158284
    11402.210000       0.195805
    11406.340000       0.238922
    11410.470000       0.285241
    11414.600000       0.331381
    11418.730000       0.377397
    11422.860000       0.422602
    11426.990000       0.465179
    11431.120000       0.504921
    11435.250000       0.542534
    11439.380000       0.579022
    11443.510000       0.614741
    11447.640000       0.649498
    11451.770000       0.683220
    11455.900000       0.716006
    11460.030000       0.747826
    11464.160000       0.778538
    11468.290000       0.808452
    11472.420000       0.837574
    11476.550000       0.864615
    11480.680000       0.888453
    11484.810000       0.909316
    11488.940000       0.927228
    11493.070000       0.941580
    11497.200000       0.951739
    11501.330000       0.958874
    11505.460000       0.964677
    11509.590000       0.969020
    11513.720000       0.971929
    11517.850000       0.974496
    11521.980000       0.977248
    11526.110000       0.980062
    11530.240000       0.983059
    11534.370000       0.986702
    11538.500000       0.990909
    11542.630000       0.994708
    11546.760000       0.997398
    11550.890000       0.999306
    11555.020000       1.000000
    11559.150000       0.998536
    11563.280000       0.994856
    11567.410000       0.988990
    11571.540000       0.980550
    11575.670000       0.969457
    11579.800000       0.955579
    11583.930000       0.938446
    11588.060000       0.917648
    11592.190000       0.893414
    11596.320000       0.866480
    11600.450000       0.837454
    11604.580000       0.806180
    11608.710000       0.772649
    11612.840000       0.737233
    11616.970000       0.699896
    11621.100000       0.660914
    11625.230000       0.621173
    11629.360000       0.580748
    11633.490000       0.539775
    11637.620000       0.499127
    11641.750000       0.459224
    11645.880000       0.419869
    11650.010000       0.381455
    11654.140000       0.344450
    11658.270000       0.308698
    11662.400000       0.274577
    11666.530000       0.242769
    11670.660000       0.213264
    11674.790000       0.185964
    11678.920000       0.160998
    11683.050000       0.138540
    11687.180000       0.118553
    11691.310000       0.100816
    11695.440000       0.085193
    11699.570000       0.071714
    11703.700000       0.060110
    11707.830000       0.049999
    11711.960000       0.041470
    11716.090000       0.034419
    11720.220000       0.028401
    11724.350000       0.023325
    11728.480000       0.019251
    11732.610000       0.015857
    11736.740000       0.012944
    11740.870000       0.010873
    11745.000000       0.000000
