27 , eos_02_modis_27.flt   shift of 2.0cm-1 applied
Number of data points:
581
Wavenumber (cm-1)   Filter response
     1397.000000       0.000000
     1397.250000       0.000000
     1397.500000       0.000000
     1397.750000       0.000000
     1398.000000       0.009991
     1398.250000       0.010081
     1398.500000       0.010085
     1398.750000       0.010219
     1399.000000       0.010354
     1399.250000       0.010491
     1399.500000       0.010625
     1399.750000       0.010757
     1400.000000       0.010886
     1400.250000       0.011013
     1400.500000       0.010759
     1400.750000       0.010700
     1401.000000       0.010835
     1401.250000       0.010976
     1401.500000       0.011125
     1401.750000       0.011281
     1402.000000       0.011448
     1402.250000       0.011300
     1402.500000       0.011221
     1402.750000       0.011049
     1403.000000       0.011226
     1403.250000       0.011443
     1403.500000       0.011704
     1403.750000       0.011789
     1404.000000       0.012089
     1404.250000       0.012400
     1404.500000       0.012720
     1404.750000       0.013047
     1405.000000       0.013379
     1405.250000       0.013713
     1405.500000       0.013649
     1405.750000       0.013965
     1406.000000       0.014276
     1406.250000       0.014582
     1406.500000       0.014882
     1406.750000       0.015175
     1407.000000       0.015459
     1407.250000       0.015738
     1407.500000       0.016012
     1407.750000       0.016286
     1408.000000       0.016562
     1408.250000       0.016842
     1408.500000       0.017130
     1408.750000       0.017428
     1409.000000       0.017737
     1409.250000       0.018060
     1409.500000       0.018400
     1409.750000       0.018758
     1410.000000       0.019133
     1410.250000       0.019524
     1410.500000       0.019926
     1410.750000       0.020338
     1411.000000       0.020756
     1411.250000       0.021177
     1411.500000       0.021600
     1411.750000       0.022021
     1412.000000       0.022438
     1412.250000       0.022849
     1412.500000       0.023251
     1412.750000       0.023644
     1413.000000       0.024032
     1413.250000       0.024415
     1413.500000       0.024795
     1413.750000       0.025175
     1414.000000       0.025557
     1414.250000       0.025942
     1414.500000       0.026331
     1414.750000       0.026726
     1415.000000       0.027128
     1415.250000       0.027539
     1415.500000       0.027960
     1415.750000       0.028392
     1416.000000       0.028832
     1416.250000       0.029280
     1416.500000       0.029736
     1416.750000       0.030201
     1417.000000       0.030676
     1417.250000       0.031162
     1417.500000       0.031659
     1417.750000       0.032167
     1418.000000       0.032685
     1418.250000       0.033213
     1418.500000       0.033751
     1418.750000       0.034299
     1419.000000       0.034859
     1419.250000       0.035431
     1419.500000       0.036013
     1419.750000       0.036606
     1420.000000       0.037210
     1420.250000       0.037824
     1420.500000       0.038449
     1420.750000       0.039085
     1421.000000       0.039731
     1421.250000       0.040388
     1421.500000       0.041053
     1421.750000       0.041727
     1422.000000       0.042412
     1422.250000       0.043108
     1422.500000       0.043813
     1422.750000       0.044526
     1423.000000       0.045246
     1423.250000       0.045971
     1423.500000       0.046700
     1423.750000       0.047432
     1424.000000       0.048166
     1424.250000       0.048902
     1424.500000       0.049638
     1424.750000       0.050374
     1425.000000       0.051108
     1425.250000       0.051844
     1425.500000       0.052585
     1425.750000       0.053334
     1426.000000       0.054095
     1426.250000       0.054868
     1426.500000       0.055657
     1426.750000       0.056461
     1427.000000       0.057281
     1427.250000       0.058121
     1427.500000       0.058980
     1427.750000       0.059860
     1428.000000       0.060755
     1428.250000       0.061666
     1428.500000       0.062596
     1428.750000       0.063547
     1429.000000       0.064523
     1429.250000       0.065527
     1429.500000       0.066564
     1429.750000       0.067630
     1430.000000       0.068728
     1430.250000       0.069860
     1430.500000       0.071026
     1430.750000       0.072229
     1431.000000       0.073470
     1431.250000       0.074748
     1431.500000       0.076062
     1431.750000       0.077412
     1432.000000       0.078797
     1432.250000       0.080216
     1432.500000       0.081668
     1432.750000       0.083148
     1433.000000       0.084653
     1433.250000       0.086183
     1433.500000       0.087736
     1433.750000       0.089313
     1434.000000       0.090914
     1434.250000       0.092544
     1434.500000       0.094204
     1434.750000       0.095899
     1435.000000       0.097630
     1435.250000       0.099403
     1435.500000       0.101214
     1435.750000       0.103065
     1436.000000       0.104952
     1436.250000       0.106876
     1436.500000       0.108839
     1436.750000       0.110843
     1437.000000       0.112889
     1437.250000       0.114972
