29 , eos_02_modis_29.flt     shift of 1.0cm-1 applied
Number of data points:
473
Wavenumber (cm-1)   Filter response
     1115.000000       0.000000
     1115.250000       0.000000
     1115.500000       0.010094
     1115.750000       0.010455
     1116.000000       0.010509
     1116.250000       0.010916
     1116.500000       0.011339
     1116.750000       0.011782
     1117.000000       0.012248
     1117.250000       0.012729
     1117.500000       0.013217
     1117.750000       0.013714
     1118.000000       0.014221
     1118.250000       0.013629
     1118.500000       0.014126
     1118.750000       0.014632
     1119.000000       0.015144
     1119.250000       0.015661
     1119.500000       0.016184
     1119.750000       0.015402
     1120.000000       0.014990
     1120.250000       0.015497
     1120.500000       0.016014
     1120.750000       0.016543
     1121.000000       0.017085
     1121.250000       0.017640
     1121.500000       0.018211
     1121.750000       0.018794
     1122.000000       0.019389
     1122.250000       0.018606
     1122.500000       0.016474
     1122.750000       0.017009
     1123.000000       0.017664
     1123.250000       0.018322
     1123.500000       0.018980
     1123.750000       0.019641
     1124.000000       0.020313
     1124.250000       0.021001
     1124.500000       0.021713
     1124.750000       0.022453
     1125.000000       0.023227
     1125.250000       0.024041
     1125.500000       0.024898
     1125.750000       0.025801
     1126.000000       0.026757
     1126.250000       0.027763
     1126.500000       0.028819
     1126.750000       0.029920
     1127.000000       0.031051
     1127.250000       0.032214
     1127.500000       0.033413
     1127.750000       0.034655
     1128.000000       0.035948
     1128.250000       0.037297
     1128.500000       0.038710
     1128.750000       0.040189
     1129.000000       0.041744
     1129.250000       0.043377
     1129.500000       0.045093
     1129.750000       0.046898
     1130.000000       0.048786
     1130.250000       0.050749
     1130.500000       0.052780
     1130.750000       0.054867
     1131.000000       0.057016
     1131.250000       0.059235
     1131.500000       0.061533
     1131.750000       0.063924
     1132.000000       0.066422
     1132.250000       0.069040
     1132.500000       0.071786
     1132.750000       0.074673
     1133.000000       0.077713
     1133.250000       0.080915
     1133.500000       0.084292
     1133.750000       0.087833
     1134.000000       0.091513
     1134.250000       0.095324
     1134.500000       0.099253
     1134.750000       0.103296
     1135.000000       0.107473
     1135.250000       0.111787
