30 , eos_02_modis_30.flt   shift of -2.0cm-1 applied
Number of data points:
313
Wavenumber (cm-1)   Filter response
      994.000000       0.000000
      994.250000       0.000000
      994.500000       0.010232
      994.750000       0.010466
      995.000000       0.011401
      995.250000       0.011561
      995.500000       0.012536
      995.750000       0.012655
      996.000000       0.012661
      996.250000       0.013604
      996.500000       0.014749
      996.750000       0.016125
      997.000000       0.017760
      997.250000       0.019682
      997.500000       0.021893
      997.750000       0.024361
      998.000000       0.027064
      998.250000       0.029983
      998.500000       0.033074
      998.750000       0.036340
      999.000000       0.039757
      999.250000       0.043377
      999.500000       0.047255
      999.750000       0.051443
     1000.000000       0.055996
     1000.250000       0.060968
     1000.500000       0.066401
     1000.750000       0.072307
     1001.000000       0.078699
     1001.250000       0.085567
     1001.500000       0.092873
     1001.750000       0.100636
     1002.000000       0.108859
     1002.250000       0.117540
     1002.500000       0.126677
     1002.750000       0.136269
     1003.000000       0.146315
     1003.250000       0.156811
     1003.500000       0.167773
     1003.750000       0.179241
     1004.000000       0.191231
     1004.250000       0.203719
     1004.500000       0.216698
     1004.750000       0.230138
     1005.000000       0.244085
     1005.250000       0.258464
     1005.500000       0.273182
     1005.750000       0.288145
     1006.000000       0.303260
     1006.250000       0.318435
     1006.500000       0.333596
     1006.750000       0.348771
     1007.000000       0.363972
     1007.250000       0.379189
     1007.500000       0.394515
     1007.750000       0.409900
     1008.000000       0.425373
     1008.250000       0.440872
     1008.500000       0.456299
     1008.750000       0.471554
     1009.000000       0.486541
     1009.250000       0.501161
     1009.500000       0.515323
     1009.750000       0.529004
     1010.000000       0.542199
     1010.250000       0.554913
     1010.500000       0.567228
     1010.750000       0.579160
     1011.000000       0.590691
     1011.250000       0.601812
     1011.500000       0.612514
     1011.750000       0.622787
     1012.000000       0.632621
     1012.250000       0.642006
     1012.500000       0.650932
     1012.750000       0.659369
     1013.000000       0.667295
     1013.250000       0.674713
     1013.500000       0.681627
     1013.750000       0.688047
     1014.000000       0.693995
     1014.250000       0.699477
     1014.500000       0.704584
     1014.750000       0.709407
     1015.000000       0.714036
     1015.250000       0.718563
     1015.500000       0.723079
     1015.750000       0.727653
     1016.000000       0.732286
     1016.250000       0.736983
     1016.500000       0.741735
     1016.750000       0.746455
     1017.000000       0.751170
     1017.250000       0.755863
     1017.500000       0.760560
     1017.750000       0.765302
     1018.000000       0.770131
     1018.250000       0.775086
     1018.500000       0.780210
     1018.750000       0.785543
     1019.000000       0.791128
     1019.250000       0.796991
     1019.500000       0.803135
     1019.750000       0.809540
     1020.000000       0.816180
     1020.250000       0.823045
     1020.500000       0.830120
     1020.750000       0.837345
     1021.000000       0.844657
     1021.250000       0.851995
     1021.500000       0.859297
     1021.750000       0.866502
     1022.000000       0.873556
     1022.250000       0.880433
     1022.500000       0.887130
     1022.750000       0.893650
     1023.000000       0.900074
     1023.250000       0.906396
     1023.500000       0.912664
     1023.750000       0.918871
     1024.000000       0.924986
     1024.250000       0.930980
     1024.500000       0.936825
     1024.750000       0.942492
     1025.000000       0.947950
     1025.250000       0.953174
     1025.500000       0.958150
     1025.750000       0.962874
     1026.000000       0.967372
     1026.250000       0.971700
     1026.500000       0.975825
     1026.750000       0.979738
     1027.000000       0.983401
     1027.250000       0.986775
     1027.500000       0.989820
     1027.750000       0.992495
     1028.000000       0.994763
     1028.250000       0.996589
     1028.500000       0.998016
     1028.750000       0.999060
     1029.000000       0.999718
     1029.250000       1.000000
     1029.500000       0.999890
     1029.750000       0.999344
     1030.000000       0.998323
     1030.250000       0.996803
     1030.500000       0.994758
     1030.750000       0.992165
     1031.000000       0.988998
     1031.250000       0.985233
     1031.500000       0.980867
     1031.750000       0.975989
     1032.000000       0.970630
     1032.250000       0.964796
     1032.500000       0.958433
     1032.750000       0.951535
     1033.000000       0.944074
     1033.250000       0.936046
     1033.500000       0.927479
     1033.750000       0.918401
     1034.000000       0.908841
     1034.250000       0.898828
     1034.500000       0.888389
     1034.750000       0.877542
     1035.000000       0.866281
     1035.250000       0.854643
     1035.500000       0.842631
     1035.750000       0.830194
     1036.000000       0.817374
     1036.250000       0.804190
     1036.500000       0.790682
     1036.750000       0.776913
     1037.000000       0.762944
     1037.250000       0.748837
     1037.500000       0.734653
     1037.750000       0.720453
     1038.000000       0.706240
     1038.250000       0.691914
     1038.500000       0.677463
     1038.750000       0.662873
     1039.000000       0.648118
     1039.250000       0.633245
     1039.500000       0.618310
     1039.750000       0.603360
     1040.000000       0.588444
     1040.250000       0.573610
     1040.500000       0.558907
     1040.750000       0.544382
     1041.000000       0.530084
     1041.250000       0.516016
     1041.500000       0.502092
     1041.750000       0.488261
     1042.000000       0.474510
     1042.250000       0.460809
     1042.500000       0.447170
     1042.750000       0.433624
     1043.000000       0.420206
     1043.250000       0.406953
     1043.500000       0.393901
     1043.750000       0.381086
     1044.000000       0.368545
     1044.250000       0.356314
     1044.500000       0.344421
     1044.750000       0.332857
     1045.000000       0.321610
     1045.250000       0.310681
     1045.500000       0.300065
     1045.750000       0.289749
     1046.000000       0.279702
     1046.250000       0.269901
     1046.500000       0.260348
     1046.750000       0.251040
     1047.000000       0.241980
     1047.250000       0.233166
     1047.500000       0.224598
     1047.750000       0.216280
     1048.000000       0.208232
     1048.250000       0.200467
     1048.500000       0.192994
     1048.750000       0.185831
     1049.000000       0.178976
     1049.250000       0.172408
     1049.500000       0.166096
     1049.750000       0.160026
     1050.000000       0.154179
     1050.250000       0.148541
     1050.500000       0.143094
     1050.750000       0.137821
     1051.000000       0.132708
     1051.250000       0.127766
     1051.500000       0.123009
     1051.750000       0.118445
     1052.000000       0.114079
     1052.250000       0.109927
     1052.500000       0.105977
     1052.750000       0.102226
     1053.000000       0.098657
     1053.250000       0.095250
     1053.500000       0.091987
     1053.750000       0.088846
     1054.000000       0.085809
     1054.250000       0.082856
     1054.500000       0.079978
     1054.750000       0.077185
     1055.000000       0.074477
     1055.250000       0.071854
     1055.500000       0.069326
     1055.750000       0.066889
     1056.000000       0.064547
     1056.250000       0.062301
     1056.500000       0.060143
     1056.750000       0.058065
     1057.000000       0.056060
     1057.250000       0.054121
     1057.500000       0.052239
     1057.750000       0.050410
     1058.000000       0.048638
     1058.250000       0.046931
     1058.500000       0.045289
     1058.750000       0.043715
     1059.000000       0.042209
     1059.250000       0.040769
     1059.500000       0.039398
     1059.750000       0.038090
     1060.000000       0.036838
     1060.250000       0.035637
     1060.500000       0.034480
     1060.750000       0.033361
     1061.000000       0.032273
     1061.250000       0.031215
     1061.500000       0.030191
     1061.750000       0.029202
     1062.000000       0.028246
     1062.250000       0.027324
     1062.500000       0.026434
     1062.750000       0.025579
     1063.000000       0.024757
     1063.250000       0.023966
     1063.500000       0.023203
     1063.750000       0.022464
     1064.000000       0.021745
     1064.250000       0.021045
     1064.500000       0.020359
     1064.750000       0.019696
     1065.000000       0.019061
     1065.250000       0.018454
     1065.500000       0.017873
     1065.750000       0.017318
     1066.000000       0.016787
     1066.250000       0.016988
     1066.500000       0.016470
     1066.750000       0.016726
     1067.000000       0.016204
     1067.250000       0.015697
     1067.500000       0.015201
     1067.750000       0.014715
     1068.000000       0.014863
     1068.250000       0.014395
     1068.500000       0.013938
     1068.750000       0.013494
     1069.000000       0.013066
     1069.250000       0.012655
     1069.500000       0.012263
     1069.750000       0.011892
     1070.000000       0.011791
     1070.250000       0.011442
     1070.500000       0.011365
     1070.750000       0.011019
     1071.000000       0.010688
     1071.250000       0.010369
     1071.500000       0.010143
     1071.750000       0.000000
     1072.000000       0.000000
