   6 , eos_02_modis_06.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
     6020.000000       0.000000
     6022.500000       0.010693
     6025.000000       0.012529
     6027.500000       0.015229
     6030.000000       0.018652
     6032.500000       0.022501
     6035.000000       0.026582
     6037.500000       0.030871
     6040.000000       0.035402
     6042.500000       0.040049
     6045.000000       0.044545
     6047.500000       0.049631
     6050.000000       0.056038
     6052.500000       0.063294
     6055.000000       0.072525
     6057.500000       0.084899
     6060.000000       0.099849
     6062.500000       0.118799
     6065.000000       0.143844
     6067.500000       0.175038
     6070.000000       0.209024
     6072.500000       0.243364
     6075.000000       0.279051
     6077.500000       0.315197
     6080.000000       0.350469
     6082.500000       0.385052
     6085.000000       0.420663
     6087.500000       0.458721
     6090.000000       0.498903
     6092.500000       0.539886
     6095.000000       0.581074
     6097.500000       0.622787
     6100.000000       0.663877
     6102.500000       0.703861
     6105.000000       0.742997
     6107.500000       0.779802
     6110.000000       0.813529
     6112.500000       0.844636
     6115.000000       0.872763
     6117.500000       0.897699
     6120.000000       0.919553
     6122.500000       0.938332
     6125.000000       0.953783
     6127.500000       0.965999
     6130.000000       0.976085
     6132.500000       0.984661
     6135.000000       0.991353
     6137.500000       0.996178
     6140.000000       0.998958
     6142.500000       0.999815
     6145.000000       0.999921
     6147.500000       1.000000
     6150.000000       0.999772
     6152.500000       0.999039
     6155.000000       0.998219
     6157.500000       0.997220
     6160.000000       0.993688
     6162.500000       0.986744
     6165.000000       0.977241
     6167.500000       0.961511
     6170.000000       0.935926
     6172.500000       0.901376
     6175.000000       0.862120
     6177.500000       0.821039
     6180.000000       0.776759
     6182.500000       0.730599
     6185.000000       0.683885
     6187.500000       0.636058
     6190.000000       0.588399
     6192.500000       0.542143
     6195.000000       0.496734
     6197.500000       0.452713
     6200.000000       0.411031
     6202.500000       0.371673
     6205.000000       0.334275
     6207.500000       0.298607
     6210.000000       0.264416
     6212.500000       0.232339
     6215.000000       0.203182
     6217.500000       0.177111
     6220.000000       0.153821
     6222.500000       0.133001
     6225.000000       0.114753
     6227.500000       0.098978
     6230.000000       0.085113
     6232.500000       0.073053
     6235.000000       0.062731
     6237.500000       0.053713
     6240.000000       0.045983
     6242.500000       0.039606
     6245.000000       0.034156
     6247.500000       0.029485
     6250.000000       0.025677
     6252.500000       0.022421
     6255.000000       0.019567
     6257.500000       0.017235
     6260.000000       0.015230
     6262.500000       0.013414
     6265.000000       0.011869
     6267.500000       0.010502
     6270.000000       0.000000
