  13 , eos_02_modis_13.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    14804.000000       0.000000
    14808.360000       0.007578
    14812.720000       0.012574
    14817.080000       0.023643
    14821.440000       0.036583
    14825.800000       0.051311
    14830.160000       0.068029
    14834.520000       0.087025
    14838.880000       0.108811
    14843.240000       0.132868
    14847.600000       0.157986
    14851.960000       0.182830
    14856.320000       0.206119
    14860.680000       0.227495
    14865.040000       0.247606
    14869.400000       0.267725
    14873.760000       0.289237
    14878.120000       0.313469
    14882.480000       0.340700
    14886.840000       0.370505
    14891.200000       0.402267
    14895.560000       0.435357
    14899.920000       0.469280
    14904.280000       0.505076
    14908.640000       0.542836
    14913.000000       0.580848
    14917.360000       0.617031
    14921.720000       0.649337
    14926.080000       0.677166
    14930.440000       0.701381
    14934.800000       0.722820
    14939.160000       0.742248
    14943.520000       0.760410
    14947.880000       0.777021
    14952.240000       0.791580
    14956.600000       0.804737
    14960.960000       0.817555
    14965.320000       0.831100
    14969.680000       0.846087
    14974.040000       0.862232
    14978.400000       0.878888
    14982.760000       0.895417
    14987.120000       0.911179
    14991.480000       0.926012
    14995.840000       0.940585
    15000.200000       0.954824
    15004.560000       0.967955
    15008.920000       0.979180
    15013.280000       0.987801
    15017.640000       0.993821
    15022.000000       0.997715
    15026.360000       0.999715
    15030.720000       1.000000
    15035.080000       0.998754
    15039.440000       0.996084
    15043.800000       0.991687
    15048.160000       0.985281
    15052.520000       0.976629
    15056.880000       0.965538
    15061.240000       0.952418
    15065.600000       0.937321
    15069.960000       0.920095
    15074.320000       0.900641
    15078.680000       0.878856
    15083.040000       0.854519
    15087.400000       0.827509
    15091.760000       0.798133
    15096.120000       0.766975
    15100.480000       0.734617
    15104.840000       0.701105
    15109.200000       0.665748
    15113.560000       0.628955
    15117.920000       0.591627
    15122.280000       0.554690
    15126.640000       0.518869
    15131.000000       0.483667
    15135.360000       0.448855
    15139.720000       0.414559
    15144.080000       0.380952
    15148.440000       0.348127
    15152.800000       0.315546
    15157.160000       0.283196
    15161.520000       0.251646
    15165.880000       0.221553
    15170.240000       0.193570
    15174.600000       0.167896
    15178.960000       0.144202
    15183.320000       0.122397
    15187.680000       0.102579
    15192.040000       0.084848
    15196.400000       0.069430
    15200.760000       0.056590
    15205.120000       0.046000
    15209.480000       0.037114
    15213.840000       0.029381
    15218.200000       0.022442
    15222.560000       0.017033
    15226.920000       0.013416
    15231.280000       0.011273
    15235.640000       0.011063
    15240.000000       0.000000
