35 , eos_02_modis_35.flt      shift of 0.80cm-1 applied
Number of data points:
141
Wavenumber (cm-1)   Filter response
      701.800000       0.000000
      702.050000       0.000000
      702.300000       0.000000
      702.550000       0.000000
      702.800000       0.010192
      703.050000       0.010920
      703.300000       0.011416
      703.550000       0.013116
      703.800000       0.014833
      704.050000       0.016612
      704.300000       0.018585
      704.550000       0.020948
      704.800000       0.023928
      705.050000       0.027606
      705.300000       0.031853
      705.550000       0.036485
      705.800000       0.041636
      706.050000       0.047694
      706.300000       0.055102
      706.550000       0.063837
      706.800000       0.073785
      707.050000       0.085272
      707.300000       0.098571
      707.550000       0.113846
      707.800000       0.132066
      708.050000       0.153689
      708.300000       0.177964
      708.550000       0.204925
      708.800000       0.235816
      709.050000       0.270677
      709.300000       0.309063
      709.550000       0.350938
      709.800000       0.395735
      710.050000       0.443006
      710.300000       0.492379
      710.550000       0.542893
      710.800000       0.593863
      711.050000       0.644688
      711.300000       0.693271
      711.550000       0.738736
      711.800000       0.781410
      712.050000       0.821091
      712.300000       0.856840
      712.550000       0.888275
      712.800000       0.914635
      713.050000       0.935868
      713.300000       0.953133
      713.550000       0.966911
      713.800000       0.976785
      714.050000       0.983220
      714.300000       0.987564
      714.550000       0.990024
      714.800000       0.990755
      715.050000       0.990238
      715.300000       0.989357
      715.550000       0.988635
      715.800000       0.988021
      716.050000       0.987054
      716.300000       0.986311
      716.550000       0.986724
      716.800000       0.987495
      717.050000       0.987351
      717.300000       0.987334
      717.550000       0.988543
      717.800000       0.990249
      718.050000       0.992016
      718.300000       0.993882
      718.550000       0.995590
      718.800000       0.996674
      719.050000       0.997030
      719.300000       0.997339
      719.550000       0.997877
      719.800000       0.997754
      720.050000       0.996374
      720.300000       0.994582
      720.550000       0.993180
      720.800000       0.992217
      721.050000       0.991747
      721.300000       0.991504
      721.550000       0.991322
      721.800000       0.991639
      722.050000       0.992544
      722.300000       0.993717
      722.550000       0.995364
      722.800000       0.997399
      723.050000       0.998931
      723.300000       0.999827
      723.550000       1.000000
      723.800000       0.998642
      724.050000       0.994178
      724.300000       0.986440
      724.550000       0.975391
      724.800000       0.960489
      725.050000       0.940685
      725.300000       0.915550
      725.550000       0.885279
      725.800000       0.850040
      726.050000       0.810626
      726.300000       0.767782
      726.550000       0.721845
      726.800000       0.673475
      727.050000       0.623537
      727.300000       0.572797
      727.550000       0.522027
      727.800000       0.472812
      728.050000       0.425782
      728.300000       0.381052
      728.550000       0.338628
      728.800000       0.299056
      729.050000       0.262714
      729.300000       0.229917
      729.550000       0.200608
      729.800000       0.174624
      730.050000       0.151916
      730.300000       0.132018
      730.550000       0.114597
      730.800000       0.099572
      731.050000       0.086848
      731.300000       0.076035
      731.550000       0.066603
      731.800000       0.058443
      732.050000       0.051444
      732.300000       0.045485
      732.550000       0.040289
      732.800000       0.035672
      733.050000       0.031639
      733.300000       0.028271
      733.550000       0.025360
      733.800000       0.022811
      734.050000       0.020614
      734.300000       0.018523
      734.550000       0.016489
      734.800000       0.014830
      735.050000       0.013593
      735.300000       0.012430
      735.550000       0.011221
      735.800000       0.010676
      736.050000       0.010413
      736.300000       0.000000
      736.550000       0.000000
      736.800000       0.000000
