   9 , eos_02_modis_09.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    22162.000000       0.000000
    22171.290000       0.010983
    22180.580000       0.014181
    22189.870000       0.017668
    22199.160000       0.021757
    22208.450000       0.026816
    22217.740000       0.033142
    22227.030000       0.040013
    22236.320000       0.047038
    22245.610000       0.055266
    22254.900000       0.065917
    22264.190000       0.080210
    22273.480000       0.098585
    22282.770000       0.120281
    22292.060000       0.145474
    22301.350000       0.174638
    22310.640000       0.208246
    22319.930000       0.246980
    22329.220000       0.291903
    22338.510000       0.342115
    22347.800000       0.395232
    22357.090000       0.448819
    22366.380000       0.500555
    22375.670000       0.551260
    22384.960000       0.602556
    22394.250000       0.653274
    22403.540000       0.701793
    22412.830000       0.746494
    22422.120000       0.786615
    22431.410000       0.823325
    22440.700000       0.856778
    22449.990000       0.886719
    22459.280000       0.912893
    22468.570000       0.934990
    22477.860000       0.952433
    22487.150000       0.965480
    22496.440000       0.975172
    22505.730000       0.982611
    22515.020000       0.988887
    22524.310000       0.993926
    22533.600000       0.996836
    22542.890000       0.998057
    22552.180000       0.998327
    22561.470000       0.998385
    22570.760000       0.998833
    22580.050000       0.999270
    22589.340000       0.999384
    22598.630000       0.999239
    22607.920000       0.998923
    22617.210000       0.998523
    22626.500000       0.998474
    22635.790000       0.999200
    22645.080000       1.000000
    22654.370000       0.999869
    22663.660000       0.997801
    22672.950000       0.993063
    22682.240000       0.986611
    22691.530000       0.978791
    22700.820000       0.968878
    22710.110000       0.956076
    22719.400000       0.939587
    22728.690000       0.918396
    22737.980000       0.891821
    22747.270000       0.861110
    22756.560000       0.828274
    22765.850000       0.795328
    22775.140000       0.764074
    22784.430000       0.734218
    22793.720000       0.704940
    22803.010000       0.676129
    22812.300000       0.647775
    22821.590000       0.619869
    22830.880000       0.592480
    22840.170000       0.565801
    22849.460000       0.539627
    22858.750000       0.513197
    22868.040000       0.485737
    22877.330000       0.456471
    22886.620000       0.424679
    22895.910000       0.390357
    22905.200000       0.354621
    22914.490000       0.318835
    22923.780000       0.284366
    22933.070000       0.252362
    22942.360000       0.222147
    22951.650000       0.193093
    22960.940000       0.165647
    22970.230000       0.140370
    22979.520000       0.117823
    22988.810000       0.098367
    22998.100000       0.081802
    23007.390000       0.067724
    23016.680000       0.055665
    23025.970000       0.045155
    23035.260000       0.035733
    23044.550000       0.027522
    23053.840000       0.021111
    23063.130000       0.016401
    23072.420000       0.013077
    23081.710000       0.010824
    23091.000000       0.000000
