  10 , eos_02_modis_10.flt
Number of data points:
101
Wavenumber (cm-1)   Filter response
    20164.000000       0.000000
    20171.550000       0.011930
    20179.100000       0.015650
    20186.650000       0.021776
    20194.200000       0.029364
    20201.750000       0.039037
    20209.300000       0.053427
    20216.850000       0.072974
    20224.400000       0.096765
    20231.950000       0.126014
    20239.500000       0.162030
    20247.050000       0.204762
    20254.600000       0.251920
    20262.150000       0.301460
    20269.700000       0.354767
    20277.250000       0.410355
    20284.800000       0.465377
    20292.350000       0.519946
    20299.900000       0.574312
    20307.450000       0.626114
    20315.000000       0.674501
    20322.550000       0.720456
    20330.100000       0.763169
    20337.650000       0.801853
    20345.200000       0.836557
    20352.750000       0.867419
    20360.300000       0.894491
    20367.850000       0.917529
    20375.400000       0.936926
    20382.950000       0.953379
    20390.500000       0.966897
    20398.050000       0.977431
    20405.600000       0.985649
    20413.150000       0.991859
    20420.700000       0.995855
    20428.250000       0.998291
    20435.800000       0.999812
    20443.350000       1.000000
    20450.900000       0.999104
    20458.450000       0.997869
    20466.000000       0.996320
    20473.550000       0.994302
    20481.100000       0.992469
    20488.650000       0.991381
    20496.200000       0.990919
    20503.750000       0.990664
    20511.300000       0.990256
    20518.850000       0.989795
    20526.400000       0.989265
    20533.950000       0.988549
    20541.500000       0.987664
    20549.050000       0.986623
    20556.600000       0.985346
    20564.150000       0.983796
    20571.700000       0.982019
    20579.250000       0.979887
    20586.800000       0.977288
    20594.350000       0.974434
    20601.900000       0.971108
    20609.450000       0.966915
    20617.000000       0.962055
    20624.550000       0.956590
    20632.100000       0.949466
    20639.650000       0.939912
    20647.200000       0.928620
    20654.750000       0.914464
    20662.300000       0.895857
    20669.850000       0.872675
    20677.400000       0.845364
    20684.950000       0.813872
    20692.500000       0.777788
    20700.050000       0.737344
    20707.600000       0.694371
    20715.150000       0.650449
    20722.700000       0.604289
    20730.250000       0.556899
    20737.800000       0.510548
    20745.350000       0.465545
    20752.900000       0.421204
    20760.450000       0.378501
    20768.000000       0.338220
    20775.550000       0.299989
    20783.100000       0.264158
    20790.650000       0.231314
    20798.200000       0.201474
    20805.750000       0.174265
    20813.300000       0.149471
    20820.850000       0.127037
    20828.400000       0.107285
    20835.950000       0.089944
    20843.500000       0.074671
    20851.050000       0.061509
    20858.600000       0.050305
    20866.150000       0.040697
    20873.700000       0.032597
    20881.250000       0.026247
    20888.800000       0.021143
    20896.350000       0.016745
    20903.900000       0.013388
    20911.450000       0.011178
    20919.000000       0.000000
