 1    ,ATSR-2  Flight Model FPA 12um
Number of data points:
255
Wavenumber (cm-1)   Filter response
      748.533600       0.000010
      749.059200       0.001000
      749.585600       0.001000
      750.112800       0.002010
      750.640600       0.003000
      751.169200       0.000980
      751.698600       0.001010
      752.228600       0.003020
      752.759500       0.004000
      753.291000       0.001970
      753.823400       0.001010
      754.356500       0.003010
      754.890300       0.004000
      755.424900       0.004010
      755.960200       0.005000
      756.496400       0.004000
      757.033300       0.005000
      757.570900       0.005010
      758.109300       0.006010
      758.648500       0.006000
      759.188400       0.006000
      759.729100       0.007010
      760.270600       0.007000
      760.812800       0.008010
      761.355900       0.009000
      761.899700       0.009020
      762.444300       0.011010
      762.989600       0.010000
      763.535700       0.011010
      764.082700       0.013010
      764.630300       0.013010
      765.178900       0.015000
      765.728200       0.014000
      766.278200       0.016040
      766.829100       0.018000
      767.380700       0.017000
      767.933100       0.019010
      768.486400       0.020030
      769.040400       0.023010
      769.595300       0.021990
      770.150900       0.023010
      770.707300       0.027029
      771.264600       0.028019
      771.822600       0.031009
      772.381500       0.030999
      772.941200       0.033029
      773.501600       0.034999
      774.062900       0.035019
      774.625000       0.041019
      775.188000       0.046049
      775.751700       0.050029
      776.316300       0.052009
      776.881700       0.052999
      777.447900       0.054029
      778.014900       0.058019
      778.582800       0.061039
      779.151500       0.070019
      779.721000       0.074069
      780.291400       0.083038
      780.862600       0.081988
      781.434600       0.083018
      782.007500       0.091048
      782.581200       0.093048
      783.155800       0.102018
      783.731100       0.101008
      784.307400       0.113178
      784.884500       0.128057
      785.462400       0.132027
      786.041200       0.140007
      786.620800       0.140027
      787.201400       0.148067
      787.782700       0.161097
      788.364900       0.179996
      788.948000       0.170997
      789.532000       0.187136
      790.116800       0.203086
      790.702500       0.222016
      791.289000       0.222026
      791.876400       0.235135
      792.464700       0.258125
      793.053900       0.282004
      793.643900       0.278004
      794.234900       0.293154
      794.826600       0.319124
      795.419300       0.344013
      796.012900       0.339923
      796.607300       0.346173
      797.202700       0.383132
      797.798900       0.406022
      798.396100       0.426191
      798.994000       0.446101
      799.593000       0.467131
      800.192800       0.513050
      800.793500       0.543069
      801.395100       0.544079
      801.997700       0.576118
      802.601100       0.597998
      803.205400       0.610228
      803.810600       0.640037
      804.416800       0.641107
      805.023900       0.702026
      805.631900       0.716026
      806.240800       0.726025
      806.850700       0.724966
      807.461400       0.723996
      808.073100       0.745105
      808.685700       0.752085
      809.299200       0.790174
      809.913700       0.848013
      810.529100       0.862803
      811.145500       0.823794
      811.762700       0.818044
      812.380900       0.850003
      813.000100       0.867853
      813.620200       0.834873
      814.241300       0.848083
      814.863300       0.878992
      815.486200       0.884882
      816.110100       0.870993
      816.735000       0.893062
      817.360800       0.910982
      817.987600       0.900932
      818.615300       0.892832
      819.244000       0.859973
      819.873700       0.892982
      820.504300       0.924971
      821.136000       0.910002
      821.768500       0.929981
      822.402100       0.906982
      823.036700       0.905962
      823.672100       0.901032
      824.308700       0.930061
      824.946100       0.943991
      825.584600       0.910802
      826.224100       0.908012
      826.864500       0.916022
      827.506000       0.938971
      828.148400       0.941981
      828.791800       0.942961
      829.436300       0.936991
      830.081700       0.945981
      830.728200       0.943061
      831.375700       0.967071
      832.024100       0.965941
      832.673600       0.937001
      833.324000       0.934261
      833.975600       0.976950
      834.628100       0.931951
      835.281600       0.966941
      835.936200       0.982960
      836.591900       0.981020
      837.248400       1.000000
      837.906100       0.998990
      838.564800       0.991920
      839.224500       0.987010
      839.885300       0.996970
      840.547100       0.976990
      841.210000       0.983020
      841.873900       0.977940
      842.538800       0.968971
      843.204900       0.965971
      843.871900       0.972991
      844.540000       0.975031
      845.209200       0.991980
      845.879400       0.966051
      846.550700       0.929861
      847.223100       0.931031
      847.896500       0.935971
      848.571100       0.913982
      849.246600       0.927901
      849.923300       0.888892
      850.601000       0.885972
      851.279800       0.870983
      851.959700       0.888002
      852.640700       0.861833
      853.322800       0.814964
      854.006000       0.791004
      854.690200       0.776764
      855.375600       0.738995
      856.062100       0.770985
      856.749600       0.724116
      857.438300       0.685806
      858.128000       0.652897
      858.818900       0.626977
      859.511000       0.600038
      860.204000       0.579778
      860.898300       0.530889
      861.593600       0.513990
      862.290100       0.486060
      862.987700       0.464851
      863.686400       0.429901
      864.386300       0.398992
      865.087400       0.368053
      865.789500       0.352913
      866.492800       0.329913
      867.197200       0.298004
      867.902800       0.286034
      868.609500       0.264865
      869.317300       0.240955
      870.026400       0.226005
      870.736600       0.200076
      871.447900       0.177916
      872.160500       0.163967
      872.874100       0.150007
      873.589000       0.137037
      874.305000       0.123928
      875.022200       0.109978
      875.740600       0.100008
      876.460100       0.088028
      877.180800       0.081968
      877.902800       0.072989
      878.625800       0.066009
      879.350200       0.058029
      880.075700       0.051969
      880.802300       0.043989
      881.530300       0.038999
      882.259300       0.035019
      882.989700       0.029979
      883.721200       0.025999
      884.453900       0.023000
      885.187900       0.020010
      885.923000       0.016990
      886.659400       0.015000
      887.397000       0.013000
      888.135800       0.011010
      888.875900       0.008990
      889.617300       0.008000
      890.359800       0.007000
      891.103600       0.006000
      891.848600       0.006000
      892.594900       0.005000
      893.342400       0.004000
      894.091100       0.004000
      894.841200       0.003000
      895.592500       0.002000
      896.345000       0.002000
      897.098900       0.002000
      897.853900       0.001000
      898.610300       0.001000
      899.368000       0.001000
      900.126900       0.001000
      900.887100       0.001000
      901.648500       0.000000
      902.411300       0.000000
      903.175400       0.000000
      903.940700       0.000000
      904.707400       0.000000
      905.475400       0.000000
      906.244600       0.000000
      907.015200       0.000000
      907.787100       0.000000
      908.560300       0.000000
      909.334900       0.000000
      910.110600       0.000000
      910.887800       0.000000
