1 , FY2-D  original file FY205_VIS_RF.txt  truncated at 25000cm-1
Number of data points:
121
Wavenumber (cm-1)   Filter response
    10000.000000       0.005000
    10050.251300       0.005000
    10101.010100       0.005000
    10152.284300       0.005500
    10204.081600       0.006000
    10256.410300       0.006500
    10309.278400       0.007000
    10362.694300       0.007800
    10416.666700       0.008800
    10471.204200       0.011900
    10526.315800       0.015000
    10582.010600       0.021900
    10638.297900       0.028700
    10695.187200       0.049300
    10752.688200       0.069700
    10810.810800       0.128900
    10869.565200       0.189500
    10928.961700       0.352800
    10989.011000       0.507700
    11049.723800       0.703100
    11111.111100       0.899200
    11173.184400       0.934300
    11235.955100       1.000000
    11299.435000       0.988000
    11363.636400       0.953200
    11428.571400       0.961000
    11494.252900       0.971500
    11560.693600       0.953400
    11627.907000       0.945700
    11695.906400       0.960600
    11764.705900       0.958000
    11834.319500       0.959300
    11904.761900       0.948100
    11976.047900       0.952600
    12048.192800       0.965900
    12121.212100       0.948300
    12195.122000       0.925900
    12269.938700       0.924000
    12345.679000       0.924300
    12422.360200       0.910600
    12500.000000       0.907800
    12578.616400       0.902200
    12658.227800       0.900900
    12738.853500       0.883600
    12820.512800       0.875300
    12903.225800       0.876300
    12987.013000       0.879300
    13071.895400       0.864000
    13157.894700       0.849900
    13245.033100       0.844200
    13333.333300       0.837700
    13422.818800       0.831800
    13513.513500       0.824300
    13605.442200       0.805500
    13698.630100       0.784300
    13793.103400       0.775900
    13888.888900       0.771400
    13986.014000       0.767400
    14084.507000       0.764500
    14184.397200       0.761300
    14285.714300       0.761600
    14388.489200       0.749000
    14492.753600       0.736100
    14598.540100       0.726400
    14705.882400       0.716900
    14814.814800       0.700100
    14925.373100       0.681500
    15037.594000       0.687500
    15151.515200       0.694300
    15267.175600       0.682400
    15384.615400       0.670400
    15503.876000       0.665400
    15625.000000       0.658800
    15748.031500       0.641800
    15873.015900       0.627300
    16000.000000       0.619900
    16129.032300       0.612900
    16260.162600       0.604700
    16393.442600       0.598300
    16528.925600       0.586800
    16666.666700       0.574800
    16806.722700       0.564400
    16949.152500       0.554200
    17094.017100       0.538100
    17241.379300       0.520900
    17391.304300       0.516100
    17543.859600       0.511200
    17699.115000       0.480600
    17857.142900       0.448900
    18018.018000       0.439300
    18181.818200       0.431400
    18348.623900       0.431600
    18518.518500       0.430800
    18691.588800       0.413200
    18867.924500       0.396900
    19047.619000       0.388100
    19230.769200       0.377900
    19417.475700       0.361400
    19607.843100       0.345300
    19801.980200       0.333200
    20000.000000       0.322100
    20202.020200       0.301800
    20408.163300       0.280900
    20618.556700       0.264800
    20833.333300       0.247100
    21052.631600       0.233800
    21276.595700       0.222200
    21505.376300       0.197700
    21739.130400       0.172800
    21978.022000       0.161300
    22222.222200       0.150900
    22471.910100       0.139800
    22727.272700       0.128200
    22988.505700       0.122300
    23255.814000       0.115700
    23529.411800       0.107400
    23809.523800       0.099100
    24096.385500       0.092400
    24390.243900       0.084500
    24691.358000       0.073000
    25000.000000       0.060900
