2, FY2E VISSR Infrared channel (6.5 microns)
Number of data points:
226
Wavenumber (cm-1)   Filter response
     1248.439500       0.009500
     1250.000000       0.010000
     1251.564500       0.011700
     1253.132800       0.013500
     1254.705100       0.014500
     1256.281400       0.015000
     1257.861600       0.015300
     1259.445800       0.014700
     1261.034000       0.014000
     1262.626300       0.015700
     1264.222500       0.018200
     1265.822800       0.021400
     1267.427100       0.026100
     1269.035500       0.030700
     1270.648000       0.032000
     1272.264600       0.033000
     1273.885400       0.033700
     1275.510200       0.034200
     1277.139200       0.035900
     1278.772400       0.043700
     1280.409700       0.051600
     1282.051300       0.060100
     1283.697000       0.068900
     1285.347000       0.073800
     1287.001300       0.073800
     1288.659800       0.074400
     1290.322600       0.078900
     1291.989700       0.083400
     1293.661100       0.099700
     1295.336800       0.118800
     1297.016900       0.134400
     1298.701300       0.146600
     1300.390100       0.156500
     1302.083300       0.157500
     1303.781000       0.158500
     1305.483000       0.178300
     1307.189500       0.199400
     1308.900500       0.230900
     1310.616000       0.267100
     1312.336000       0.293700
     1314.060400       0.307500
     1315.789500       0.321500
     1317.523100       0.336700
     1319.261200       0.351900
     1321.004000       0.398100
     1322.751300       0.445600
     1324.503300       0.483300
     1326.259900       0.518100
     1328.021200       0.539600
     1329.787200       0.550800
     1331.557900       0.571900
     1333.333300       0.608800
     1335.113500       0.646800
     1336.898400       0.687400
     1338.688100       0.726300
     1340.482600       0.729400
     1342.281900       0.731600
     1344.086000       0.737300
     1345.895000       0.743600
     1347.708900       0.755800
     1349.527700       0.769500
     1351.351400       0.768500
     1353.180000       0.759500
     1355.013600       0.754500
     1356.852100       0.752700
     1358.695700       0.757300
     1360.544200       0.769800
     1362.397800       0.771700
     1364.256500       0.753800
     1366.120200       0.735600
     1367.989100       0.718000
     1369.863000       0.708200
     1371.742100       0.725000
     1373.626400       0.739300
     1375.515800       0.741500
     1377.410500       0.739900
     1379.310300       0.715100
     1381.215500       0.693300
     1383.125900       0.694900
     1385.041600       0.698000
     1386.962600       0.718700
     1388.888900       0.737300
     1390.820600       0.733400
     1392.757700       0.729600
     1394.700100       0.723900
     1396.648000       0.720600
     1398.601400       0.740900
     1400.560200       0.759400
     1402.524500       0.766000
     1404.494400       0.768300
     1406.469800       0.748000
     1408.450700       0.732200
     1410.437200       0.733100
     1412.429400       0.741700
     1414.427200       0.771200
     1416.430600       0.791300
     1418.439700       0.792900
     1420.454500       0.785600
     1422.475100       0.766400
     1424.501400       0.762400
     1426.533500       0.773000
     1428.571400       0.787600
     1430.615200       0.804700
     1432.664800       0.809000
     1434.720200       0.808500
     1436.781600       0.806800
     1438.848900       0.803500
     1440.922200       0.812100
     1443.001400       0.821300
     1445.086700       0.822500
     1447.178000       0.821900
     1449.275400       0.816500
     1451.378800       0.821000
     1453.488400       0.840700
     1455.604100       0.860600
     1457.725900       0.879000
     1459.854000       0.869800
     1461.988300       0.853500
     1464.128800       0.853000
     1466.275700       0.855300
     1468.428800       0.869400
     1470.588200       0.879800
     1472.754100       0.884100
     1474.926300       0.882600
     1477.104900       0.875500
     1479.289900       0.878700
     1481.481500       0.885100
     1483.679500       0.897900
     1485.884100       0.905400
     1488.095200       0.898600
     1490.313000       0.891600
     1492.537300       0.885700
     1494.768300       0.891200
     1497.006000       0.895700
     1499.250400       0.880000
     1501.501500       0.869700
     1503.759400       0.866300
     1506.024100       0.875800
     1508.295600       0.891100
     1510.574000       0.879900
     1512.859300       0.873600
     1515.151500       0.878700
     1517.450700       0.909400
     1519.756800       0.955400
     1522.070000       0.977500
     1524.390200       0.987200
     1526.717600       0.968500
     1529.052000       0.955600
     1531.393600       0.945900
     1533.742300       0.961100
     1536.098300       0.977900
     1538.461500       0.998300
     1540.832000       1.000000
     1543.209900       0.991700
     1545.595100       0.972000
     1547.987600       0.950800
     1550.387600       0.926300
     1552.795000       0.914300
     1555.210000       0.913100
     1557.632400       0.933400
     1560.062400       0.910500
     1562.500000       0.865400
     1564.945200       0.798100
     1567.398100       0.749000
     1569.858700       0.718200
     1572.327000       0.692200
     1574.803100       0.653400
     1577.287100       0.588600
     1579.778800       0.531500
     1582.278500       0.487600
     1584.786100       0.475800
     1587.301600       0.453200
     1589.825100       0.421400
     1592.356700       0.365300
     1594.896300       0.320200
     1597.444100       0.284200
     1600.000000       0.268100
     1602.564100       0.243700
     1605.136400       0.213700
     1607.717000       0.177000
     1610.306000       0.158800
     1612.903200       0.152500
     1615.508900       0.155800
     1618.123000       0.147700
     1620.745500       0.133500
     1623.376600       0.116300
     1626.016300       0.108100
     1628.664500       0.104200
     1631.321400       0.103300
     1633.986900       0.095100
     1636.661200       0.084300
     1639.344300       0.072300
     1642.036100       0.067500
     1644.736800       0.063900
     1647.446500       0.060500
     1650.165000       0.054000
     1652.892600       0.048400
     1655.629100       0.044100
     1658.374800       0.042000
     1661.129600       0.038800
     1663.893500       0.035100
     1666.666700       0.031400
     1669.449100       0.030500
     1672.240800       0.029900
     1675.041900       0.028900
     1677.852300       0.026500
     1680.672300       0.024900
     1683.501700       0.023500
     1686.340600       0.021900
     1689.189200       0.018900
     1692.047400       0.015000
     1694.915300       0.011500
     1697.792900       0.009300
     1700.680300       0.011200
     1703.577500       0.012400
     1706.484600       0.012100
     1709.401700       0.010400
     1712.328800       0.009600
     1715.265900       0.009900
     1718.213100       0.009300
     1721.170400       0.007700
     1724.137900       0.006300
     1727.115700       0.006600
     1730.103800       0.007200
     1733.102300       0.007400
     1736.111100       0.006800
