3, FY2G VISSR Infrared channel (10.5 microns)
Number of data points:
201
Wavenumber (cm-1)   Filter response
      847.457600       0.004000
      848.176400       0.004000
      848.896400       0.004100
      849.617700       0.004200
      850.340100       0.004400
      851.063800       0.004600
      851.788800       0.004700
      852.514900       0.004900
      853.242300       0.004800
      853.971000       0.004600
      854.700900       0.004500
      855.432000       0.004400
      856.164400       0.004300
      856.898000       0.004300
      857.632900       0.004400
      858.369100       0.004400
      859.106500       0.004500
      859.845200       0.004600
      860.585200       0.004700
      861.326400       0.004900
      862.069000       0.005100
      862.812800       0.005300
      863.557900       0.005500
      864.304200       0.006100
      865.051900       0.007100
      865.800900       0.008100
      866.551100       0.009100
      867.302700       0.010100
      868.055600       0.011100
      868.809700       0.011900
      869.565200       0.012700
      870.322000       0.013400
      871.080100       0.014200
      871.839600       0.015500
      872.600300       0.018400
      873.362400       0.021400
      874.125900       0.024300
      874.890600       0.027300
      875.656700       0.031500
      876.424200       0.042400
      877.193000       0.053200
      877.963100       0.064100
      878.734600       0.075000
      879.507500       0.087700
      880.281700       0.111000
      881.057300       0.134300
      881.834200       0.157600
      882.612500       0.180900
      883.392200       0.208600
      884.173300       0.255700
      884.955800       0.303100
      885.739600       0.350600
      886.524800       0.398100
      887.311400       0.450500
      888.099500       0.517000
      888.888900       0.583600
      889.679700       0.650200
      890.472000       0.716600
      891.265600       0.769100
      892.060700       0.798500
      892.857100       0.827900
      893.655000       0.857300
      894.454400       0.886700
      895.255100       0.903400
      896.057300       0.909200
      896.861000       0.914900
      897.666100       0.920500
      898.472600       0.926200
      899.280600       0.923700
      900.090000       0.918600
      900.900900       0.913800
      901.713300       0.908900
      902.527100       0.903900
      903.342400       0.904000
      904.159100       0.904000
      904.977400       0.904000
      905.797100       0.904100
      906.618300       0.907300
      907.441000       0.919400
      908.265200       0.931400
      909.090900       0.943400
      909.918100       0.955400
      910.746800       0.958200
      911.577000       0.955000
      912.408800       0.951900
      913.242000       0.948700
      914.076800       0.945500
      914.913100       0.947200
      915.750900       0.949000
      916.590300       0.950500
      917.431200       0.951900
      918.273600       0.953700
      919.117600       0.956400
      919.963200       0.959300
      920.810300       0.962400
      921.659000       0.965700
      922.509200       0.962500
      923.361000       0.957700
      924.214400       0.952900
      925.069400       0.948200
      925.925900       0.946500
      926.784100       0.951900
      927.643800       0.957100
      928.505100       0.962200
      929.368000       0.967200
      930.232600       0.974000
      931.098700       0.981300
      931.966400       0.988600
      932.835800       0.996000
      933.706800       1.000000
      934.579400       0.998000
      935.453700       0.995900
      936.329600       0.993800
      937.207100       0.991600
      938.086300       0.990300
      938.967100       0.989000
      939.849600       0.987600
      940.733800       0.986400
      941.619600       0.983100
      942.507100       0.978400
      943.396200       0.973700
      944.287100       0.969100
      945.179600       0.963900
      946.073800       0.956700
      946.969700       0.949500
      947.867300       0.942500
      948.766600       0.935500
      949.667600       0.931800
      950.570300       0.928200
      951.474800       0.924500
      952.381000       0.921000
      953.288800       0.916200
      954.198500       0.910800
      955.109800       0.905500
      956.022900       0.900000
      956.937800       0.890700
      957.854400       0.876500
      958.772800       0.862400
      959.692900       0.848600
      960.614800       0.831700
      961.538500       0.804700
      962.463900       0.777600
      963.391100       0.750500
      964.320200       0.722200
      965.251000       0.677400
      966.183600       0.632700
      967.118000       0.587900
      968.054200       0.543100
      968.992200       0.494700
      969.932100       0.446200
      970.873800       0.397600
      971.817300       0.349100
      972.762600       0.310200
      973.709800       0.273100
      974.658900       0.236200
      975.609800       0.199200
      976.562500       0.173600
      977.517100       0.151100
      978.473600       0.128600
      979.431900       0.106000
      980.392200       0.091200
      981.354300       0.079000
      982.318300       0.066800
      983.284200       0.054700
      984.252000       0.047000
      985.221700       0.040900
      986.193300       0.034800
      987.166800       0.028700
      988.142300       0.024900
      989.119700       0.021700
      990.099000       0.018600
      991.080300       0.015400
      992.063500       0.013700
      993.048700       0.012200
      994.035800       0.010700
      995.024900       0.009300
      996.015900       0.008200
      997.009000       0.007300
      998.004000       0.006300
      999.001000       0.005300
     1000.000000       0.004900
     1001.001000       0.004500
     1002.004000       0.004000
     1003.009000       0.003700
     1004.016100       0.003500
     1005.025100       0.003300
     1006.036200       0.003100
     1007.049300       0.002900
     1008.064500       0.002700
     1009.081700       0.002600
     1010.101000       0.002400
     1011.122300       0.002200
     1012.145700       0.001800
     1013.171200       0.001500
     1014.198800       0.001200
     1015.228400       0.001100
     1016.260200       0.000900
     1017.294000       0.000800
     1018.329900       0.000700
     1019.368000       0.000500
     1020.408200       0.000200
