2, FY2H VISSR Infrared channel (4.0 microns) original file name: FY2H_SRF_IR3_3p5-4p0.txt
Number of data points:
101
Wavenumber (cm-1)   Filter response
     2352.941200       0.003600
     2358.490600       0.005500
     2364.066200       0.008400
     2369.668200       0.006200
     2375.296900       0.004000
     2380.952400       0.004200
     2386.634800       0.004900
     2392.344500       0.005300
     2398.081500       0.005700
     2403.846200       0.006800
     2409.638600       0.006800
     2415.458900       0.006400
     2421.307500       0.008400
     2427.184500       0.011100
     2433.090000       0.013100
     2439.024400       0.013700
     2444.987800       0.015800
     2450.980400       0.021700
     2457.002500       0.027600
     2463.054200       0.032100
     2469.135800       0.039200
     2475.247500       0.051400
     2481.389600       0.064300
     2487.562200       0.080400
     2493.765600       0.110000
     2500.000000       0.147900
     2506.265700       0.185400
     2512.562800       0.253000
     2518.891700       0.356400
     2525.252500       0.451500
     2531.645600       0.563000
     2538.071100       0.721700
     2544.529300       0.836400
     2551.020400       0.903500
     2557.544800       0.965700
     2564.102600       0.996700
     2570.694100       1.000000
     2577.319600       0.987900
     2583.979300       0.975700
     2590.673600       0.980400
     2597.402600       0.966600
     2604.166700       0.956100
     2610.966100       0.975000
     2617.801000       0.969400
     2624.671900       0.965500
     2631.578900       0.978700
     2638.522400       0.978600
     2645.502600       0.976600
     2652.519900       0.977900
     2659.574500       0.972100
     2666.666700       0.972400
     2673.796800       0.962200
     2680.965100       0.951900
     2688.172000       0.959900
     2695.417800       0.939300
     2702.702700       0.930600
     2710.027100       0.936100
     2717.391300       0.915300
     2724.795600       0.916700
     2732.240400       0.920100
     2739.726000       0.902600
     2747.252700       0.909900
     2754.820900       0.905400
     2762.430900       0.891200
     2770.083100       0.892800
     2777.777800       0.879200
     2785.515300       0.869800
     2793.296100       0.856800
     2801.120400       0.842800
     2808.988800       0.838500
     2816.901400       0.825700
     2824.858800       0.810200
     2832.861200       0.786400
     2840.909100       0.759900
     2849.002800       0.709000
     2857.142900       0.697200
     2865.329500       0.651300
     2873.563200       0.575700
     2881.844400       0.520400
     2890.173400       0.415100
     2898.550700       0.340900
     2906.976700       0.261400
     2915.451900       0.189600
     2923.976600       0.154800
     2932.551300       0.113700
     2941.176500       0.087600
     2949.852500       0.068500
     2958.579900       0.050300
     2967.359100       0.041300
     2976.190500       0.031900
     2985.074600       0.026500
     2994.012000       0.021700
     3003.003000       0.015600
     3012.048200       0.014500
     3021.148000       0.010600
     3030.303000       0.008200
     3039.513700       0.007000
     3048.780500       0.006300
     3058.104000       0.004300
     3067.484700       0.003300
     3076.923100       0.003300
