10, GF-5 TIR channel 8.7um
Number of data points:
85
Wavenumber (cm-1)   Filter response
     1098.901099       0.100500
     1100.110011       0.103400
     1101.321586       0.106300
     1102.535832       0.121700
     1103.752759       0.137100
     1104.972376       0.152500
     1106.194690       0.167900
     1107.419712       0.196400
     1108.647450       0.224900
     1109.877913       0.253300
     1111.111111       0.281800
     1112.347052       0.307000
     1113.585746       0.332200
     1114.827202       0.357400
     1116.071429       0.382600
     1117.318436       0.427300
     1118.568233       0.472000
     1119.820829       0.516700
     1121.076233       0.561400
     1122.334456       0.600600
     1123.595506       0.639800
     1124.859393       0.679000
     1126.126126       0.718200
     1127.395716       0.757400
     1128.668172       0.796600
     1129.943503       0.835800
     1131.221719       0.875000
     1132.502831       0.920400
     1133.786848       0.965700
     1135.073780       0.971400
     1136.363636       0.977100
     1137.656428       0.982900
     1138.952164       0.988600
     1140.250855       0.994300
     1141.552511       1.000000
     1142.857143       0.986700
     1144.164760       0.973400
     1145.475372       0.960100
     1146.788991       0.946700
     1148.105626       0.926900
     1149.425287       0.907200
     1150.747986       0.887500
     1152.073733       0.867800
     1153.402537       0.848000
     1154.734411       0.828300
     1156.069364       0.802600
     1157.407407       0.776800
     1158.748552       0.751100
     1160.092807       0.725300
     1161.440186       0.679800
     1162.790698       0.634300
     1164.144354       0.588800
     1165.501166       0.543300
     1166.861144       0.497800
     1168.224299       0.452300
     1169.590643       0.406100
     1170.960187       0.359900
     1172.332943       0.316200
     1173.708920       0.272500
     1175.088132       0.254400
     1176.470588       0.236200
     1177.856302       0.209000
     1179.245283       0.181700
     1180.637544       0.157000
     1182.033097       0.132300
     1183.431953       0.126500
     1184.834123       0.120700
     1186.239620       0.114900
     1187.648456       0.109000
     1189.060642       0.090800
     1190.476190       0.072600
     1191.895113       0.073700
     1193.317422       0.074900
     1194.743130       0.076100
     1196.172249       0.077200
     1197.604790       0.070800
     1199.040767       0.064500
     1200.480192       0.053400
     1201.923077       0.042300
     1203.369434       0.038800
     1204.819277       0.035400
     1206.272618       0.048000
     1207.729469       0.060700
     1209.189843       0.052100
     1210.653753       0.043500
