1, GMS 2 VISSR Infrared channel,
Number of data points:
62
Wavenumber (cm-1)   Filter response
      714.285700       0.000000
      719.424500       0.010000
      724.637700       0.011000
      729.927000       0.011000
      735.294100       0.011000
      740.740700       0.011000
      746.268700       0.011000
      751.879700       0.009000
      757.575800       0.070000
      763.358800       0.009000
      769.230800       0.010000
      775.193800       0.009000
      781.250000       0.009000
      787.401600       0.014000
      793.650800       0.043000
      800.000000       0.058000
      806.451600       0.067000
      813.008100       0.080000
      819.672100       0.088000
      826.446300       0.097000
      833.333300       0.116000
      840.336100       0.155000
      847.457600       0.193000
      854.700900       0.241000
      862.069000       0.289000
      869.565200       0.341000
      877.193000       0.430000
      884.955800       0.529000
      892.857100       0.664000
      900.900900       0.835000
      909.090900       0.954000
      917.431200       0.966000
      925.925900       0.962000
      934.579400       1.000000
      943.396200       0.982000
      952.381000       0.937000
      961.538500       0.881000
      970.873800       0.691000
      980.392200       0.262000
      990.099000       0.046000
     1000.000000       0.008000
     1010.101000       0.005000
     1020.408200       0.002000
     1030.927800       0.002000
     1041.666700       0.002000
     1052.631600       0.001000
     1063.829800       0.001000
     1075.268800       0.001000
     1086.956500       0.001000
     1098.901100       0.001000
     1111.111100       0.001000
     1123.595500       0.001000
     1136.363600       0.001000
     1149.425300       0.001000
     1162.790700       0.001000
     1176.470600       0.001000
     1190.476200       0.001000
     1204.819300       0.001000
     1219.512200       0.001000
     1234.567900       0.001000
     1250.000000       0.001000
     1265.822800       0.000000
