2, GMS 4 VISSR Visible channel
Number of data points:
46
Wavenumber (cm-1)   Filter response
    10000.000000       0.000000
    10204.081600       0.002000
    10416.666700       0.001000
    10638.297900       0.003000
    10869.565200       0.000000
    11111.111100       0.006000
    11363.636400       0.003000
    11627.907000       0.004000
    11904.761900       0.016000
    12195.122000       0.029000
    12500.000000       0.102000
    12658.227800       0.139000
    12820.512800       0.182000
    12987.013000       0.236000
    13157.894700       0.297000
    13333.333300       0.374000
    13513.513500       0.432000
    13698.630100       0.498000
    13888.888900       0.560000
    14084.507000       0.637000
    14285.714300       0.670000
    14492.753600       0.738000
    14705.882400       0.797000
    14925.373100       0.831000
    15151.515200       0.882000
    15384.615400       0.908000
    15625.000000       0.946000
    15873.015900       0.974000
    16129.032300       0.985000
    16393.442600       0.997000
    16666.666700       0.995000
    16949.152500       1.000000
    17241.379300       0.944000
    17543.859600       0.978000
    17857.142900       0.946000
    18181.818200       0.924000
    18518.518500       0.924000
    18867.924500       0.915000
    19230.769200       0.889000
    19607.843100       0.824000
    20000.000000       0.603000
    20408.163300       0.446000
    20833.333300       0.341000
    21276.595700       0.099000
    21739.130400       0.005000
    22222.222200       0.000000
