02 , goes_10_imager_03.flt
Number of data points:
1635
Wavenumber (cm-1)   Filter response
     1405.600000       0.011346
     1405.700000       0.011656
     1405.800000       0.011971
     1405.900000       0.012296
     1406.000000       0.012616
     1406.100000       0.012946
     1406.200000       0.013281
     1406.300000       0.013616
     1406.400000       0.013961
     1406.500000       0.014306
     1406.600000       0.014661
     1406.700000       0.015016
     1406.800000       0.015376
     1406.900000       0.015746
     1407.000000       0.016116
     1407.100000       0.016491
     1407.200000       0.016871
     1407.300000       0.017256
     1407.400000       0.017647
     1407.500000       0.018037
     1407.600000       0.018427
     1407.700000       0.018827
     1407.800000       0.019232
     1407.900000       0.019637
     1408.000000       0.020047
     1408.100000       0.020467
     1408.200000       0.020887
     1408.300000       0.021317
     1408.400000       0.021747
     1408.500000       0.022187
     1408.600000       0.022637
     1408.700000       0.023087
     1408.800000       0.023547
     1408.900000       0.024013
     1409.000000       0.024493
     1409.100000       0.024973
     1409.200000       0.025458
     1409.300000       0.025953
     1409.400000       0.026453
     1409.500000       0.026963
     1409.600000       0.027478
     1409.700000       0.028003
     1409.800000       0.028533
     1409.900000       0.029074
     1410.000000       0.029624
     1410.100000       0.030184
     1410.200000       0.030749
     1410.300000       0.031329
     1410.400000       0.031914
     1410.500000       0.032509
     1410.600000       0.033124
     1410.700000       0.033744
     1410.800000       0.034385
     1410.900000       0.035035
     1411.000000       0.035695
     1411.100000       0.036375
     1411.200000       0.037065
     1411.300000       0.037770
     1411.400000       0.038495
     1411.500000       0.039236
     1411.600000       0.039996
     1411.700000       0.040776
     1411.800000       0.041576
     1411.900000       0.042396
     1412.000000       0.043231
     1412.100000       0.044091
     1412.200000       0.044972
     1412.300000       0.045867
     1412.400000       0.046787
     1412.500000       0.047727
     1412.600000       0.048697
     1412.700000       0.049687
     1412.800000       0.050708
     1412.900000       0.051748
     1413.000000       0.052818
     1413.100000       0.053913
     1413.200000       0.055033
     1413.300000       0.056183
     1413.400000       0.057364
     1413.500000       0.058574
     1413.600000       0.059814
     1413.700000       0.061094
     1413.800000       0.062410
     1413.900000       0.063760
     1414.000000       0.065145
     1414.100000       0.066565
     1414.200000       0.068015
     1414.300000       0.069506
     1414.400000       0.071036
     1414.500000       0.072606
     1414.600000       0.074216
     1414.700000       0.075872
     1414.800000       0.077567
     1414.900000       0.079317
     1415.000000       0.081102
     1415.100000       0.082938
     1415.200000       0.084813
     1415.300000       0.086743
     1415.400000       0.088723
     1415.500000       0.090759
     1415.600000       0.092849
     1415.700000       0.094999
     1415.800000       0.097210
     1415.900000       0.099480
     1416.000000       0.101810
     1416.100000       0.104196
     1416.200000       0.106646
     1416.300000       0.109156
     1416.400000       0.111727
     1416.500000       0.114367
     1416.600000       0.117073
     1416.700000       0.119853
     1416.800000       0.122709
     1416.900000       0.125634
     1417.000000       0.128624
     1417.100000       0.131685
     1417.200000       0.134820
     1417.300000       0.138026
     1417.400000       0.141306
     1417.500000       0.144662
     1417.600000       0.148092
     1417.700000       0.151608
     1417.800000       0.155209
     1417.900000       0.158894
     1418.000000       0.162650
     1418.100000       0.166496
     1418.200000       0.170411
     1418.300000       0.174417
     1418.400000       0.178518
     1418.500000       0.182694
     1418.600000       0.186975
     1418.700000       0.191346
     1418.800000       0.195816
     1418.900000       0.200387
     1419.000000       0.205053
     1419.100000       0.209819
     1419.200000       0.214680
     1419.300000       0.219651
     1419.400000       0.224732
     1419.500000       0.229929
     1419.600000       0.235235
     1419.700000       0.240671
     1419.800000       0.246227
     1419.900000       0.251903
     1420.000000       0.257690
     1420.100000       0.263581
     1420.200000       0.269583
     1420.300000       0.275689
     1420.400000       0.281905
     1420.500000       0.288232
     1420.600000       0.294664
     1420.700000       0.301205
     1420.800000       0.307852
     1420.900000       0.314609
     1421.000000       0.321445
     1421.100000       0.328372
     1421.200000       0.335379
     1421.300000       0.342466
     1421.400000       0.349628
     1421.500000       0.356859
     1421.600000       0.364161
     1421.700000       0.371533
     1421.800000       0.378970
     1421.900000       0.386477
     1422.000000       0.394029
     1422.100000       0.401636
     1422.200000       0.409298
     1422.300000       0.417011
     1422.400000       0.424783
     1422.500000       0.432585
     1422.600000       0.440442
     1422.700000       0.448349
     1422.800000       0.456286
     1422.900000       0.464279
     1423.000000       0.472281
     1423.100000       0.480318
     1423.200000       0.488366
     1423.300000       0.496428
     1423.400000       0.504505
     1423.500000       0.512582
     1423.600000       0.520650
     1423.700000       0.528717
     1423.800000       0.536784
     1423.900000       0.544841
     1424.000000       0.552899
     1424.100000       0.560936
     1424.200000       0.568978
     1424.300000       0.577011
     1424.400000       0.585048
     1424.500000       0.593075
     1424.600000       0.601093
     1424.700000       0.609100
     1424.800000       0.617097
     1424.900000       0.625099
     1425.000000       0.633067
     1425.100000       0.641014
     1425.200000       0.648936
     1425.300000       0.656818
     1425.400000       0.664680
     1425.500000       0.672493
     1425.600000       0.680255
     1425.700000       0.687957
     1425.800000       0.695614
     1425.900000       0.703221
     1426.000000       0.710768
     1426.100000       0.718255
     1426.200000       0.725692
     1426.300000       0.733074
     1426.400000       0.740401
     1426.500000       0.747658
     1426.600000       0.754850
     1426.700000       0.761971
     1426.800000       0.769023
     1426.900000       0.776020
     1427.000000       0.782942
     1427.100000       0.789798
     1427.200000       0.796595
     1427.300000       0.803327
     1427.400000       0.809998
     1427.500000       0.816590
     1427.600000       0.823116
     1427.700000       0.829563
     1427.800000       0.835935
     1427.900000       0.842241
     1428.000000       0.848447
     1428.100000       0.854579
     1428.200000       0.860620
     1428.300000       0.866561
     1428.400000       0.872413
     1428.500000       0.878149
     1428.600000       0.883765
     1428.700000       0.889257
     1428.800000       0.894618
     1428.900000       0.899854
     1429.000000       0.904955
     1429.100000       0.909902
     1429.200000       0.914703
     1429.300000       0.919349
     1429.400000       0.923825
     1429.500000       0.928116
     1429.600000       0.932207
     1429.700000       0.936098
     1429.800000       0.939780
     1429.900000       0.943276
     1430.000000       0.946567
     1430.100000       0.949678
     1430.200000       0.952594
     1430.300000       0.955320
     1430.400000       0.957861
     1430.500000       0.960192
     1430.600000       0.962328
     1430.700000       0.964248
     1430.800000       0.965974
     1430.900000       0.967525
     1431.000000       0.968911
     1431.100000       0.970147
     1431.200000       0.971243
     1431.300000       0.972214
     1431.400000       0.973070
     1431.500000       0.973811
     1431.600000       0.974457
     1431.700000       0.974998
     1431.800000       0.975459
     1431.900000       0.975835
     1432.000000       0.976136
     1432.100000       0.976371
     1432.200000       0.976542
     1432.300000       0.976658
     1432.400000       0.976719
     1432.500000       0.976730
     1432.600000       0.976691
     1432.700000       0.976612
     1432.800000       0.976488
     1432.900000       0.976329
     1433.000000       0.976135
     1433.100000       0.975906
     1433.200000       0.975647
     1433.300000       0.975363
     1433.400000       0.975054
     1433.500000       0.974720
     1433.600000       0.974361
     1433.700000       0.973982
     1433.800000       0.973583
     1433.900000       0.973153
     1434.000000       0.972709
     1434.100000       0.972240
     1434.200000       0.971741
     1434.300000       0.971222
     1434.400000       0.970673
     1434.500000       0.970098
     1434.600000       0.969484
     1434.700000       0.968850
     1434.800000       0.968176
     1434.900000       0.967471
     1435.000000       0.966732
     1435.100000       0.965968
     1435.200000       0.965178
     1435.300000       0.964354
     1435.400000       0.963505
     1435.500000       0.962625
     1435.600000       0.961706
     1435.700000       0.960767
     1435.800000       0.959792
     1435.900000       0.958793
     1436.000000       0.957768
     1436.100000       0.956724
     1436.200000       0.955654
     1436.300000       0.954570
     1436.400000       0.953460
     1436.500000       0.952341
     1436.600000       0.951201
     1436.700000       0.950041
     1436.800000       0.948877
     1436.900000       0.947687
     1437.000000       0.946488
     1437.100000       0.945268
     1437.200000       0.944033
     1437.300000       0.942778
     1437.400000       0.941509
     1437.500000       0.940214
     1437.600000       0.938899
     1437.700000       0.937565
     1437.800000       0.936210
     1437.900000       0.934835
     1438.000000       0.933445
     1438.100000       0.932046
     1438.200000       0.930626
     1438.300000       0.929191
     1438.400000       0.927746
     1438.500000       0.926296
     1438.600000       0.924831
     1438.700000       0.923356
     1438.800000       0.921881
     1438.900000       0.920406
     1439.000000       0.918941
     1439.100000       0.917486
     1439.200000       0.916051
     1439.300000       0.914641
     1439.400000       0.913255
     1439.500000       0.911910
     1439.600000       0.910610
     1439.700000       0.909350
     1439.800000       0.908140
     1439.900000       0.906960
     1440.000000       0.905819
     1440.100000       0.904709
     1440.200000       0.903624
     1440.300000       0.902554
     1440.400000       0.901503
     1440.500000       0.900458
     1440.600000       0.899428
     1440.700000       0.898397
     1440.800000       0.897372
     1440.900000       0.896352
     1441.000000       0.895342
     1441.100000       0.894341
     1441.200000       0.893341
     1441.300000       0.892345
     1441.400000       0.891365
     1441.500000       0.890390
     1441.600000       0.889424
     1441.700000       0.888469
     1441.800000       0.887529
     1441.900000       0.886603
     1442.000000       0.885683
     1442.100000       0.884787
     1442.200000       0.883902
     1442.300000       0.883037
     1442.400000       0.882192
     1442.500000       0.881366
     1442.600000       0.880566
     1442.700000       0.879791
     1442.800000       0.879041
     1442.900000       0.878316
     1443.000000       0.877616
     1443.100000       0.876946
     1443.200000       0.876300
     1443.300000       0.875680
     1443.400000       0.875096
     1443.500000       0.874536
     1443.600000       0.874011
     1443.700000       0.873516
     1443.800000       0.873051
     1443.900000       0.872606
     1444.000000       0.872187
     1444.100000       0.871777
     1444.200000       0.871382
     1444.300000       0.870978
     1444.400000       0.870583
     1444.500000       0.870184
     1444.600000       0.869769
     1444.700000       0.869340
     1444.800000       0.868905
     1444.900000       0.868456
     1445.000000       0.868007
     1445.100000       0.867563
     1445.200000       0.867123
     1445.300000       0.866689
     1445.400000       0.866270
     1445.500000       0.865871
     1445.600000       0.865492
     1445.700000       0.865133
     1445.800000       0.864809
     1445.900000       0.864495
     1446.000000       0.864206
     1446.100000       0.863932
     1446.200000       0.863673
     1446.300000       0.863424
     1446.400000       0.863190
     1446.500000       0.862967
     1446.600000       0.862743
     1446.700000       0.862529
     1446.800000       0.862320
     1446.900000       0.862122
     1447.000000       0.861933
     1447.100000       0.861749
     1447.200000       0.861576
     1447.300000       0.861417
     1447.400000       0.861274
     1447.500000       0.861145
     1447.600000       0.861027
     1447.700000       0.860933
     1447.800000       0.860854
     1447.900000       0.860796
     1448.000000       0.860753
     1448.100000       0.860734
     1448.200000       0.860735
     1448.300000       0.860757
     1448.400000       0.860799
     1448.500000       0.860865
     1448.600000       0.860962
     1448.700000       0.861079
     1448.800000       0.861225
     1448.900000       0.861402
     1449.000000       0.861599
     1449.100000       0.861825
     1449.200000       0.862087
     1449.300000       0.862379
     1449.400000       0.862695
     1449.500000       0.863052
     1449.600000       0.863438
     1449.700000       0.863870
     1449.800000       0.864332
     1449.900000       0.864833
     1450.000000       0.865355
     1450.100000       0.865907
     1450.200000       0.866478
     1450.300000       0.867080
     1450.400000       0.867691
     1450.500000       0.868328
     1450.600000       0.868979
     1450.700000       0.869646
     1450.800000       0.870327
     1450.900000       0.871024
     1451.000000       0.871740
     1451.100000       0.872466
     1451.200000       0.873213
     1451.300000       0.873969
     1451.400000       0.874750
     1451.500000       0.875546
     1451.600000       0.876362
     1451.700000       0.877193
     1451.800000       0.878049
     1451.900000       0.878920
     1452.000000       0.879811
     1452.100000       0.880707
     1452.200000       0.881623
     1452.300000       0.882543
     1452.400000       0.883479
     1452.500000       0.884424
     1452.600000       0.885375
     1452.700000       0.886335
     1452.800000       0.887301
     1452.900000       0.888276
     1453.000000       0.889261
     1453.100000       0.890251
     1453.200000       0.891247
     1453.300000       0.892252
     1453.400000       0.893272
     1453.500000       0.894292
     1453.600000       0.895321
     1453.700000       0.896366
     1453.800000       0.897416
     1453.900000       0.898481
     1454.000000       0.899565
     1454.100000       0.900660
     1454.200000       0.901780
     1454.300000       0.902924
     1454.400000       0.904094
     1454.500000       0.905293
     1454.600000       0.906523
     1454.700000       0.907792
     1454.800000       0.909087
     1454.900000       0.910406
     1455.000000       0.911736
     1455.100000       0.913070
     1455.200000       0.914404
     1455.300000       0.915733
     1455.400000       0.917048
     1455.500000       0.918337
     1455.600000       0.919596
     1455.700000       0.920816
     1455.800000       0.922000
     1455.900000       0.923144
     1456.000000       0.924243
     1456.100000       0.925303
     1456.200000       0.926317
     1456.300000       0.927286
     1456.400000       0.928205
     1456.500000       0.929064
     1456.600000       0.929873
     1456.700000       0.930617
     1456.800000       0.931302
     1456.900000       0.931926
     1457.000000       0.932490
     1457.100000       0.932989
     1457.200000       0.933423
     1457.300000       0.933798
     1457.400000       0.934097
     1457.500000       0.934331
     1457.600000       0.934485
     1457.700000       0.934559
     1457.800000       0.934568
     1457.900000       0.934513
     1458.000000       0.934412
     1458.100000       0.934271
     1458.200000       0.934095
     1458.300000       0.933905
     1458.400000       0.933689
     1458.500000       0.933478
     1458.600000       0.933273
     1458.700000       0.933067
     1458.800000       0.932867
     1458.900000       0.932646
     1459.000000       0.932410
     1459.100000       0.932130
     1459.200000       0.931800
     1459.300000       0.931404
     1459.400000       0.930933
     1459.500000       0.930368
     1459.600000       0.929693
