07 , goes_10_sounder_07.flt
Number of data points:
1021
Wavenumber (cm-1)   Filter response
      788.800000       0.004610
      788.900000       0.004913
      789.000000       0.005224
      789.100000       0.005547
      789.200000       0.005886
      789.300000       0.006244
      789.400000       0.006622
      789.500000       0.007018
      789.600000       0.007429
      789.700000       0.007851
      789.800000       0.008275
      789.900000       0.008704
      790.000000       0.009124
      790.100000       0.009529
      790.200000       0.009925
      790.300000       0.010298
      790.400000       0.010643
      790.500000       0.010958
      790.600000       0.011244
      790.700000       0.011488
      790.800000       0.011676
      790.900000       0.011802
      791.000000       0.011874
      791.100000       0.011901
      791.200000       0.011886
      791.300000       0.011835
      791.400000       0.011752
      791.500000       0.011637
      791.600000       0.011496
      791.700000       0.011336
      791.800000       0.011163
      791.900000       0.010982
      792.000000       0.010805
      792.100000       0.010634
      792.200000       0.010467
      792.300000       0.010311
      792.400000       0.010167
      792.500000       0.010042
      792.600000       0.009940
      792.700000       0.009869
      792.800000       0.009835
      792.900000       0.009831
      793.000000       0.009854
      793.100000       0.009912
      793.200000       0.010007
      793.300000       0.010135
      793.400000       0.010294
      793.500000       0.010487
      793.600000       0.010716
      793.700000       0.010977
      793.800000       0.011265
      793.900000       0.011583
      794.000000       0.011941
      794.100000       0.012342
      794.200000       0.012782
      794.300000       0.013258
      794.400000       0.013779
      794.500000       0.014355
      794.600000       0.014981
      794.700000       0.015641
      794.800000       0.016341
      794.900000       0.017063
      795.000000       0.017811
      795.100000       0.018578
      795.200000       0.019358
      795.300000       0.020148
      795.400000       0.020945
      795.500000       0.021749
      795.600000       0.022560
      795.700000       0.023362
      795.800000       0.024150
      795.900000       0.024928
      796.000000       0.025693
      796.100000       0.026438
      796.200000       0.027157
      796.300000       0.027840
      796.400000       0.028486
      796.500000       0.029100
      796.600000       0.029705
      796.700000       0.030283
      796.800000       0.030820
      796.900000       0.031338
      797.000000       0.031841
      797.100000       0.032330
      797.200000       0.032805
      797.300000       0.033272
      797.400000       0.033736
      797.500000       0.034193
      797.600000       0.034654
      797.700000       0.035120
      797.800000       0.035582
      797.900000       0.036029
      798.000000       0.036496
      798.100000       0.036989
      798.200000       0.037463
      798.300000       0.037939
      798.400000       0.038454
      798.500000       0.038971
      798.600000       0.039479
      798.700000       0.040013
      798.800000       0.040551
      798.900000       0.041066
      799.000000       0.041569
      799.100000       0.042078
      799.200000       0.042611
      799.300000       0.043119
      799.400000       0.043583
      799.500000       0.044061
      799.600000       0.044550
      799.700000       0.045021
      799.800000       0.045480
      799.900000       0.045943
      800.000000       0.046452
      800.100000       0.047033
      800.200000       0.047718
      800.300000       0.048494
      800.400000       0.049398
      800.500000       0.050505
      800.600000       0.051830
      800.700000       0.053384
      800.800000       0.055196
      800.900000       0.057301
      801.000000       0.059767
      801.100000       0.062704
      801.200000       0.066116
      801.300000       0.069792
      801.400000       0.073668
      801.500000       0.077755
      801.600000       0.081840
      801.700000       0.085831
      801.800000       0.089688
      801.900000       0.093276
      802.000000       0.096659
      802.100000       0.100033
      802.200000       0.103519
      802.300000       0.107131
      802.400000       0.111031
      802.500000       0.115336
      802.600000       0.120149
      802.700000       0.125597
      802.800000       0.131554
      802.900000       0.138013
      803.000000       0.144767
      803.100000       0.151688
      803.200000       0.158621
      803.300000       0.165428
      803.400000       0.172211
      803.500000       0.179046
      803.600000       0.186010
      803.700000       0.193249
      803.800000       0.200827
      803.900000       0.208815
      804.000000       0.217335
      804.100000       0.226388
      804.200000       0.235863
      804.300000       0.245563
      804.400000       0.255635
      804.500000       0.265707
      804.600000       0.275811
      804.700000       0.285860
      804.800000       0.295821
      804.900000       0.305668
      805.000000       0.315531
      805.100000       0.325565
      805.200000       0.335486
      805.300000       0.345392
      805.400000       0.355682
      805.500000       0.366299
      805.600000       0.377169
      805.700000       0.388396
      805.800000       0.400004
      805.900000       0.411958
      806.000000       0.424417
      806.100000       0.437157
      806.200000       0.450231
      806.300000       0.463765
      806.400000       0.477545
      806.500000       0.491510
      806.600000       0.505672
      806.700000       0.520077
      806.800000       0.534453
      806.900000       0.548673
      807.000000       0.563113
      807.100000       0.577755
      807.200000       0.592203
      807.300000       0.606623
      807.400000       0.621238
      807.500000       0.635845
      807.600000       0.650372
      807.700000       0.664783
      807.800000       0.679022
      807.900000       0.693121
      808.000000       0.707247
      808.100000       0.721481
      808.200000       0.735553
      808.300000       0.749102
      808.400000       0.762137
      808.500000       0.774884
      808.600000       0.787296
      808.700000       0.799227
      808.800000       0.810800
      808.900000       0.822074
      809.000000       0.832839
      809.100000       0.843200
      809.200000       0.853356
      809.300000       0.863260
      809.400000       0.872731
      809.500000       0.881735
      809.600000       0.890386
      809.700000       0.899116
      809.800000       0.908399
      809.900000       0.918063
      810.000000       0.927820
      810.100000       0.937154
      810.200000       0.946225
      810.300000       0.955423
      810.400000       0.963809
      810.500000       0.970492
      810.600000       0.975679
      810.700000       0.979644
      810.800000       0.982799
      810.900000       0.985240
      811.000000       0.987001
      811.100000       0.988279
      811.200000       0.989224
      811.300000       0.989907
      811.400000       0.990381
      811.500000       0.991165
      811.600000       0.992753
      811.700000       0.994314
      811.800000       0.995373
      811.900000       0.996490
      812.000000       0.997718
      812.100000       0.998746
      812.200000       0.999541
      812.300000       1.000000
      812.400000       0.999713
      812.500000       0.999104
      812.600000       0.998727
      812.700000       0.998201
      812.800000       0.997004
      812.900000       0.994898
      813.000000       0.993009
      813.100000       0.991774
      813.200000       0.989686
      813.300000       0.986933
      813.400000       0.984788
      813.500000       0.983400
      813.600000       0.982401
      813.700000       0.980980
      813.800000       0.979412
      813.900000       0.978320
      814.000000       0.977518
      814.100000       0.976693
      814.200000       0.975418
      814.300000       0.974267
      814.400000       0.973647
      814.500000       0.972587
      814.600000       0.971021
      814.700000       0.969593
      814.800000       0.968232
      814.900000       0.966874
      815.000000       0.965975
      815.100000       0.965582
      815.200000       0.965355
      815.300000       0.964751
      815.400000       0.963813
      815.500000       0.963315
      815.600000       0.963046
      815.700000       0.962524
      815.800000       0.961788
      815.900000       0.961173
      816.000000       0.960942
      816.100000       0.960554
      816.200000       0.959695
      816.300000       0.959131
      816.400000       0.958831
      816.500000       0.958315
      816.600000       0.957788
      816.700000       0.957269
      816.800000       0.956302
      816.900000       0.955336
      817.000000       0.954936
      817.100000       0.954597
      817.200000       0.954135
      817.300000       0.953758
      817.400000       0.953133
      817.500000       0.952001
      817.600000       0.950840
      817.700000       0.949753
      817.800000       0.948483
      817.900000       0.947382
      818.000000       0.946670
      818.100000       0.945703
      818.200000       0.944465
      818.300000       0.943212
      818.400000       0.941771
      818.500000       0.940361
      818.600000       0.939516
      818.700000       0.938834
      818.800000       0.937673
      818.900000       0.935859
      819.000000       0.933991
      819.100000       0.933238
      819.200000       0.933115
      819.300000       0.932832
      819.400000       0.932435
      819.500000       0.932078
      819.600000       0.931821
      819.700000       0.931652
      819.800000       0.931549
      819.900000       0.931588
      820.000000       0.931799
      820.100000       0.932101
      820.200000       0.932780
      820.300000       0.933823
      820.400000       0.934778
      820.500000       0.935164
      820.600000       0.934960
      820.700000       0.935109
      820.800000       0.935477
      820.900000       0.935211
      821.000000       0.934704
      821.100000       0.934385
      821.200000       0.934095
      821.300000       0.933707
      821.400000       0.933184
      821.500000       0.932602
      821.600000       0.931825
      821.700000       0.930394
      821.800000       0.929035
      821.900000       0.928394
      822.000000       0.927091
      822.100000       0.924978
      822.200000       0.923345
      822.300000       0.922001
      822.400000       0.920450
      822.500000       0.918685
      822.600000       0.916721
      822.700000       0.914697
      822.800000       0.912717
      822.900000       0.910703
      823.000000       0.908627
      823.100000       0.906393
      823.200000       0.904026
      823.300000       0.902181
      823.400000       0.900566
      823.500000       0.897828
      823.600000       0.894911
      823.700000       0.892996
      823.800000       0.891318
      823.900000       0.889395
      824.000000       0.887195
      824.100000       0.885046
      824.200000       0.882917
      824.300000       0.880313
      824.400000       0.877396
      824.500000       0.874600
      824.600000       0.872111
      824.700000       0.869848
      824.800000       0.867608
      824.900000       0.865925
      825.000000       0.864910
      825.100000       0.863406
      825.200000       0.861523
      825.300000       0.860375
      825.400000       0.859033
      825.500000       0.856903
      825.600000       0.855555
      825.700000       0.854961
      825.800000       0.854170
      825.900000       0.853345
      826.000000       0.852680
      826.100000       0.852081
      826.200000       0.851532
      826.300000       0.851131
      826.400000       0.850920
      826.500000       0.850841
      826.600000       0.850854
      826.700000       0.850779
      826.800000       0.850596
      826.900000       0.850911
      827.000000       0.851637
      827.100000       0.851990
      827.200000       0.852254
      827.300000       0.852578
      827.400000       0.852310
      827.500000       0.852635
      827.600000       0.855104
      827.700000       0.856773
      827.800000       0.856510
      827.900000       0.857079
      828.000000       0.858053
      828.100000       0.857977
      828.200000       0.857428
      828.300000       0.857338
      828.400000       0.858509
      828.500000       0.859313
      828.600000       0.858732
      828.700000       0.859278
      828.800000       0.860740
      828.900000       0.860989
      829.000000       0.860586
      829.100000       0.860392
      829.200000       0.860729
      829.300000       0.861179
      829.400000       0.861099
      829.500000       0.861116
      829.600000       0.861397
      829.700000       0.861293
      829.800000       0.860950
      829.900000       0.860690
      830.000000       0.860840
      830.100000       0.861182
      830.200000       0.861046
      830.300000       0.860687
      830.400000       0.860422
      830.500000       0.860180
      830.600000       0.859951
      830.700000       0.859686
