04, goes_14_imager_05.flt Release RevH plus STAR correction
Number of data points:
961
Wavenumber (cm-1)   Filter response
      700.000000       0.000000
      700.100000       0.000000
      700.200000       0.000000
      700.300000       0.000000
      700.400000       0.000000
      700.500000       0.000000
      700.600000       0.000000
      700.700000       0.000000
      700.800000       0.000000
      700.900000       0.000000
      701.000000       0.000002
      701.100000       0.000005
      701.200000       0.000010
      701.300000       0.000020
      701.400000       0.000035
      701.500000       0.000053
      701.600000       0.000069
      701.700000       0.000085
      701.800000       0.000104
      701.900000       0.000118
      702.000000       0.000122
      702.100000       0.000118
      702.200000       0.000114
      702.300000       0.000122
      702.400000       0.000146
      702.500000       0.000182
      702.600000       0.000218
      702.700000       0.000245
      702.800000       0.000256
      702.900000       0.000253
      703.000000       0.000248
      703.100000       0.000257
      703.200000       0.000284
      703.300000       0.000310
      703.400000       0.000322
      703.500000       0.000318
      703.600000       0.000303
      703.700000       0.000288
      703.800000       0.000280
      703.900000       0.000283
      704.000000       0.000295
      704.100000       0.000316
      704.200000       0.000338
      704.300000       0.000356
      704.400000       0.000369
      704.500000       0.000384
      704.600000       0.000400
      704.700000       0.000411
      704.800000       0.000417
      704.900000       0.000424
      705.000000       0.000441
      705.100000       0.000476
      705.200000       0.000519
      705.300000       0.000556
      705.400000       0.000584
      705.500000       0.000607
      705.600000       0.000622
      705.700000       0.000625
      705.800000       0.000623
      705.900000       0.000627
      706.000000       0.000637
      706.100000       0.000650
      706.200000       0.000656
      706.300000       0.000652
      706.400000       0.000646
      706.500000       0.000647
      706.600000       0.000654
      706.700000       0.000665
      706.800000       0.000677
      706.900000       0.000690
      707.000000       0.000703
      707.100000       0.000714
      707.200000       0.000724
      707.300000       0.000735
      707.400000       0.000755
      707.500000       0.000783
      707.600000       0.000812
      707.700000       0.000840
      707.800000       0.000874
      707.900000       0.000918
      708.000000       0.000967
      708.100000       0.001016
      708.200000       0.001055
      708.300000       0.001081
      708.400000       0.001096
      708.500000       0.001102
      708.600000       0.001103
      708.700000       0.001102
      708.800000       0.001101
      708.900000       0.001098
      709.000000       0.001087
      709.100000       0.001074
      709.200000       0.001069
      709.300000       0.001073
      709.400000       0.001081
      709.500000       0.001092
      709.600000       0.001108
      709.700000       0.001129
      709.800000       0.001152
      709.900000       0.001183
      710.000000       0.001221
      710.100000       0.001254
      710.200000       0.001272
      710.300000       0.001283
      710.400000       0.001294
      710.500000       0.001303
      710.600000       0.001308
      710.700000       0.001312
      710.800000       0.001318
      710.900000       0.001320
      711.000000       0.001316
      711.100000       0.001311
      711.200000       0.001315
      711.300000       0.001338
      711.400000       0.001381
      711.500000       0.001425
      711.600000       0.001463
      711.700000       0.001499
      711.800000       0.001533
      711.900000       0.001560
      712.000000       0.001589
      712.100000       0.001638
      712.200000       0.001697
      712.300000       0.001738
      712.400000       0.001758
      712.500000       0.001776
      712.600000       0.001802
      712.700000       0.001841
      712.800000       0.001899
      712.900000       0.001976
      713.000000       0.002053
      713.100000       0.002103
      713.200000       0.002124
      713.300000       0.002135
      713.400000       0.002161
      713.500000       0.002217
      713.600000       0.002290
      713.700000       0.002361
      713.800000       0.002431
      713.900000       0.002505
      714.000000       0.002575
      714.100000       0.002641
      714.200000       0.002720
      714.300000       0.002819
      714.400000       0.002918
      714.500000       0.003002
      714.600000       0.003072
      714.700000       0.003137
      714.800000       0.003205
      714.900000       0.003285
      715.000000       0.003387
      715.100000       0.003509
      715.200000       0.003638
      715.300000       0.003765
      715.400000       0.003890
      715.500000       0.004009
      715.600000       0.004119
      715.700000       0.004220
      715.800000       0.004316
      715.900000       0.004411
      716.000000       0.004510
      716.100000       0.004619
      716.200000       0.004740
      716.300000       0.004856
      716.400000       0.004948
      716.500000       0.005022
      716.600000       0.005097
      716.700000       0.005185
      716.800000       0.005289
      716.900000       0.005414
      717.000000       0.005558
      717.100000       0.005715
      717.200000       0.005873
      717.300000       0.006028
      717.400000       0.006182
      717.500000       0.006346
      717.600000       0.006531
      717.700000       0.006733
      717.800000       0.006948
      717.900000       0.007166
      718.000000       0.007386
      718.100000       0.007615
      718.200000       0.007858
      718.300000       0.008114
      718.400000       0.008380
      718.500000       0.008647
      718.600000       0.008918
      718.700000       0.009204
      718.800000       0.009515
      718.900000       0.009856
      719.000000       0.010219
      719.100000       0.010591
      719.200000       0.010967
      719.300000       0.011351
      719.400000       0.011743
      719.500000       0.012145
      719.600000       0.012564
      719.700000       0.013007
      719.800000       0.013470
      719.900000       0.013948
      720.000000       0.014445
      720.100000       0.014958
      720.200000       0.015476
      720.300000       0.016000
      720.400000       0.016549
      720.500000       0.017141
      720.600000       0.017785
      720.700000       0.018468
      720.800000       0.019170
      720.900000       0.019885
      721.000000       0.020612
      721.100000       0.021340
      721.200000       0.022069
      721.300000       0.022816
      721.400000       0.023597
      721.500000       0.024411
      721.600000       0.025260
      721.700000       0.026155
      721.800000       0.027101
      721.900000       0.028082
      722.000000       0.029089
      722.100000       0.030128
      722.200000       0.031209
      722.300000       0.032320
      722.400000       0.033455
      722.500000       0.034617
      722.600000       0.035816
      722.700000       0.037055
      722.800000       0.038331
      722.900000       0.039651
      723.000000       0.041024
      723.100000       0.042460
      723.200000       0.043960
      723.300000       0.045518
      723.400000       0.047132
      723.500000       0.048795
      723.600000       0.050510
      723.700000       0.052283
      723.800000       0.054112
      723.900000       0.055992
      724.000000       0.057918
      724.100000       0.059897
      724.200000       0.061934
      724.300000       0.064019
      724.400000       0.066146
      724.500000       0.068315
      724.600000       0.070548
      724.700000       0.072862
      724.800000       0.075265
      724.900000       0.077763
      725.000000       0.080344
      725.100000       0.082995
      725.200000       0.085706
      725.300000       0.088469
      725.400000       0.091287
      725.500000       0.094165
      725.600000       0.097115
      725.700000       0.100143
      725.800000       0.103245
      725.900000       0.106416
      726.000000       0.109642
      726.100000       0.112913
      726.200000       0.116235
      726.300000       0.119610
      726.400000       0.123051
      726.500000       0.126570
      726.600000       0.130176
      726.700000       0.133874
      726.800000       0.137657
      726.900000       0.141527
      727.000000       0.145476
      727.100000       0.149504
      727.200000       0.153612
      727.300000       0.157792
      727.400000       0.162045
      727.500000       0.166357
      727.600000       0.170729
      727.700000       0.175167
      727.800000       0.179667
      727.900000       0.184238
      728.000000       0.188875
      728.100000       0.193583
      728.200000       0.198367
      728.300000       0.203222
      728.400000       0.208149
      728.500000       0.213136
      728.600000       0.218175
      728.700000       0.223264
      728.800000       0.228396
      728.900000       0.233587
      729.000000       0.238841
      729.100000       0.244157
      729.200000       0.249533
      729.300000       0.254960
      729.400000       0.260447
      729.500000       0.265986
      729.600000       0.271576
      729.700000       0.277215
      729.800000       0.282889
      729.900000       0.288598
      730.000000       0.294321
      730.100000       0.300049
      730.200000       0.305787
      730.300000       0.311542
      730.400000       0.317329
      730.500000       0.323129
      730.600000       0.328941
      730.700000       0.334773
      730.800000       0.340629
      730.900000       0.346510
      731.000000       0.352386
      731.100000       0.358247
      731.200000       0.364091
      731.300000       0.369914
      731.400000       0.375730
      731.500000       0.381540
      731.600000       0.387350
      731.700000       0.393161
      731.800000       0.398973
      731.900000       0.404814
      732.000000       0.410679
      732.100000       0.416541
      732.200000       0.422376
      732.300000       0.428180
      732.400000       0.433972
      732.500000       0.439747
      732.600000       0.445501
      732.700000       0.451237
      732.800000       0.456959
      732.900000       0.462685
      733.000000       0.468405
      733.100000       0.474113
      733.200000       0.479814
      733.300000       0.485509
      733.400000       0.491198
      733.500000       0.496861
      733.600000       0.502486
      733.700000       0.508066
      733.800000       0.513597
      733.900000       0.519098
      734.000000       0.524584
      734.100000       0.530070
      734.200000       0.535565
      734.300000       0.541056
      734.400000       0.546534
      734.500000       0.551978
      734.600000       0.557388
      734.700000       0.562767
      734.800000       0.568097
      734.900000       0.573375
      735.000000       0.578594
      735.100000       0.583756
      735.200000       0.588861
      735.300000       0.593898
      735.400000       0.598870
      735.500000       0.603773
      735.600000       0.608614
      735.700000       0.613391
      735.800000       0.618100
      735.900000       0.622755
      736.000000       0.627354
      736.100000       0.631892
      736.200000       0.636362
      736.300000       0.640765
      736.400000       0.645121
      736.500000       0.649417
      736.600000       0.653626
      736.700000       0.657733
      736.800000       0.661748
      736.900000       0.665693
      737.000000       0.669566
      737.100000       0.673366
      737.200000       0.677094
      737.300000       0.680746
      737.400000       0.684329
      737.500000       0.687839
      737.600000       0.691283
      737.700000       0.694676
      737.800000       0.698016
      737.900000       0.701287
      738.000000       0.704462
      738.100000       0.707535
      738.200000       0.710509
      738.300000       0.713371
      738.400000       0.716118
      738.500000       0.718760
      738.600000       0.721337
      738.700000       0.723869
      738.800000       0.726337
      738.900000       0.728734
      739.000000       0.731082
      739.100000       0.733410
      739.200000       0.735700
      739.300000       0.737901
      739.400000       0.740015
      739.500000       0.742072
      739.600000       0.744090
      739.700000       0.746054
      739.800000       0.747957
      739.900000       0.749826
      740.000000       0.751688
      740.100000       0.753545
      740.200000       0.755385
      740.300000       0.757191
      740.400000       0.758951
      740.500000       0.760664
      740.600000       0.762344
      740.700000       0.764006
      740.800000       0.765658
      740.900000       0.767307
      741.000000       0.768961
      741.100000       0.770625
      741.200000       0.772287
      741.300000       0.773928
      741.400000       0.775543
      741.500000       0.777132
      741.600000       0.778697
      741.700000       0.780233
      741.800000       0.781742
      741.900000       0.783235
      742.000000       0.784722
      742.100000       0.786215
      742.200000       0.787721
      742.300000       0.789250
      742.400000       0.790809
      742.500000       0.792402
      742.600000       0.794029
      742.700000       0.795683
      742.800000       0.797353
      742.900000       0.799025
      743.000000       0.800687
      743.100000       0.802329
      743.200000       0.803937
      743.300000       0.805504
      743.400000       0.807043
      743.500000       0.808586
      743.600000       0.810155
      743.700000       0.811756
      743.800000       0.813392
      743.900000       0.815074
      744.000000       0.816805
      744.100000       0.818574
      744.200000       0.820362
      744.300000       0.822152
      744.400000       0.823940
      744.500000       0.825720
      744.600000       0.827490
      744.700000       0.829260
      744.800000       0.831049
      744.900000       0.832880
      745.000000       0.834756
      745.100000       0.836667
      745.200000       0.838587
      745.300000       0.840478
      745.400000       0.842333
      745.500000       0.844163
      745.600000       0.845994
      745.700000       0.847854
      745.800000       0.849755
      745.900000       0.851683
      746.000000       0.853611
      746.100000       0.855533
      746.200000       0.857445
      746.300000       0.859350
      746.400000       0.861256
      746.500000       0.863160
      746.600000       0.865064
      746.700000       0.866961
      746.800000       0.868843
      746.900000       0.870703
      747.000000       0.872539
      747.100000       0.874356
      747.200000       0.876161
      747.300000       0.877963
      747.400000       0.879768
      747.500000       0.881579
      747.600000       0.883396
      747.700000       0.885222
      747.800000       0.887057
      747.900000       0.888903
      748.000000       0.890755
      748.100000       0.892600
      748.200000       0.894424
      748.300000       0.896226
      748.400000       0.898020
      748.500000       0.899802
      748.600000       0.901558
      748.700000       0.903290
      748.800000       0.905022
      748.900000       0.906769
      749.000000       0.908499
      749.100000       0.910183
      749.200000       0.911840
      749.300000       0.913505
      749.400000       0.915192
      749.500000       0.916885
      749.600000       0.918582
