06, goes_14_sounder_06.flt  GOESO_sdr_operational_srf_rev_F
Number of data points:
623
Wavenumber (cm-1)   Filter response
      752.000000       0.000251
      752.100000       0.000515
      752.200000       0.000531
      752.300000       0.001074
      752.400000       0.001105
      752.500000       0.001137
      752.600000       0.001169
      752.700000       0.001201
      752.800000       0.001233
      752.900000       0.001266
      753.000000       0.001299
      753.100000       0.001332
      753.200000       0.001365
      753.300000       0.001397
      753.400000       0.001429
      753.500000       0.001459
      753.600000       0.001488
      753.700000       0.001515
      753.800000       0.001540
      753.900000       0.001563
      754.000000       0.001584
      754.100000       0.001603
      754.200000       0.001620
      754.300000       0.001635
      754.400000       0.001648
      754.500000       0.001659
      754.600000       0.001668
      754.700000       0.001676
      754.800000       0.001683
      754.900000       0.001688
      755.000000       0.001691
      755.100000       0.001693
      755.200000       0.001694
      755.300000       0.001694
      755.400000       0.001693
      755.500000       0.001691
      755.600000       0.001688
      755.700000       0.001683
      755.800000       0.001679
      755.900000       0.001674
      756.000000       0.001668
      756.100000       0.001662
      756.200000       0.001657
      756.300000       0.001651
      756.400000       0.001646
      756.500000       0.001642
      756.600000       0.001638
      756.700000       0.001635
      756.800000       0.001633
      756.900000       0.001633
      757.000000       0.001634
      757.100000       0.001636
      757.200000       0.001641
      757.300000       0.001647
      757.400000       0.001656
      757.500000       0.001667
      757.600000       0.001680
      757.700000       0.001696
      757.800000       0.001715
      757.900000       0.001738
      758.000000       0.001763
      758.100000       0.001792
      758.200000       0.001822
      758.300000       0.001854
      758.400000       0.001887
      758.500000       0.001920
      758.600000       0.001952
      758.700000       0.001982
      758.800000       0.002011
      758.900000       0.002036
      759.000000       0.002058
      759.100000       0.002076
      759.200000       0.002092
      759.300000       0.002106
      759.400000       0.002119
      759.500000       0.002130
      759.600000       0.002141
      759.700000       0.002152
      759.800000       0.002164
      759.900000       0.002176
      760.000000       0.002191
      760.100000       0.002207
      760.200000       0.002226
      760.300000       0.002248
      760.400000       0.002274
      760.500000       0.002302
      760.600000       0.002333
      760.700000       0.002365
      760.800000       0.002398
      760.900000       0.002431
      761.000000       0.002463
      761.100000       0.002494
      761.200000       0.002524
      761.300000       0.002550
      761.400000       0.002574
      761.500000       0.002595
      761.600000       0.002617
      761.700000       0.002643
      761.800000       0.002674
      761.900000       0.002715
      762.000000       0.002766
      762.100000       0.002831
      762.200000       0.002913
      762.300000       0.003012
      762.400000       0.003124
      762.500000       0.003247
      762.600000       0.003377
      762.700000       0.003512
      762.800000       0.003647
      762.900000       0.003781
      763.000000       0.003913
      763.100000       0.004040
      763.200000       0.004159
      763.300000       0.004271
      763.400000       0.004375
      763.500000       0.004471
      763.600000       0.004560
      763.700000       0.004641
      763.800000       0.004715
      763.900000       0.004791
      764.000000       0.004896
      764.100000       0.005065
      764.200000       0.005329
      764.300000       0.005689
      764.400000       0.006096
      764.500000       0.006493
      764.600000       0.006844
      764.700000       0.008085
      764.800000       0.009089
      764.900000       0.010090
      765.000000       0.010993
      765.100000       0.011808
      765.200000       0.012517
      765.300000       0.013117
      765.400000       0.013601
      765.500000       0.013968
      765.600000       0.014222
      765.700000       0.014364
      765.800000       0.014402
      765.900000       0.014345
      766.000000       0.014201
      766.100000       0.013985
      766.200000       0.013708
      766.300000       0.013386
      766.400000       0.013032
      766.500000       0.012662
      766.600000       0.012291
      766.700000       0.011934
      766.800000       0.011606
      766.900000       0.011321
      767.000000       0.011094
      767.100000       0.010938
      767.200000       0.010865
      767.300000       0.010887
      767.400000       0.011016
      767.500000       0.011263
      767.600000       0.011639
      767.700000       0.012152
      767.800000       0.012811
      767.900000       0.013624
      768.000000       0.014597
      768.100000       0.015738
      768.200000       0.017052
      768.300000       0.018542
      768.400000       0.020211
      768.500000       0.022061
      768.600000       0.024096
      768.700000       0.026314
      768.800000       0.028715
      768.900000       0.031298
      769.000000       0.034059
      769.100000       0.037001
      769.200000       0.040118
      769.300000       0.043409
      769.400000       0.046875
      769.500000       0.050507
      769.600000       0.054314
      769.700000       0.058295
      769.800000       0.062446
      769.900000       0.066782
      770.000000       0.071303
      770.100000       0.076019
      770.200000       0.080940
      770.300000       0.086075
      770.400000       0.091443
      770.500000       0.097063
      770.600000       0.102954
      770.700000       0.109132
      770.800000       0.115615
      770.900000       0.122431
      771.000000       0.129610
      771.100000       0.137174
      771.200000       0.145148
      771.300000       0.153564
      771.400000       0.162437
      771.500000       0.171802
      771.600000       0.181692
      771.700000       0.192124
      771.800000       0.203122
      771.900000       0.214714
      772.000000       0.226903
      772.100000       0.239730
      772.200000       0.253200
      772.300000       0.267323
      772.400000       0.282117
      772.500000       0.297566
      772.600000       0.313697
      772.700000       0.330493
      772.800000       0.347924
      772.900000       0.366004
      773.000000       0.384694
      773.100000       0.403966
      773.200000       0.423789
      773.300000       0.444101
      773.400000       0.464867
      773.500000       0.486038
      773.600000       0.507559
      773.700000       0.529325
      773.800000       0.551262
      773.900000       0.573302
      774.000000       0.595371
      774.100000       0.617368
      774.200000       0.639197
      774.300000       0.660779
      774.400000       0.681996
      774.500000       0.702797
      774.600000       0.723078
      774.700000       0.742735
      774.800000       0.761722
      774.900000       0.779950
      775.000000       0.797355
      775.100000       0.813896
      775.200000       0.829507
      775.300000       0.844188
      775.400000       0.857904
      775.500000       0.870639
      775.600000       0.882404
      775.700000       0.893192
      775.800000       0.903030
      775.900000       0.911945
      776.000000       0.919962
      776.100000       0.927114
      776.200000       0.933453
      776.300000       0.939022
      776.400000       0.943881
      776.500000       0.948086
      776.600000       0.951692
      776.700000       0.954744
      776.800000       0.957292
      776.900000       0.959390
      777.000000       0.961083
      777.100000       0.962416
      777.200000       0.963431
      777.300000       0.964165
      777.400000       0.964650
      777.500000       0.964909
      777.600000       0.964966
      777.700000       0.964843
      777.800000       0.964562
      777.900000       0.964143
      778.000000       0.963608
      778.100000       0.962975
      778.200000       0.962264
      778.300000       0.961495
      778.400000       0.960688
      778.500000       0.959862
      778.600000       0.959036
      778.700000       0.958225
      778.800000       0.957446
      778.900000       0.956716
      779.000000       0.956057
      779.100000       0.955489
      779.200000       0.955029
      779.300000       0.954697
      779.400000       0.954510
      779.500000       0.954477
      779.600000       0.954614
      779.700000       0.954924
      779.800000       0.955407
      779.900000       0.956057
      780.000000       0.956868
      780.100000       0.957830
      780.200000       0.958935
      780.300000       0.960173
      780.400000       0.961532
      780.500000       0.963002
      780.600000       0.964560
      780.700000       0.966179
      780.800000       0.967837
      780.900000       0.969513
      781.000000       0.971188
      781.100000       0.972851
      781.200000       0.974491
      781.300000       0.976098
      781.400000       0.977661
      781.500000       0.979163
      781.600000       0.980601
      781.700000       0.981963
      781.800000       0.983249
      781.900000       0.984464
      782.000000       0.985609
      782.100000       0.986691
      782.200000       0.987713
      782.300000       0.988681
      782.400000       0.989604
      782.500000       0.990485
      782.600000       0.991328
      782.700000       0.992132
      782.800000       0.992895
      782.900000       0.993620
      783.000000       0.994309
      783.100000       0.994968
      783.200000       0.995600
      783.300000       0.996206
      783.400000       0.996784
      783.500000       0.997330
      783.600000       0.997840
      783.700000       0.998306
      783.800000       0.998726
      783.900000       0.999091
      784.000000       0.999397
      784.100000       0.999637
      784.200000       0.999815
      784.300000       0.999932
      784.400000       0.999993
      784.500000       1.000000
      784.600000       0.999950
      784.700000       0.999841
      784.800000       0.999670
      784.900000       0.999435
      785.000000       0.999143
      785.100000       0.998803
      785.200000       0.998425
      785.300000       0.998019
      785.400000       0.997589
