06, goes_15_sounder_06.flt GOESP_sdr_operational_srf_rev_F
Number of data points:
711
Wavenumber (cm-1)   Filter response
      760.100000       0.000000
      760.200000       0.000000
      760.300000       0.000000
      760.400000       0.000000
      760.500000       0.000000
      760.600000       0.000000
      760.700000       0.000000
      760.800000       0.000000
      760.900000       0.001087
      761.000000       0.001105
      761.100000       0.001124
      761.200000       0.001143
      761.300000       0.001162
      761.400000       0.001182
      761.500000       0.001201
      761.600000       0.001220
      761.700000       0.001241
      761.800000       0.001260
      761.900000       0.001274
      762.000000       0.001295
      762.100000       0.001334
      762.200000       0.001386
      762.300000       0.001436
      762.400000       0.001482
      762.500000       0.001528
      762.600000       0.001574
      762.700000       0.001622
      762.800000       0.001668
      762.900000       0.001712
      763.000000       0.001760
      763.100000       0.001820
      763.200000       0.001887
      763.300000       0.001954
      763.400000       0.002018
      763.500000       0.002083
      763.600000       0.002150
      763.700000       0.002217
      763.800000       0.002282
      763.900000       0.002345
      764.000000       0.002413
      764.100000       0.002498
      764.200000       0.002595
      764.300000       0.002691
      764.400000       0.002784
      764.500000       0.002877
      764.600000       0.002970
      764.700000       0.003066
      764.800000       0.003158
      764.900000       0.003242
      765.000000       0.003338
      765.100000       0.003477
      765.200000       0.003643
      765.300000       0.003805
      765.400000       0.003960
      765.500000       0.004114
      765.600000       0.004273
      765.700000       0.004436
      765.800000       0.004592
      765.900000       0.004732
      766.000000       0.004897
      766.100000       0.005139
      766.200000       0.005431
      766.300000       0.005717
      766.400000       0.005990
      766.500000       0.006265
      766.600000       0.006546
      766.700000       0.006835
      766.800000       0.007113
      766.900000       0.007362
      767.000000       0.007654
      767.100000       0.008078
      767.200000       0.008590
      767.300000       0.009090
      767.400000       0.009566
      767.500000       0.010039
      767.600000       0.010526
      767.700000       0.011030
      767.800000       0.011507
      767.900000       0.011915
      768.000000       0.012424
      768.100000       0.013246
      768.200000       0.014202
      768.300000       0.015041
      768.400000       0.016254
      768.500000       0.017821
      768.600000       0.018893
      768.700000       0.019577
      768.800000       0.020444
      768.900000       0.021376
      769.000000       0.022399
      769.100000       0.023499
      769.200000       0.024674
      769.300000       0.025915
      769.400000       0.027217
      769.500000       0.028575
      769.600000       0.029989
      769.700000       0.031456
      769.800000       0.032979
      769.900000       0.034563
      770.000000       0.036215
      770.100000       0.037946
      770.200000       0.039769
      770.300000       0.041698
      770.400000       0.043754
      770.500000       0.045956
      770.600000       0.048329
      770.700000       0.050892
      770.800000       0.053669
      770.900000       0.056687
      771.000000       0.059974
      771.100000       0.063551
      771.200000       0.067441
      771.300000       0.071666
      771.400000       0.076242
      771.500000       0.081189
      771.600000       0.086528
      771.700000       0.092270
      771.800000       0.098426
      771.900000       0.105012
      772.000000       0.112028
