10, GOES-R 7.34um ABI SRF CWG processed version 3 March 10, 2016
Number of data points:
714
Wavenumber (cm-1)   Filter response
     1327.600000       0.001338
     1327.700000       0.001567
     1327.800000       0.001592
     1327.900000       0.001619
     1328.000000       0.001648
     1328.100000       0.001677
     1328.200000       0.001708
     1328.300000       0.001739
     1328.400000       0.001771
     1328.500000       0.001802
     1328.600000       0.001835
     1328.700000       0.001867
     1328.800000       0.001900
     1328.900000       0.001933
     1329.000000       0.001967
     1329.100000       0.002001
     1329.200000       0.002036
     1329.300000       0.002072
     1329.400000       0.002109
     1329.500000       0.002148
     1329.600000       0.002187
     1329.700000       0.002229
     1329.800000       0.002272
     1329.900000       0.002317
     1330.000000       0.002364
     1330.100000       0.002414
     1330.200000       0.002466
     1330.300000       0.002520
     1330.400000       0.002576
     1330.500000       0.002635
     1330.600000       0.002697
     1330.700000       0.002760
     1330.800000       0.002827
     1330.900000       0.002896
     1331.000000       0.002967
     1331.100000       0.003041
     1331.200000       0.003118
     1331.300000       0.003197
     1331.400000       0.003278
     1331.500000       0.003361
     1331.600000       0.003447
     1331.700000       0.003536
     1331.800000       0.003627
     1331.900000       0.003720
     1332.000000       0.003816
     1332.100000       0.003915
     1332.200000       0.004016
     1332.300000       0.004121
     1332.400000       0.004228
     1332.500000       0.004340
     1332.600000       0.004455
     1332.700000       0.004574
     1332.800000       0.004698
     1332.900000       0.004827
     1333.000000       0.004960
     1333.100000       0.005100
     1333.200000       0.005245
     1333.300000       0.005397
     1333.400000       0.005555
     1333.500000       0.005719
     1333.600000       0.005891
     1333.700000       0.006070
     1333.800000       0.006257
     1333.900000       0.006451
     1334.000000       0.006654
     1334.100000       0.006864
     1334.200000       0.007084
     1334.300000       0.007313
     1334.400000       0.007550
     1334.500000       0.007799
     1334.600000       0.008056
     1334.700000       0.008325
     1334.800000       0.008604
     1334.900000       0.008895
     1335.000000       0.009200
     1335.100000       0.009514
     1335.200000       0.009847
     1335.300000       0.010195
     1335.400000       0.010569
     1335.500000       0.010958
     1335.600000       0.011364
     1335.700000       0.011786
     1335.800000       0.012224
     1335.900000       0.012681
     1336.000000       0.013154
     1336.100000       0.013649
     1336.200000       0.014159
     1336.300000       0.014694
     1336.400000       0.015247
     1336.500000       0.015820
     1336.600000       0.016417
