1, GOES 0.47um ABI FM2 SRF CWG processed March 10, 2016
Number of data points:
2620
Wavenumber (cm-1)   Filter response
    19994.000000       0.001002
    19995.000000       0.001018
    19996.000000       0.001035
    19997.000000       0.001051
    19998.000000       0.001068
    19999.000000       0.001085
    20000.000000       0.001103
    20001.000000       0.001120
    20002.000000       0.001138
    20003.000000       0.001156
    20004.000000       0.001174
    20005.000000       0.001193
    20006.000000       0.001211
    20007.000000       0.001230
    20008.000000       0.001250
    20009.000000       0.001269
    20010.000000       0.001289
    20011.000000       0.001309
    20012.000000       0.001329
    20013.000000       0.001350
    20014.000000       0.001371
    20015.000000       0.001392
    20016.000000       0.001414
    20017.000000       0.001436
    20018.000000       0.001458
    20019.000000       0.001480
    20020.000000       0.001503
    20021.000000       0.001526
    20022.000000       0.001549
    20023.000000       0.001573
    20024.000000       0.001597
    20025.000000       0.001621
    20026.000000       0.001646
    20027.000000       0.001671
    20028.000000       0.001696
    20029.000000       0.001722
    20030.000000       0.001748
    20031.000000       0.001775
    20032.000000       0.001801
    20033.000000       0.001828
    20034.000000       0.001856
    20035.000000       0.001883
    20036.000000       0.001912
    20037.000000       0.001940
    20038.000000       0.001969
    20039.000000       0.001998
    20040.000000       0.002028
    20041.000000       0.002058
    20042.000000       0.002088
    20043.000000       0.002119
    20044.000000       0.002150
    20045.000000       0.002181
    20046.000000       0.002213
    20047.000000       0.002246
    20048.000000       0.002279
    20049.000000       0.002312
    20050.000000       0.002346
    20051.000000       0.002381
    20052.000000       0.002416
    20053.000000       0.002452
    20054.000000       0.002488
    20055.000000       0.002525
    20056.000000       0.002563
    20057.000000       0.002601
    20058.000000       0.002640
    20059.000000       0.002679
    20060.000000       0.002719
    20061.000000       0.002760
    20062.000000       0.002802
    20063.000000       0.002845
    20064.000000       0.002888
    20065.000000       0.002932
    20066.000000       0.002976
    20067.000000       0.003022
    20068.000000       0.003068
    20069.000000       0.003116
    20070.000000       0.003164
    20071.000000       0.003213
    20072.000000       0.003263
    20073.000000       0.003314
    20074.000000       0.003365
    20075.000000       0.003418
    20076.000000       0.003472
    20077.000000       0.003527
    20078.000000       0.003582
    20079.000000       0.003639
    20080.000000       0.003697
    20081.000000       0.003756
    20082.000000       0.003817
    20083.000000       0.003879
    20084.000000       0.003944
    20085.000000       0.004010
    20086.000000       0.004078
    20087.000000       0.004149
    20088.000000       0.004221
    20089.000000       0.004295
    20090.000000       0.004370
    20091.000000       0.004448
    20092.000000       0.004528
    20093.000000       0.004610
    20094.000000       0.004693
    20095.000000       0.004779
    20096.000000       0.004866
    20097.000000       0.004955
    20098.000000       0.005047
    20099.000000       0.005140
    20100.000000       0.005236
    20101.000000       0.005333
    20102.000000       0.005432
    20103.000000       0.005534
    20104.000000       0.005637
    20105.000000       0.005743
    20106.000000       0.005850
    20107.000000       0.005959
    20108.000000       0.006071
    20109.000000       0.006185
    20110.000000       0.006300
    20111.000000       0.006418
    20112.000000       0.006538
    20113.000000       0.006660
    20114.000000       0.006784
    20115.000000       0.006910
    20116.000000       0.007038
    20117.000000       0.007168
    20118.000000       0.007301
    20119.000000       0.007435
    20120.000000       0.007572
    20121.000000       0.007711
    20122.000000       0.007854
    20123.000000       0.008003
    20124.000000       0.008156
    20125.000000       0.008314
    20126.000000       0.008478
    20127.000000       0.008646
    20128.000000       0.008820
    20129.000000       0.008999
    20130.000000       0.009182
    20131.000000       0.009371
    20132.000000       0.009565
    20133.000000       0.009764
    20134.000000       0.009968
    20135.000000       0.010177
    20136.000000       0.010391
    20137.000000       0.010610
    20138.000000       0.010834
    20139.000000       0.011063
    20140.000000       0.011298
    20141.000000       0.011537
    20142.000000       0.011782
    20143.000000       0.012031
    20144.000000       0.012286
    20145.000000       0.012546
    20146.000000       0.012811
    20147.000000       0.013081
    20148.000000       0.013356
    20149.000000       0.013636
    20150.000000       0.013922
    20151.000000       0.014212
    20152.000000       0.014507
    20153.000000       0.014808
    20154.000000       0.015114
    20155.000000       0.015425
    20156.000000       0.015741
    20157.000000       0.016062
    20158.000000       0.016388
    20159.000000       0.016719
    20160.000000       0.017056
    20161.000000       0.017397
    20162.000000       0.017746
    20163.000000       0.018108
    20164.000000       0.018483
    20165.000000       0.018872
    20166.000000       0.019274
    20167.000000       0.019689
    20168.000000       0.020117
    20169.000000       0.020559
    20170.000000       0.021013
    20171.000000       0.021481
    20172.000000       0.021962
    20173.000000       0.022455
    20174.000000       0.022961
    20175.000000       0.023480
    20176.000000       0.024012
    20177.000000       0.024557
    20178.000000       0.025114
    20179.000000       0.025683
    20180.000000       0.026265
    20181.000000       0.026860
    20182.000000       0.027467
    20183.000000       0.028086
    20184.000000       0.028717
    20185.000000       0.029361
    20186.000000       0.030017
    20187.000000       0.030685
    20188.000000       0.031365
    20189.000000       0.032057
    20190.000000       0.032760
    20191.000000       0.033476
    20192.000000       0.034204
    20193.000000       0.034943
