   9, extracted from file vas_g04.srf.nc
Number of data points:
1018
Wavenumber (cm-1)   Filter response
     1322.800000       0.000598
     1322.900000       0.000742
     1323.000000       0.000884
     1323.100000       0.001027
     1323.200000       0.001170
     1323.300000       0.001313
     1323.400000       0.001455
     1323.500000       0.001598
     1323.600000       0.001740
     1323.700000       0.001883
     1323.800000       0.002026
     1323.900000       0.002169
     1324.000000       0.002311
     1324.100000       0.002454
     1324.200000       0.002597
     1324.300000       0.002740
     1324.400000       0.002883
     1324.500000       0.003025
     1324.600000       0.003166
     1324.700000       0.003302
     1324.800000       0.003438
     1324.900000       0.003575
     1325.000000       0.003712
     1325.100000       0.003848
     1325.200000       0.003985
     1325.300000       0.004122
     1325.400000       0.004258
     1325.500000       0.004395
     1325.600000       0.004532
     1325.700000       0.004668
     1325.800000       0.004805
     1325.900000       0.004941
     1326.000000       0.005078
     1326.100000       0.005215
     1326.200000       0.005351
     1326.300000       0.005488
     1326.400000       0.005625
     1326.500000       0.005761
     1326.600000       0.005897
     1326.700000       0.006033
     1326.800000       0.006170
     1326.900000       0.006306
     1327.000000       0.006442
     1327.100000       0.006578
     1327.200000       0.006715
     1327.300000       0.006851
     1327.400000       0.006987
     1327.500000       0.007124
     1327.600000       0.007260
     1327.700000       0.007396
     1327.800000       0.007532
     1327.900000       0.007668
     1328.000000       0.007805
     1328.100000       0.007943
     1328.200000       0.008084
     1328.300000       0.008226
     1328.400000       0.008367
     1328.500000       0.008510
     1328.600000       0.008651
     1328.700000       0.008793
     1328.800000       0.008934
     1328.900000       0.009076
     1329.000000       0.009217
     1329.100000       0.009359
     1329.200000       0.009501
     1329.300000       0.009642
     1329.400000       0.009784
     1329.500000       0.009925
     1329.600000       0.010067
     1329.700000       0.010208
     1329.800000       0.010350
     1329.900000       0.010488
     1330.000000       0.010623
     1330.100000       0.010759
     1330.200000       0.010894
     1330.300000       0.011030
     1330.400000       0.011166
     1330.500000       0.011301
     1330.600000       0.011437
     1330.700000       0.011572
     1330.800000       0.011708
     1330.900000       0.011844
     1331.000000       0.011979
     1331.100000       0.012115
     1331.200000       0.012250
     1331.300000       0.012386
     1331.400000       0.012522
     1331.500000       0.012653
     1331.600000       0.012815
     1331.700000       0.013058
     1331.800000       0.013345
     1331.900000       0.013626
     1332.000000       0.013909
     1332.100000       0.014190
     1332.200000       0.014472
     1332.300000       0.014754
     1332.400000       0.015035
     1332.500000       0.015317
     1332.600000       0.015598
     1332.700000       0.015880
     1332.800000       0.016162
     1332.900000       0.016443
     1333.000000       0.016725
     1333.100000       0.017007
     1333.200000       0.017288
     1333.300000       0.017566
     1333.400000       0.017876
     1333.500000       0.018236
     1333.600000       0.018608
     1333.700000       0.018979
     1333.800000       0.019350
     1333.900000       0.019721
     1334.000000       0.020092
     1334.100000       0.020463
     1334.200000       0.020833
     1334.300000       0.021204
     1334.400000       0.021575
     1334.500000       0.021946
     1334.600000       0.022317
     1334.700000       0.022687
     1334.800000       0.023059
     1334.900000       0.023429
     1335.000000       0.023800
     1335.100000       0.024170
     1335.200000       0.024543
     1335.300000       0.024919
     1335.400000       0.025294
     1335.500000       0.025670
     1335.600000       0.026045
     1335.700000       0.026421
     1335.800000       0.026796
     1335.900000       0.027171
     1336.000000       0.027547
     1336.100000       0.027923
     1336.200000       0.028297
     1336.300000       0.028673
     1336.400000       0.029049
     1336.500000       0.029424
     1336.600000       0.029800
     1336.700000       0.030175
     1336.800000       0.030550
     1336.900000       0.030926
     1337.000000       0.031301
     1337.100000       0.031676
     1337.200000       0.032050
     1337.300000       0.032424
     1337.400000       0.032799
     1337.500000       0.033173
     1337.600000       0.033548
     1337.700000       0.033922
     1337.800000       0.034297
     1337.900000       0.034671
     1338.000000       0.035046
     1338.100000       0.035420
     1338.200000       0.035795
     1338.300000       0.036170
     1338.400000       0.036543
     1338.500000       0.036918
     1338.600000       0.037293
     1338.700000       0.037667
     1338.800000       0.038041
     1338.900000       0.038414
     1339.000000       0.038788
     1339.100000       0.039162
     1339.200000       0.039535
     1339.300000       0.039908
     1339.400000       0.040282
     1339.500000       0.040655
     1339.600000       0.041029
     1339.700000       0.041402
     1339.800000       0.041775
     1339.900000       0.042149
     1340.000000       0.042523
     1340.100000       0.042896
     1340.200000       0.043269
     1340.300000       0.043643
     1340.400000       0.044016
     1340.500000       0.044390
     1340.600000       0.044763
     1340.700000       0.045134
     1340.800000       0.045508
     1340.900000       0.045880
     1341.000000       0.046253
     1341.100000       0.046625
     1341.200000       0.046997
     1341.300000       0.047370
     1341.400000       0.047743
     1341.500000       0.048115
     1341.600000       0.048487
     1341.700000       0.048859
     1341.800000       0.049232
     1341.900000       0.049605
     1342.000000       0.049977
     1342.100000       0.050349
     1342.200000       0.050722
     1342.300000       0.051095
     1342.400000       0.051466
     1342.500000       0.051837
     1342.600000       0.052209
     1342.700000       0.052580
     1342.800000       0.052952
     1342.900000       0.053323
     1343.000000       0.053695
     1343.100000       0.054066
     1343.200000       0.054438
     1343.300000       0.054809
     1343.400000       0.055180
     1343.500000       0.055552
     1343.600000       0.055924
     1343.700000       0.056295
     1343.800000       0.056666
     1343.900000       0.057038
     1344.000000       0.057409
     1344.100000       0.057781
     1344.200000       0.058155
     1344.300000       0.058532
     1344.400000       0.058907
     1344.500000       0.059283
     1344.600000       0.059659
     1344.700000       0.060035
     1344.800000       0.060411
     1344.900000       0.060787
     1345.000000       0.061163
     1345.100000       0.061539
     1345.200000       0.061915
     1345.300000       0.062291
     1345.400000       0.062667
     1345.500000       0.063043
     1345.600000       0.063419
     1345.700000       0.063795
     1345.800000       0.064170
     1345.900000       0.064530
     1346.000000       0.065163
     1346.100000       0.066051
     1346.200000       0.066911
     1346.300000       0.067773
     1346.400000       0.068633
     1346.500000       0.069492
     1346.600000       0.070352
     1346.700000       0.071212
     1346.800000       0.072074
     1346.900000       0.072934
     1347.000000       0.073794
     1347.100000       0.074653
     1347.200000       0.075513
     1347.300000       0.076374
     1347.400000       0.077234
     1347.500000       0.078094
     1347.600000       0.078955
     1347.700000       0.079730
     1347.800000       0.081259
     1347.900000       0.083617
     1348.000000       0.085962
     1348.100000       0.088298
     1348.200000       0.090634
     1348.300000       0.092974
     1348.400000       0.095311
     1348.500000       0.097648
     1348.600000       0.099984
     1348.700000       0.102320
     1348.800000       0.104661
     1348.900000       0.106997
     1349.000000       0.109333
     1349.100000       0.111670
     1349.200000       0.114007
     1349.300000       0.116347
     1349.400000       0.118683
     1349.500000       0.121019
     1349.600000       0.123357
     1349.700000       0.125698
     1349.800000       0.128043
     1349.900000       0.130384
     1350.000000       0.132725
     1350.100000       0.135066
     1350.200000       0.137407
     1350.300000       0.139752
     1350.400000       0.142093
     1350.500000       0.144435
     1350.600000       0.146776
     1350.700000       0.149117
     1350.800000       0.151461
     1350.900000       0.153803
     1351.000000       0.156144
     1351.100000       0.158485
     1351.200000       0.160826
     1351.300000       0.163063
     1351.400000       0.166158
     1351.500000       0.171255
     1351.600000       0.177265
     1351.700000       0.183160
