  12, extracted from file vas_g06.srf.nc
Number of data points:
2184
Wavenumber (cm-1)   Filter response
     2427.300000       0.008054
     2427.400000       0.008136
     2427.500000       0.008217
     2427.600000       0.008298
     2427.700000       0.008380
     2427.800000       0.008461
     2427.900000       0.008542
     2428.000000       0.008624
     2428.100000       0.008705
     2428.200000       0.008786
     2428.300000       0.008868
     2428.400000       0.008949
     2428.500000       0.009031
     2428.600000       0.009112
     2428.700000       0.009193
     2428.800000       0.009275
     2428.900000       0.009356
     2429.000000       0.009437
     2429.100000       0.009519
     2429.200000       0.009600
     2429.300000       0.009682
     2429.400000       0.009763
     2429.500000       0.009844
     2429.600000       0.009926
     2429.700000       0.010007
     2429.800000       0.010088
     2429.900000       0.010170
     2430.000000       0.010251
     2430.100000       0.010324
     2430.200000       0.010468
     2430.300000       0.010724
     2430.400000       0.011009
     2430.500000       0.011290
     2430.600000       0.011570
     2430.700000       0.011851
     2430.800000       0.012132
     2430.900000       0.012412
     2431.000000       0.012693
     2431.100000       0.012974
     2431.200000       0.013255
     2431.300000       0.013536
     2431.400000       0.013816
     2431.500000       0.014097
     2431.600000       0.014378
     2431.700000       0.014659
     2431.800000       0.014940
     2431.900000       0.015220
     2432.000000       0.015501
     2432.100000       0.015781
     2432.200000       0.016062
     2432.300000       0.016343
     2432.400000       0.016624
     2432.500000       0.016905
     2432.600000       0.017185
     2432.700000       0.017466
     2432.800000       0.017747
     2432.900000       0.018028
     2433.000000       0.018309
     2433.100000       0.018589
     2433.200000       0.018893
     2433.300000       0.019221
     2433.400000       0.019544
     2433.500000       0.019868
     2433.600000       0.020192
     2433.700000       0.020515
     2433.800000       0.020839
     2433.900000       0.021163
     2434.000000       0.021487
     2434.100000       0.021811
     2434.200000       0.022135
     2434.300000       0.022459
     2434.400000       0.022783
     2434.500000       0.023108
     2434.600000       0.023431
     2434.700000       0.023755
     2434.800000       0.024080
     2434.900000       0.024403
     2435.000000       0.024726
     2435.100000       0.025051
     2435.200000       0.025375
     2435.300000       0.025699
     2435.400000       0.026023
     2435.500000       0.026347
     2435.600000       0.026671
     2435.700000       0.026995
     2435.800000       0.027319
     2435.900000       0.027643
     2436.000000       0.027967
     2436.100000       0.028290
     2436.200000       0.028613
     2436.300000       0.028937
     2436.400000       0.029260
     2436.500000       0.029583
     2436.600000       0.029906
     2436.700000       0.030229
     2436.800000       0.030553
     2436.900000       0.030876
     2437.000000       0.031199
     2437.100000       0.031522
     2437.200000       0.031846
     2437.300000       0.032169
     2437.400000       0.032492
     2437.500000       0.032815
     2437.600000       0.033138
     2437.700000       0.033462
     2437.800000       0.033785
     2437.900000       0.034108
     2438.000000       0.034431
     2438.100000       0.034754
     2438.200000       0.035078
     2438.300000       0.035401
     2438.400000       0.035724
     2438.500000       0.036047
     2438.600000       0.036370
     2438.700000       0.036694
     2438.800000       0.037017
     2438.900000       0.037340
     2439.000000       0.037653
     2439.100000       0.038054
