8, channel 8 SRF extracted from AHI-8_SpectralResponsivity_Data.xlsx (release Sept 2013)
Number of data points:
4201
Wavenumber (cm-1)   Filter response
     1421.000000       0.000551
     1421.100000       0.000527
     1421.200000       0.000503
     1421.300000       0.000481
     1421.400000       0.000462
     1421.500000       0.000453
     1421.600000       0.000448
     1421.700000       0.000448
     1421.800000       0.000460
     1421.900000       0.000476
     1422.000000       0.000499
     1422.100000       0.000527
     1422.200000       0.000557
     1422.300000       0.000587
     1422.400000       0.000617
     1422.500000       0.000641
     1422.600000       0.000662
     1422.700000       0.000671
     1422.800000       0.000672
     1422.900000       0.000671
     1423.000000       0.000656
     1423.100000       0.000632
     1423.200000       0.000602
     1423.300000       0.000568
     1423.400000       0.000531
     1423.500000       0.000494
     1423.600000       0.000459
     1423.700000       0.000430
     1423.800000       0.000405
     1423.900000       0.000392
     1424.000000       0.000389
     1424.100000       0.000387
     1424.200000       0.000397
     1424.300000       0.000418
     1424.400000       0.000443
     1424.500000       0.000471
     1424.600000       0.000502
     1424.700000       0.000532
     1424.800000       0.000558
     1424.900000       0.000579
     1425.000000       0.000591
     1425.100000       0.000597
     1425.200000       0.000593
     1425.300000       0.000580
     1425.400000       0.000560
     1425.500000       0.000534
     1425.600000       0.000503
     1425.700000       0.000470
     1425.800000       0.000438
     1425.900000       0.000406
     1426.000000       0.000379
     1426.100000       0.000358
     1426.200000       0.000346
     1426.300000       0.000338
     1426.400000       0.000340
     1426.500000       0.000349
     1426.600000       0.000364
     1426.700000       0.000385
     1426.800000       0.000408
     1426.900000       0.000433
     1427.000000       0.000457
     1427.100000       0.000478
     1427.200000       0.000492
     1427.300000       0.000502
     1427.400000       0.000502
     1427.500000       0.000495
     1427.600000       0.000484
     1427.700000       0.000462
     1427.800000       0.000435
     1427.900000       0.000404
     1428.000000       0.000373
     1428.100000       0.000342
     1428.200000       0.000314
     1428.300000       0.000290
     1428.400000       0.000276
     1428.500000       0.000268
     1428.600000       0.000267
     1428.700000       0.000275
     1428.800000       0.000292
     1428.900000       0.000316
     1429.000000       0.000343
     1429.100000       0.000376
     1429.200000       0.000408
     1429.300000       0.000439
     1429.400000       0.000467
     1429.500000       0.000491
     1429.600000       0.000502
     1429.700000       0.000504
     1429.800000       0.000504
     1429.900000       0.000493
     1430.000000       0.000470
     1430.100000       0.000444
     1430.200000       0.000414
     1430.300000       0.000383
     1430.400000       0.000352
     1430.500000       0.000325
     1430.600000       0.000303
     1430.700000       0.000291
     1430.800000       0.000284
     1430.900000       0.000287
     1431.000000       0.000298
     1431.100000       0.000316
     1431.200000       0.000342
     1431.300000       0.000371
     1431.400000       0.000405
     1431.500000       0.000437
     1431.600000       0.000469
     1431.700000       0.000496
     1431.800000       0.000517
     1431.900000       0.000525
     1432.000000       0.000528
     1432.100000       0.000526
     1432.200000       0.000510
     1432.300000       0.000490
     1432.400000       0.000462
     1432.500000       0.000431
     1432.600000       0.000398
     1432.700000       0.000367
     1432.800000       0.000337
     1432.900000       0.000315
     1433.000000       0.000296
     1433.100000       0.000291
     1433.200000       0.000292
     1433.300000       0.000297
     1433.400000       0.000314
     1433.500000       0.000338
     1433.600000       0.000367
     1433.700000       0.000399
     1433.800000       0.000433
     1433.900000       0.000464
     1434.000000       0.000492
     1434.100000       0.000514
     1434.200000       0.000529
     1434.300000       0.000536
     1434.400000       0.000532
     1434.500000       0.000523
     1434.600000       0.000506
     1434.700000       0.000480
     1434.800000       0.000452
     1434.900000       0.000420
     1435.000000       0.000390
     1435.100000       0.000362
     1435.200000       0.000339
     1435.300000       0.000321
     1435.400000       0.000317
     1435.500000       0.000315
     1435.600000       0.000318
     1435.700000       0.000335
     1435.800000       0.000356
     1435.900000       0.000384
     1436.000000       0.000413
     1436.100000       0.000444
     1436.200000       0.000472
     1436.300000       0.000498
     1436.400000       0.000518
     1436.500000       0.000532
     1436.600000       0.000537
     1436.700000       0.000535
     1436.800000       0.000530
     1436.900000       0.000516
     1437.000000       0.000498
     1437.100000       0.000478
     1437.200000       0.000458
     1437.300000       0.000439
     1437.400000       0.000425
     1437.500000       0.000417
     1437.600000       0.000413
     1437.700000       0.000417
     1437.800000       0.000429
     1437.900000       0.000447
     1438.000000       0.000471
     1438.100000       0.000499
     1438.200000       0.000530
     1438.300000       0.000560
     1438.400000       0.000588
     1438.500000       0.000613
     1438.600000       0.000631
     1438.700000       0.000635
     1438.800000       0.000636
     1438.900000       0.000633
     1439.000000       0.000613
     1439.100000       0.000589
     1439.200000       0.000557
     1439.300000       0.000523
     1439.400000       0.000487
     1439.500000       0.000452
     1439.600000       0.000420
     1439.700000       0.000395
     1439.800000       0.000375
     1439.900000       0.000368
     1440.000000       0.000370
     1440.100000       0.000375
     1440.200000       0.000391
     1440.300000       0.000416
     1440.400000       0.000445
