8, channel 8 SRF extracted from AHI-9_SpectralResponsivity_Data.xlsx (release Oct 2013)
Number of data points:
4201
Wavenumber (cm-1)   Filter response
     1421.000000       0.000427
     1421.100000       0.000400
     1421.200000       0.000374
     1421.300000       0.000353
     1421.400000       0.000335
     1421.500000       0.000328
     1421.600000       0.000326
     1421.700000       0.000327
     1421.800000       0.000341
     1421.900000       0.000359
     1422.000000       0.000384
     1422.100000       0.000411
     1422.200000       0.000441
     1422.300000       0.000470
     1422.400000       0.000497
     1422.500000       0.000519
     1422.600000       0.000539
     1422.700000       0.000545
     1422.800000       0.000545
     1422.900000       0.000545
     1423.000000       0.000531
     1423.100000       0.000510
     1423.200000       0.000484
     1423.300000       0.000455
     1423.400000       0.000425
     1423.500000       0.000396
     1423.600000       0.000370
     1423.700000       0.000348
     1423.800000       0.000331
     1423.900000       0.000324
     1424.000000       0.000324
     1424.100000       0.000326
     1424.200000       0.000337
     1424.300000       0.000355
     1424.400000       0.000375
     1424.500000       0.000397
     1424.600000       0.000419
     1424.700000       0.000439
     1424.800000       0.000456
     1424.900000       0.000466
     1425.000000       0.000466
     1425.100000       0.000465
     1425.200000       0.000458
     1425.300000       0.000441
     1425.400000       0.000422
     1425.500000       0.000399
     1425.600000       0.000375
     1425.700000       0.000352
     1425.800000       0.000332
     1425.900000       0.000315
     1426.000000       0.000307
     1426.100000       0.000302
     1426.200000       0.000305
     1426.300000       0.000316
     1426.400000       0.000331
     1426.500000       0.000355
     1426.600000       0.000382
     1426.700000       0.000411
     1426.800000       0.000440
     1426.900000       0.000468
     1427.000000       0.000493
     1427.100000       0.000511
     1427.200000       0.000518
     1427.300000       0.000521
     1427.400000       0.000519
     1427.500000       0.000502
     1427.600000       0.000481
     1427.700000       0.000451
     1427.800000       0.000417
     1427.900000       0.000379
     1428.000000       0.000342
     1428.100000       0.000305
     1428.200000       0.000274
     1428.300000       0.000247
     1428.400000       0.000229
     1428.500000       0.000217
     1428.600000       0.000214
     1428.700000       0.000219
     1428.800000       0.000229
     1428.900000       0.000247
     1429.000000       0.000268
     1429.100000       0.000293
     1429.200000       0.000317
     1429.300000       0.000341
     1429.400000       0.000361
     1429.500000       0.000378
     1429.600000       0.000384
     1429.700000       0.000383
     1429.800000       0.000382
     1429.900000       0.000371
     1430.000000       0.000354
     1430.100000       0.000334
     1430.200000       0.000313
     1430.300000       0.000292
     1430.400000       0.000273
     1430.500000       0.000258
     1430.600000       0.000248
     1430.700000       0.000248
     1430.800000       0.000248
     1430.900000       0.000255
     1431.000000       0.000271
     1431.100000       0.000292
     1431.200000       0.000316
     1431.300000       0.000341
     1431.400000       0.000367
     1431.500000       0.000391
     1431.600000       0.000411
     1431.700000       0.000425
     1431.800000       0.000434
     1431.900000       0.000434
