5, INSAT-3D Imager  Long Wave Infared Window (TIR-1) (10.3-11.3mu)
Number of data points:
69
Wavenumber (cm-1)   Filter response
      869.565200       0.000000
      871.080100       0.001000
      872.600300       0.002300
      874.125900       0.024300
      875.656700       0.068600
      877.193000       0.114600
      878.734600       0.184700
      880.281700       0.267500
      881.834200       0.370600
      883.392200       0.471700
      884.955800       0.597300
      886.524800       0.687600
      888.099500       0.762600
      889.679700       0.854400
      891.265600       0.924700
      892.857100       0.905900
      894.454400       0.992700
      896.057300       1.000000
      897.666100       0.995200
      899.280600       0.995900
      900.900900       0.987200
      902.527100       0.993800
      904.159100       0.999800
      905.797100       0.999000
      907.441000       0.986300
      909.090900       0.959800
      910.746800       0.959400
      912.408800       0.944900
      914.076800       0.953300
      915.750900       0.957600
      917.431200       0.971200
      919.117600       0.938800
      920.810300       0.944600
      922.509200       0.931800
      924.214400       0.929300
      925.925900       0.927000
      927.643800       0.915900
      929.368000       0.933100
      931.098700       0.919200
      932.835800       0.922500
      934.579400       0.919600
      936.329600       0.912900
      938.086300       0.907400
      939.849600       0.901900
      941.619600       0.915400
      943.396200       0.876600
      945.179600       0.875100
      946.969700       0.880600
      948.766600       0.858600
      950.570300       0.852800
      952.381000       0.840400
      954.198500       0.880800
      956.022900       0.878000
      957.854400       0.859200
      959.692900       0.823200
      961.538500       0.768000
      963.391100       0.695900
      965.251000       0.609500
      967.118000       0.528500
      968.992200       0.436900
      970.873800       0.328400
      972.762600       0.241500
      974.658900       0.156300
      976.562500       0.092100
      978.473600       0.043000
      980.392200       0.019400
      982.318300       0.003300
      984.252000       0.001000
      986.193300       0.000000
