7, INSAT-3D Sounder  LWIR-7
Number of data points:
99
Wavenumber (cm-1)   Filter response
      782.166600       0.000000
      783.085400       0.001000
      784.006300       0.005000
      784.929400       0.010000
      785.854600       0.015000
      786.782100       0.020000
      787.711700       0.025000
      788.643500       0.030000
      789.577600       0.035000
      790.513800       0.040000
      791.452300       0.045000
      792.393000       0.050000
      793.336000       0.055000
      794.281200       0.063900
      795.228600       0.082200
      796.178300       0.089900
      797.130300       0.108200
      798.084600       0.115000
      799.041200       0.136100
      800.000000       0.148900
      800.961200       0.175000
      801.924600       0.228500
      802.890400       0.301800
      803.858500       0.340500
      804.829000       0.382900
      805.801800       0.418000
      806.776900       0.462100
      807.754400       0.503000
      808.734300       0.550500
      809.716600       0.598300
      810.701300       0.631700
      811.688300       0.671800
      812.677800       0.713900
      813.669700       0.756900
      814.664000       0.799700
      815.660700       0.837900
      816.659900       0.852000
      817.661500       0.893400
      818.665600       0.911200
      819.672100       0.935700
      820.681200       0.942100
      821.692700       0.973000
      822.706700       0.978900
      823.723200       0.989300
      824.742300       0.997400
      825.763800       0.990000
      826.787900       1.000000
      827.814600       0.984900
      828.843800       0.993000
      829.875500       0.988500
      830.909800       0.986000
      831.946800       0.955700
      832.986300       0.989100
      834.028400       0.975700
      835.073100       0.990300
      836.120400       0.980300
      837.170400       0.972100
      838.223000       0.979600
      839.278200       0.968000
      840.336100       0.958400
      841.396700       0.956700
      842.460000       0.961800
      843.525900       0.960600
      844.594600       0.968800
      845.666000       0.959600
      846.740100       0.959300
      847.816900       0.961700
      848.896400       0.953200
      849.978800       0.948100
      851.063800       0.916300
      852.151700       0.885200
      853.242300       0.851300
      854.335800       0.812400
      855.432000       0.777400
      856.531000       0.715500
      857.632900       0.661800
      858.737700       0.603700
      859.845200       0.548800
      860.955700       0.485400
      862.069000       0.418800
      863.185200       0.358100
      864.304200       0.319900
      865.426200       0.268900
      866.551100       0.224400
      867.679000       0.209400
      868.809700       0.190000
      869.943500       0.160700
      871.080100       0.140000
      872.219800       0.120000
      873.362400       0.100000
      874.508100       0.080000
      875.656700       0.060000
      876.808400       0.040000
      877.963100       0.030000
      879.120900       0.020000
      880.281700       0.010000
      881.445600       0.005000
      882.612500       0.001000
      883.782600       0.000000
